V-wind,z
m/s,m
-0.882282996,723.9669421
-0.87039239,743.8016529
-0.87039239,699.7245179
-0.87039239,680.9917355
-0.87039239,661.1570248
-0.87039239,640.2203857
-0.87039239,625.8953168
-0.87039239,611.5702479
-0.87039239,593.9393939
-0.87039239,564.1873278
-0.858501784,543.2506887
-0.858501784,526.7217631
-0.834720571,507.9889807
-0.751486326,487.0523416
-0.692033294,463.9118457
-0.596908442,448.4848485
-0.561236623,433.0578512
-0.466111772,418.7327824
-0.40665874,405.5096419
-0.335315101,391.184573
-0.275862069,380.1652893
-0.20451843,365.8402204
-0.168846611,349.3112948
-0.109393579,337.1900826
-0.061831153,325.0688705
0.009512485,311.84573
0.033293698,2.203856749
0.045184304,296.4187328
0.09274673,277.6859504
0.175980975,262.2589532
0.235434007,3.305785124
0.271105826,247.9338843
0.330558859,235.8126722
0.42568371,226.9972452
0.449464923,3.305785124
0.568370987,4.407713499
0.615933413,213.7741047
0.75862069,4.407713499
0.794292509,197.2451791
0.936979786,186.2258953
0.996432818,6.611570248
1.103448276,169.6969697
1.151010702,7.713498623
1.246135553,158.677686
1.317479191,9.917355372
1.424494649,149.862259
1.448275862,13.2231405
1.567181926,137.7410468
1.590963139,17.63085399
1.68608799,125.6198347
1.745541023,28.65013774
1.85255648,33.05785124
1.864447087,111.2947658
1.935790725,42.97520661
1.971462545,102.4793388
2.030915577,56.19834711
2.078478002,91.4600551
2.078478002,76.03305785
