"N,Andren95",z/h
0.001900452,1.459152799
0.00199095,1.490922844
0.002036199,1.472768533
0.002171946,1.484114977
0.002217195,1.445537065
0.002217195,1.436459909
0.002579186,1.366111952
0.002624434,1.393343419
0.002760181,1.420574887
0.002941176,1.350226929
0.003348416,1.332072617
0.003529412,1.32526475
0.00361991,1.309379728
0.003710407,1.277609682
0.003755656,1.295763994
0.004027149,1.266263238
0.004162896,1.23903177
0.00438914,1.225416036
0.004660633,1.211800303
0.004660633,1.200453858
0.005022624,1.186838124
0.005158371,1.170953101
0.005565611,1.127836611
0.00561086,1.15279879
0.0060181,1.105143722
0.0060181,1.091527988
0.006289593,1.075642965
0.006561086,1.057488654
0.006877828,1.032526475
0.007058824,0.483358548
0.007058824,0.354009077
0.007058824,0.333585477
0.007104072,0.467473525
0.007104072,0.374432678
0.007149321,0.555975794
0.007149321,0.392586989
0.00719457,0.605900151
0.00719457,0.535552194
0.00719457,0.524205749
0.00719457,0.503782148
0.00719457,0.490166415
0.007239819,1.02118003
0.007239819,0.462934947
0.007239819,0.437972769
0.007239819,0.415279879
0.007285068,0.585476551
0.007285068,0.56505295
0.007330317,0.317700454
0.007375566,0.635400908
0.007420814,0.619515885
0.007511312,0.30408472
0.007511312,0.267776097
0.007511312,0.249621785
0.007556561,0.996217852
0.007556561,0.671709531
0.007556561,0.646747352
0.00760181,0.689863843
0.007647059,0.290468986
0.007647059,0.236006051
0.007737557,0.723903177
0.007737557,0.710287443
0.007873303,0.968986384
0.007873303,0.748865356
0.007873303,0.229198185
0.007963801,0.769288956
0.00800905,0.944024206
0.00800905,0.91225416
0.00800905,0.857791225
0.00800905,0.835098336
0.00800905,0.801059002
0.008054299,0.871406959
0.008190045,0.206505295
0.008371041,0.183812405
0.008823529,0.165658094
0.009321267,0.15204236
0.009547511,0.136157337
0.009773756,0.122541604
0.010180995,0.106656581
0.01081448,0.095310136
0.01158371,0.079425113
0.012126697,0.072617247
0.012760181,0.059001513
0.013303167,0.047655068
0.013710407,0.04311649
0.014253394,0.02269289
