horizontal wind,Z
m/s,m
0.002378121,1.101928375
0.175980975,1.101928375
0.544589774,3.305785124
0.901307967,3.305785124
1.186682521,4.407713499
1.531510107,6.611570248
1.745541023,6.611570248
1.900118906,6.611570248
2.066587396,6.611570248
2.494649227,9.917355372
2.68489893,9.917355372
2.958382878,16.52892562
3.243757432,20.93663912
3.517241379,26.44628099
3.707491082,30.85399449
3.969084423,35.26170799
4.14744352,44.07713499
4.325802616,46.28099174
4.420927467,48.48484848
4.634958383,53.99449036
4.908442331,62.80991736
5.146254459,70.52341598
5.395957194,77.13498623
5.633769322,85.95041322
5.883472057,92.56198347
6.061831153,99.17355372
6.275862069,110.1928375
6.478002378,119.0082645
6.656361474,127.8236915
6.834720571,137.7410468
7.024970273,150.9641873
7.191438763,161.9834711
7.310344828,174.1046832
7.393579073,532.231405
7.405469679,672.1763085
7.417360285,721.7630854
7.417360285,706.3360882
7.417360285,569.6969697
7.417360285,558.677686
7.417360285,541.046832
7.417360285,515.7024793
7.417360285,498.0716253
7.417360285,478.2369146
7.417360285,467.2176309
7.429250892,749.3112948
7.429250892,738.292011
7.429250892,654.5454545
7.429250892,641.322314
7.429250892,626.9972452
7.429250892,617.0798898
7.429250892,603.8567493
7.429250892,588.4297521
7.441141498,689.8071625
7.441141498,458.4022039
7.453032105,182.9201102
7.488703924,447.3829201
7.50059453,439.6694215
7.524375743,429.7520661
7.524375743,196.1432507
7.560047562,422.0385675
7.595719382,412.1212121
7.643281807,397.7961433
7.643281807,210.4683196
7.690844233,384.5730028
7.750297265,369.1460055
7.774078478,225.8953168
7.797859691,360.3305785
7.821640904,242.4242424
7.857312723,347.107438
7.892984542,336.0881543
7.916765755,258.953168
7.928656361,316.2534435
7.976218787,273.2782369
7.988109394,293.1129477
