"u12/u*2,Andren95,w2/u*",z/h
-0.020809249,1.469001148
-0.020809249,1.443168772
-0.020809249,1.424225029
-0.020809249,1.376004592
-0.020809249,1.33467279
-0.013872832,1.487944891
-0.013872832,1.283008037
-0.013872832,1.243398393
-0.013872832,1.214121699
-0.006936416,1.172789897
-0.006936416,1.138346728
-0.006936416,1.105625718
0.020809249,1.071182549
0.048554913,1.045350172
0.076300578,1.010907003
0.117919075,0.973019518
0.131791908,0.943742824
0.14566474,0.916188289
0.173410405,0.90413318
0.180346821,0.87141217
0.208092486,0.843857635
0.249710983,0.819747417
0.29132948,0.788748565
0.326011561,0.759471871
0.38150289,0.725028703
0.395375723,0.700918485
0.430057803,0.671641791
0.457803468,0.649253731
0.499421965,0.632032147
0.534104046,0.599311137
0.575722543,0.568312285
0.624277457,0.549368542
0.67283237,0.523536165
0.721387283,0.492537313
0.783815029,0.464982778
0.797687861,0.439150402
0.846242775,0.420206659
0.901734104,0.394374282
0.936416185,0.378874856
1.005780347,0.347876005
1.012716763,0.313432836
1.040462428,0.291044776
1.102890173,0.013777268
1.10982659,0.268656716
1.193063584,0.247990815
1.213872832,0.020665901
1.255491329,0.218714122
1.297109827,0.029276693
1.317919075,0.191159587
1.34566474,0.177382319
1.387283237,0.036165327
1.401156069,0.151549943
1.449710983,0.123995408
1.463583815,0.101607348
1.463583815,0.044776119
1.470520231,0.058553387
1.477456647,0.07749713
