"u12/u*2,FOAM,v2/u*",z/h
0.025586354,0.003405221
0.759061834,0.005107832
0.980810235,0.008513053
1.236673774,0.010215664
1.381663113,0.010215664
1.552238806,0.010215664
1.697228145,0.011918275
1.901918977,0.015323496
2.029850746,0.015323496
2.191897655,0.018728717
2.353944563,0.546538025
2.362473348,0.505675369
2.371002132,0.473325766
2.371002132,0.018728717
2.388059701,0.58569807
2.430703625,0.451191827
2.447761194,0.616345062
2.515991471,0.425652667
2.515991471,0.018728717
2.541577825,0.645289444
2.635394456,0.408626561
2.643923241,0.020431328
2.652452026,0.669125993
2.729211087,0.6861521
2.737739872,0.391600454
2.857142857,0.020431328
2.865671642,0.704880817
2.91684435,0.371169126
3.010660981,0.725312145
3.010660981,0.022133939
3.078891258,0.349035187
3.138592751,0.02553916
3.172707889,0.752553916
3.249466951,0.335414302
3.317697228,0.02553916
3.343283582,0.771282633
3.402985075,0.314982974
3.445628998,0.02553916
3.471215352,0.791713961
3.547974414,0.071509648
3.565031983,0.027241771
3.582089552,0.294551646
3.582089552,0.10045403
3.582089552,0.044267877
3.599147122,0.812145289
3.63326226,0.122587968
3.692963753,0.270715096
3.701492537,0.146424518
3.744136461,0.827468785
3.744136461,0.166855846
3.778251599,0.25368899
3.795309168,0.197502838
3.837953092,0.22814983
3.897654584,0.846197503
4.051172708,0.86492622
4.170575693,0.876844495
4.349680171,0.893870602
4.452025586,0.905788876
4.579957356,0.917707151
4.724946695,0.929625426
4.827292111,0.938138479
4.955223881,0.953461975
5.142857143,0.968785471
5.304904051,0.984108967
5.424307036,0.997729852
5.620469083,1.014755959
5.748400853,1.028376844
5.867803838,1.040295119
6.012793177,1.052213394
6.140724947,1.065834279
6.285714286,1.079455165
6.413646055,1.096481271
6.558635394,1.111804767
6.695095949,1.128830874
6.840085288,1.147559591
6.950959488,1.161180477
7.053304904,1.174801362
7.172707889,1.186719637
7.292110874,1.208853575
7.39445629,1.234392736
7.50533049,1.249716232
7.616204691,1.266742338
7.727078891,1.285471056
7.769722814,1.493189557
7.795309168,1.307604994
7.820895522,1.326333712
7.829424307,1.479568672
7.880597015,1.350170261
7.8891258,1.44892168
7.923240938,1.377412032
7.931769723,1.421679909
7.940298507,1.401248581
