"t/u*2,FOAM,total flux",z/h
0.163241679,0.996946565
0.166714906,0.977099237
0.171924747,0.955725191
0.175397974,0.928244275
0.180607815,0.903816794
0.182344428,0.876335878
0.191027496,0.854961832
0.197973951,0.827480916
0.206657019,0.798473282
0.213603473,0.778625954
0.2170767,0.761832061
0.227496382,0.74351145
0.23617945,0.722137405
0.246599132,0.702290076
0.2552822,0.680916031
0.274384949,0.658015267
0.291751085,0.639694656
0.309117221,0.622900763
0.326483357,0.601526718
0.350795948,0.586259542
0.357742402,0.574045802
0.371635311,0.554198473
0.383791606,0.540458015
0.416787265,0.522137405
0.441099855,0.505343511
0.465412446,0.494656489
0.486251809,0.47480916
0.508827786,0.461068702
0.543560058,0.461068702
0.557452967,0.447328244
0.57829233,0.432061069
0.588712012,0.430534351
0.611287988,0.418320611
0.630390738,0.403053435
0.659913169,0.39389313
0.687698987,0.377099237
0.70853835,0.364885496
0.738060781,0.351145038
0.762373372,0.335877863
0.783212735,0.320610687
0.804052098,0.303816794
0.83357453,0.288549618
0.854413893,0.273282443
0.885672938,0.254961832
0.90130246,0.241221374
0.929088278,0.229007634
0.948191027,0.218320611
0.975976845,0.204580153
1.003762663,0.003053435
1.010709117,0.184732824
1.03154848,0.174045802
1.03154848,0.015267176
1.045441389,0.021374046
1.048914616,0.164885496
1.057597685,0.025954198
1.064544139,0.032061069
1.066280753,0.152671756
1.078437048,0.042748092
1.081910275,0.138931298
1.087120116,0.051908397
1.097539797,0.065648855
1.101013025,0.12519084
1.114905933,0.112977099
1.114905933,0.076335878
1.130535456,0.096183206
