"N,FOAM value",z/h
0.00264574,1.498303167
0.002757848,1.486425339
0.002802691,1.472850679
0.002869955,1.456730769
0.002892377,1.45418552
0.002914798,1.450791855
0.00293722,1.445701357
0.002959641,1.442307692
0.002982063,1.437217195
0.003004484,1.433823529
0.003026906,1.430429864
0.003049327,1.425339367
0.003071749,1.421945701
0.00309417,1.416855204
0.003116592,1.413461538
0.003139013,1.408371041
0.003161435,1.404977376
0.003183857,1.399886878
0.003206278,1.396493213
0.0032287,1.391402715
0.003251121,1.38800905
0.003273543,1.382918552
0.003295964,1.378676471
0.003318386,1.373585973
0.003340807,1.368495475
0.003363229,1.363404977
0.00338565,1.35831448
0.003408072,1.353223982
0.003430493,1.348133484
0.003452915,1.343042986
0.003475336,1.338800905
0.003497758,1.333710407
0.003520179,1.32861991
0.003542601,1.324377828
0.003565022,1.318438914
0.003587444,1.311651584
0.003609865,1.30571267
0.003632287,1.299773756
0.003654709,1.292986425
0.00367713,1.286199095
0.003699552,1.279411765
0.003721973,1.273472851
0.003744395,1.267533937
0.003766816,1.260746606
0.003789238,1.253959276
0.003811659,1.246323529
0.003834081,1.239536199
0.003856502,1.232748869
0.003878924,1.225961538
0.003901345,1.219174208
0.003923767,1.211538462
0.003946188,1.203902715
0.00396861,1.197115385
0.003991031,1.188631222
0.004013453,1.178450226
0.004035874,1.168269231
0.004058296,1.157239819
0.004080717,1.147058824
0.004103139,1.136029412
0.004125561,1.125
0.004147982,1.113122172
0.004170404,1.101244344
0.004192825,1.089366516
0.004215247,1.077488688
0.004237668,1.066459276
0.00426009,1.056278281
0.004282511,1.046945701
0.004304933,1.037613122
0.004327354,1.029128959
0.004349776,1.018947964
0.004372197,1.010463801
0.004394619,1.001131222
0.00441704,0.993495475
0.004439462,0.985011312
0.004461883,0.978223982
0.004484305,0.971436652
0.004506726,0.964649321
0.004529148,0.956165158
0.00455157,0.949377828
0.004573991,0.942590498
0.004596413,0.936651584
0.004618834,0.93071267
0.004641256,0.925622172
0.004663677,0.920531674
0.004686099,0.916289593
0.00470852,0.911199095
0.004730942,0.906957014
0.004753363,0.901866516
0.004775785,0.896776018
0.004798206,0.892533937
0.004820628,0.887443439
0.004843049,0.883201357
0.004865471,0.87811086
0.004887892,0.873868778
0.004910314,0.868778281
0.004932735,0.865384615
0.004955157,0.860294118
0.004977578,0.856900452
0.005,0.853506787
0.005022422,0.84841629
0.005044843,0.845022624
0.005067265,0.840780543
0.005089686,0.836538462
0.005112108,0.833144796
0.005134529,0.828902715
0.005156951,0.824660633
0.005179372,0.821266968
0.005201794,0.817024887
0.005224215,0.812782805
0.005246637,0.80938914
0.005269058,0.805147059
0.005269058,0.028846154
0.00529148,0.801753394
0.005313901,0.798359729
0.005336323,0.79581448
0.005358744,0.793269231
0.005381166,0.789875566
0.005403587,0.7864819
0.005426009,0.783936652
0.00544843,0.781391403
0.00544843,0.033936652
0.005470852,0.777997738
0.005493274,0.774604072
0.005515695,0.772058824
0.005538117,0.769513575
0.005560538,0.76611991
0.00558296,0.762726244
0.005605381,0.760180995
0.005627803,0.757635747
0.005650224,0.754242081
0.005672646,0.750848416
0.005672646,0.04581448
0.005695067,0.748303167
0.005717489,0.745757919
0.00573991,0.742364253
0.005762332,0.739819005
0.005784753,0.737273756
0.005807175,0.73388009
0.005829596,0.731334842
0.005852018,0.727941176
0.005874439,0.725395928
0.005874439,0.050904977
0.005896861,0.722850679
0.005919283,0.719457014
0.005941704,0.716911765
0.005964126,0.7135181
0.005986547,0.710972851
0.006008969,0.708427602
0.00603139,0.705033937
0.006053812,0.702488688
0.006076233,0.699943439
0.006098655,0.696549774
0.006121076,0.694004525
0.006143498,0.691459276
0.006143498,0.061085973
0.006165919,0.688065611
0.006188341,0.685520362
0.006210762,0.682975113
0.006233184,0.679581448
0.006255605,0.677036199
0.006278027,0.67449095
0.006300448,0.671097285
0.00632287,0.66770362
0.00632287,0.066176471
0.006345291,0.664309955
0.006367713,0.66091629
0.006390135,0.657522624
0.006412556,0.655825792
0.006434978,0.652432127
0.006457399,0.649038462
0.006479821,0.645644796
0.006502242,0.642251131
0.006502242,0.074660633
0.006524664,0.638857466
0.006547085,0.635463801
0.006569507,0.632070136
0.006591928,0.630373303
0.00661435,0.626979638
0.006636771,0.623585973
0.006636771,0.208710407
0.006636771,0.188348416
0.006659193,0.620192308
0.006659193,0.229072398
0.006681614,0.616798643
0.006681614,0.173076923
0.006704036,0.613404977
0.006704036,0.252828054
0.006704036,0.159502262
0.006726457,0.610859729
0.006748879,0.60831448
0.006748879,0.266402715
0.006748879,0.145927602
0.0067713,0.604920814
0.0067713,0.286764706
0.006793722,0.602375566
0.006816143,0.599830317
0.006838565,0.597285068
0.006838565,0.083144796
0.006860987,0.593891403
0.006860987,0.295248869
0.006883408,0.591346154
0.006883408,0.132352941
0.00690583,0.588800905
0.006928251,0.586255656
0.006950673,0.582861991
0.006973094,0.580316742
0.006973094,0.122171946
0.006995516,0.577771493
0.007017937,0.575226244
0.007017937,0.11199095
0.007040359,0.572680995
0.007040359,0.312217195
0.00706278,0.56928733
0.007085202,0.566742081
0.007107623,0.564196833
0.007130045,0.560803167
0.007130045,0.096719457
0.007152466,0.558257919
0.007174888,0.55571267
0.007197309,0.553167421
0.007219731,0.550622172
0.007219731,0.332579186
0.007242152,0.547228507
0.007264574,0.544683258
0.007286996,0.542138009
0.007309417,0.538744344
0.007331839,0.536199095
0.00735426,0.533653846
0.007376682,0.530260181
0.007376682,0.354638009
0.007399103,0.5260181
0.007466368,0.371606335
0.007488789,0.517533937
0.007556054,0.509049774
0.007578475,0.38178733
0.00764574,0.495475113
0.007668161,0.488687783
0.007690583,0.395361991
0.007757848,0.485294118
0.007780269,0.456447964
0.007780269,0.447963801
0.007780269,0.405542986
0.007802691,0.476809955
0.007869955,0.424208145
0.007892377,0.419117647
