"u12/u*2,Andren95,v2/u*",z/h
-0.027745665,1.381171068
-0.027745665,1.348450057
-0.027745665,1.28989667
-0.027745665,1.320895522
-0.020809249,1.221010333
-0.013872832,1.494833525
-0.013872832,1.472445465
-0.013872832,1.450057405
-0.013872832,1.427669346
-1.14E-16,1.153846154
-1.14E-16,1.119402985
0.020809249,1.078071183
0.062427746,1.052238806
0.117919075,1.021239954
0.187283237,0.991963261
0.249710983,0.960964409
0.305202312,0.936854191
0.346820809,0.90413318
0.409248555,0.867967853
0.471676301,0.83869116
0.52716763,0.804247991
0.575722543,0.764638347
0.645086705,0.725028703
0.714450867,0.697474168
0.735260116,0.669919633
0.769942197,0.630309989
0.853179191,0.599311137
0.901734104,0.576923077
0.936416185,0.544202067
0.978034682,0.514925373
1.033526012,0.494259472
1.123699422,0.473593571
1.2,0.452927669
1.297109827,0.421928817
1.387283237,0.399540758
1.477456647,0.363375431
1.609248555,0.33065442
1.699421965,0.299655568
1.831213873,0.270378875
1.956069364,0.25315729
2.025433526,0.223880597
2.087861272,0.196326062
2.129479769,0.017221584
2.157225434,0.182548794
2.240462428,0.015499426
2.275144509,0.163605052
2.393063584,0.139494834
2.4,0.020665901
2.538728324,0.115384615
2.559537572,0.018943743
2.677456647,0.02238806
2.69132948,0.091274397
2.802312139,0.027554535
2.816184971,0.056831228
2.968786127,0.029276693
