"u12/u*2,Andren95,u2/u*",z/h
-0.020809249,1.238231917
-0.013872832,1.493111366
-0.013872832,1.472445465
-0.013872832,1.38978186
-0.013872832,1.345005741
-0.013872832,1.190011481
-0.013872832,1.157290471
-0.006936416,1.303673938
-0.006936416,1.269230769
-0.006936416,1.122847302
-1.14E-16,1.443168772
-1.14E-16,1.41216992
0.013872832,1.078071183
0.034682081,1.048794489
0.069364162,1.019517796
0.09017341,0.985074627
0.166473988,0.947187141
0.242774566,0.909299656
0.298265896,0.881745121
0.360693642,0.857634902
0.416184971,0.831802526
0.478612717,0.818025258
0.52716763,0.795637199
0.610404624,0.773249139
0.686705202,0.750861079
0.769942197,0.71641791
0.853179191,0.690585534
0.96416185,0.669919633
1.040462428,0.642365098
1.130635838,0.616532721
1.213872832,0.587256028
1.34566474,0.554535017
1.421965318,0.525258324
1.546820809,0.487370838
1.63699422,0.46326062
1.768786127,0.432261768
1.914450867,0.411595867
2.025433526,0.399540758
2.087861272,0.378874856
2.143352601,0.356486797
2.219653179,0.328932262
2.330635838,0.299655568
2.379190751,0.277267509
2.510982659,0.258323766
2.601156069,0.249712974
2.788439306,0.223880597
2.843930636,0.211825488
3.010404624,0.194603904
3.031213873,0.015499426
3.156069364,0.177382319
3.176878613,0.012055109
3.204624277,0.168771527
3.260115607,0.017221584
3.384971098,0.151549943
3.433526012,0.017221584
3.551445087,0.134328358
3.572254335,0.018943743
3.662427746,0.018943743
3.697109827,0.120551091
3.808092486,0.108495982
3.83583815,0.024110218
3.939884393,0.091274397
3.995375723,0.024110218
4.099421965,0.084385763
4.12716763,0.025832377
4.245086705,0.024110218
4.265895954,0.072330654
4.383815029,0.056831228
4.383815029,0.024110218
4.515606936,0.044776119
4.515606936,0.024110218
4.640462428,0.039609644
4.695953757,0.039609644
4.695953757,0.025832377
4.862427746,0.039609644
4.862427746,0.025832377
4.931791908,0.025832377
4.980346821,0.03272101
5.09132948,0.030998852
