"u12/u*2,FOAM,SGS part",z/h
0.008528785,1.455732123
0.008528785,1.338251986
0.008528785,1.265039728
0.017057569,1.496594779
0.017057569,1.190124858
0.017057569,1.150964813
0.025586354,1.472758229
0.025586354,1.430192963
0.025586354,1.368898978
0.025586354,1.317820658
0.034115139,1.408059024
0.034115139,1.389330306
0.034115139,1.292281498
0.034115139,1.24631101
0.034115139,1.224177072
0.042643923,1.127128263
0.042643923,1.091373439
0.042643923,1.072644722
0.042643923,1.038592509
0.042643923,0.861520999
0.042643923,0.001702611
0.051172708,0.977298524
0.051172708,0.946651532
0.051172708,0.91600454
0.051172708,0.892167991
0.059701493,1.004540295
0.059701493,0.817253121
0.059701493,0.769580023
0.076759062,0.735527809
0.076759062,0.699772985
0.076759062,0.669125993
0.093816631,0.645289444
0.102345416,0.619750284
0.102345416,0.58399546
0.12793177,0.551645857
0.136460554,0.522701476
0.170575693,0.485244041
0.213219616,0.447786606
0.272921109,0.403518729
0.358208955,0.377979569
0.426439232,0.352440409
0.511727079,0.328603859
0.588486141,0.005107832
0.639658849,0.306469921
0.724946695,0.282633371
0.767590618,0.008513053
0.793176972,0.269012486
0.904051173,0.25368899
0.904051173,0.008513053
1.040511727,0.233257662
1.066098081,0.008513053
1.08315565,0.214528944
1.134328358,0.206015891
1.159914712,0.197502838
1.236673774,0.182179342
1.262260128,0.010215664
1.304904051,0.013620885
1.32196162,0.168558456
1.398720682,0.15323496
1.458422175,0.015323496
1.484008529,0.143019296
1.543710021,0.129398411
1.603411514,0.020431328
1.620469083,0.117480136
1.68869936,0.107264472
1.748400853,0.020431328
1.81663113,0.097048808
1.893390192,0.020431328
1.936034115,0.083427923
2.038379531,0.020431328
2.046908316,0.074914869
2.115138593,0.022133939
2.123667377,0.064699205
2.166311301,0.059591373
2.29424307,0.02553916
2.336886994,0.045970488
2.447761194,0.032349603
2.447761194,0.022133939
2.55010661,0.02553916
