"u12/u*2,FOAM,w2/u*",z/h
0.034115139,0.005107832
0.264392324,1.491486947
0.289978678,1.471055619
0.298507463,1.447219069
0.307036247,1.421679909
0.341151386,1.392735528
0.36673774,1.360385925
0.383795309,1.334846765
0.417910448,1.302497162
0.417910448,1.266742338
0.434968017,1.234392736
0.47761194,1.200340522
0.486140725,0.006810443
0.528784648,1.157775255
0.528784648,1.111804767
0.579957356,1.082860386
0.579957356,1.064131669
0.579957356,1.030079455
0.60554371,0.999432463
0.622601279,0.968785471
0.639658849,0.938138479
0.639658849,0.91600454
0.648187633,0.88876277
0.656716418,0.006810443
0.673773987,0.847900114
0.690831557,0.807037457
0.707889126,0.395005675
0.707889126,0.379682179
0.71641791,0.774687855
0.724946695,0.747446084
0.724946695,0.43246311
0.73347548,0.709988649
0.73347548,0.412031782
0.742004264,0.347332577
0.750533049,0.449489217
0.759061834,0.682746879
0.776119403,0.473325766
0.784648188,0.652099886
0.784648188,0.502270148
0.801705757,0.623155505
0.810234542,0.587400681
0.810234542,0.561861521
0.810234542,0.53291714
0.810234542,0.33030647
0.84434968,0.314982974
0.869936034,0.010215664
0.895522388,0.291146425
0.980810235,0.277525539
1.040511727,0.25368899
1.108742004,0.236662883
1.108742004,0.010215664
1.176972281,0.219636776
1.253731343,0.207718502
1.32196162,0.188989784
1.390191898,0.171963678
1.390191898,0.015323496
1.44989339,0.156640182
1.501066098,0.144721907
1.569296375,0.131101022
1.586353945,0.017026107
1.654584222,0.119182747
1.748400853,0.105561862
1.765458422,0.018728717
1.867803838,0.091940976
1.936034115,0.020431328
1.978678038,0.07661748
2.029850746,0.022133939
2.07249467,0.066401816
2.089552239,0.022133939
2.157782516,0.020431328
2.174840085,0.059591373
2.29424307,0.047673099
2.29424307,0.02553916
2.328358209,0.044267877
2.413646055,0.037457435
2.42217484,0.02553916
2.524520256,0.027241771
