"?m, FOAM value",z/h
1.007462687,0.002493766
1.0554371,0.00872818
1.103411514,0.011221945
1.167377399,0.016209476
1.247334755,0.023690773
1.332622601,0.03117207
1.428571429,0.039900249
1.519189765,0.051122195
1.604477612,0.058603491
1.673773987,0.063591022
1.753731343,0.071072319
1.823027719,0.07605985
1.886993603,0.082294264
1.982942431,0.088528678
2.073560768,0.097256858
2.121535181,0.099750623
2.180170576,0.103491272
2.254797441,0.110972569
2.302771855,0.113466334
2.388059701,0.120947631
2.404051173,0.993765586
2.414712154,0.981296758
2.441364606,0.96446384
2.446695096,0.963840399
2.452025586,0.962593516
2.457356077,0.960099751
2.457356077,0.127182045
2.462686567,0.958852868
2.468017058,0.957605985
2.473347548,0.956359102
2.478678038,0.953865337
2.484008529,0.952618454
2.489339019,0.951371571
2.49466951,0.948877805
2.5,0.947630923
2.5,0.130922693
2.50533049,0.94638404
2.510660981,0.945137157
2.515991471,0.942643392
2.521321962,0.941396509
2.526652452,0.940149626
2.531982942,0.93765586
2.537313433,0.936408978
2.542643923,0.935162095
2.547974414,0.933915212
2.553304904,0.931421446
2.553304904,0.133416459
2.558635394,0.930174564
2.563965885,0.928927681
2.569296375,0.926433915
2.574626866,0.925187032
2.579957356,0.92394015
2.585287846,0.921446384
2.590618337,0.920199501
2.595948827,0.918952618
2.601279318,0.917705736
2.606609808,0.91521197
2.611940299,0.913965087
2.617270789,0.912718204
2.622601279,0.910224439
2.62793177,0.908977556
2.63326226,0.907730673
2.638592751,0.906483791
2.643923241,0.903990025
2.649253731,0.902743142
2.654584222,0.901496259
2.654584222,0.142144638
2.659914712,0.899625935
2.665245203,0.898379052
2.670575693,0.89713217
2.675906183,0.895261845
2.681236674,0.894014963
2.686567164,0.89276808
2.691897655,0.891521197
2.697228145,0.890274314
2.702558635,0.889027431
2.707889126,0.887157107
2.713219616,0.885910224
2.718550107,0.884663342
2.723880597,0.882793017
2.729211087,0.881546135
2.734541578,0.880299252
2.739872068,0.879052369
2.745202559,0.877805486
2.745202559,0.148379052
2.750533049,0.876558603
2.755863539,0.875311721
2.76119403,0.873441397
2.76652452,0.872194514
2.771855011,0.87032419
2.777185501,0.869077307
2.782515991,0.867830424
2.787846482,0.866583541
2.793176972,0.865336658
2.798507463,0.864089776
2.803837953,0.862842893
2.809168443,0.860972569
2.814498934,0.859725686
2.819829424,0.857855362
2.819829424,0.154613466
2.825159915,0.856608479
2.830490405,0.855361596
2.835820896,0.854114713
2.841151386,0.85286783
2.846481876,0.851620948
2.851812367,0.850374065
2.857142857,0.848503741
2.862473348,0.847256858
2.867803838,0.846009975
2.873134328,0.844139651
2.878464819,0.842892768
2.883795309,0.841645885
2.8891258,0.840399002
2.89445629,0.83915212
2.89978678,0.837905237
2.905117271,0.836034913
2.910447761,0.835411471
2.915778252,0.834164589
2.921108742,0.832917706
2.921108742,0.16084788
2.926439232,0.831670823
2.931769723,0.83042394
2.937100213,0.829800499
2.942430704,0.828553616
2.947761194,0.827306733
2.953091684,0.82605985
2.958422175,0.824812968
2.963752665,0.823566085
2.969083156,0.822942643
2.974413646,0.821695761
2.979744136,0.820448878
2.985074627,0.819201995
2.990405117,0.817955112
2.995735608,0.817331671
3.001066098,0.816084788
3.006396588,0.814837905
3.011727079,0.813591022
3.017057569,0.81234414
3.02238806,0.811097257
3.02771855,0.810473815
3.02771855,0.16957606
3.033049041,0.809226933
3.038379531,0.80798005
3.043710021,0.806733167
3.049040512,0.805486284
3.054371002,0.804862843
3.059701493,0.80361596
3.065031983,0.802369077
3.070362473,0.801122195
3.075692964,0.799875312
3.081023454,0.798628429
3.086353945,0.798004988
3.091684435,0.796758105
3.097014925,0.795511222
3.102345416,0.794264339
3.107675906,0.793017456
3.113006397,0.792394015
3.118336887,0.791147132
3.123667377,0.789900249
3.128997868,0.788653367
3.134328358,0.787406484
3.134328358,0.178304239
3.139658849,0.786159601
3.144989339,0.78553616
3.150319829,0.784289277
3.15565032,0.783042394
3.16098081,0.781795511
3.166311301,0.780548628
3.171641791,0.779925187
3.176972281,0.778678304
3.182302772,0.777431421
3.187633262,0.776184539
3.192963753,0.774937656
3.198294243,0.773690773
3.203624733,0.773067332
3.208955224,0.77244389
3.214285714,0.771197007
3.219616205,0.770573566
3.219616205,0.183291771
3.224946695,0.769950125
3.230277186,0.768703242
3.235607676,0.7680798
3.240938166,0.767456359
3.246268657,0.766209476
3.251599147,0.766209476
3.256929638,0.764962594
3.262260128,0.763715711
3.267590618,0.763715711
3.272921109,0.762468828
3.278251599,0.761845387
3.278251599,0.189526185
3.28358209,0.761221945
3.28891258,0.759975062
3.29424307,0.759975062
3.299573561,0.75872818
3.304904051,0.757481297
3.310234542,0.757481297
3.315565032,0.756234414
3.320895522,0.755610973
3.326226013,0.754987531
3.331556503,0.753740648
3.336886994,0.753740648
3.342217484,0.752493766
3.347547974,0.751246883
3.352878465,0.751246883
3.358208955,0.75
3.363539446,0.749376559
3.368869936,0.748753117
3.374200426,0.747506234
3.379530917,0.747506234
3.379530917,0.199501247
3.384861407,0.746259352
3.390191898,0.745012469
3.395522388,0.745012469
3.400852878,0.743765586
3.406183369,0.743142145
3.411513859,0.742518703
3.41684435,0.74127182
3.42217484,0.74127182
3.42750533,0.740024938
3.432835821,0.738778055
3.438166311,0.738778055
3.443496802,0.737531172
3.448827292,0.736907731
3.454157783,0.736284289
3.459488273,0.735037406
3.459488273,0.206982544
3.464818763,0.735037406
3.470149254,0.733790524
3.475479744,0.732543641
3.480810235,0.732543641
3.486140725,0.731296758
3.491471215,0.730673317
3.496801706,0.730049875
3.502132196,0.728802993
3.507462687,0.728179551
3.512793177,0.72755611
3.518123667,0.726309227
3.523454158,0.726309227
3.528784648,0.725062344
3.528784648,0.213216958
3.534115139,0.724438903
3.539445629,0.723815461
3.544776119,0.722568579
3.55010661,0.721945137
3.5554371,0.721321696
3.560767591,0.720074813
3.566098081,0.720074813
3.571428571,0.71882793
3.576759062,0.718204489
3.582089552,0.717581047
3.587420043,0.716334165
3.592750533,0.715710723
3.592750533,0.221945137
3.598081023,0.715087282
3.603411514,0.713840399
3.608742004,0.713840399
3.614072495,0.712593516
3.619402985,0.711970075
3.624733475,0.711346633
3.630063966,0.710099751
3.635394456,0.709476309
3.640724947,0.708852868
3.646055437,0.707605985
3.651385928,0.707605985
3.656716418,0.706359102
3.662046908,0.705112219
3.662046908,0.229426434
3.667377399,0.704488778
3.672707889,0.703865337
3.67803838,0.702618454
3.68336887,0.701995012
3.68869936,0.701371571
3.694029851,0.700124688
3.699360341,0.699501247
3.704690832,0.698877805
3.710021322,0.697630923
3.715351812,0.697007481
3.720682303,0.69638404
3.726012793,0.695137157
3.731343284,0.694513716
3.736673774,0.693890274
3.742004264,0.692643392
3.742004264,0.236907731
3.747334755,0.69201995
3.752665245,0.691396509
3.757995736,0.690149626
3.763326226,0.689526185
3.768656716,0.688902743
3.773987207,0.68765586
3.779317697,0.687032419
3.784648188,0.686408978
3.789978678,0.685162095
3.795309168,0.684538653
3.800639659,0.683915212
3.805970149,0.682668329
3.81130064,0.682044888
3.81663113,0.681421446
3.82196162,0.680174564
3.827292111,0.679551122
3.832622601,0.678927681
3.837953092,0.677680798
3.843283582,0.677057357
3.843283582,0.244389027
3.848614072,0.676433915
3.853944563,0.675187032
3.859275053,0.674563591
3.864605544,0.67394015
3.869936034,0.672693267
3.875266525,0.672069825
3.880597015,0.671446384
3.885927505,0.670199501
3.891257996,0.66957606
3.896588486,0.668952618
3.901918977,0.667705736
3.907249467,0.667082294
