Time,HF-0.15,HF-0.35,HF-0.55,HF-0.65,HF-0.75,HF-0.85,HF-0.95,HF-1.25,HF-1.45,HF-1.65,HF-1.75,HF-2.05,HF-2.35,HF-2.65,HF-2.75,HF-2.95,HF-3.25,HF-3.35,HF-3.75,HF-3.85
0,11.6,10.9,10,9.5,8.9,9.1,9.2,8.3,8.3,8.1,7.9,7.6,7.3,6.9,7.3,7.2,7.5,7.3,6.5,5.7
20,11.6,10.9,10,9.5,8.9,9.1,9.2,8.3,8.3,8.1,7.9,7.6,7.3,6.9,7.3,7.2,7.5,7.3,6.5,5.7
