V (m/s),S_f_10
1.115E1,3.12E-1
1.357E1,2.86E-1
1.533E1,2.48E-1
1.784E1,1.88E-1
2.149E1,1.31E-1
2.648E1,9.12E-2
3.214E1,6.99E-2
3.864E1,5.33E-2
