V (m/s),6,9(Rouse),7,10
11.73,0.66,0.97,1.06,1.0
14.37,0.64,0.86,0.84,1.0
16.59,0.60,0.78,0.81,1.0
20.32,0.53,0.76,0.78,1.0
23.46,0.55,0.76,0.82,1.0
28.74,0.54,0.75,0.82,1.0
33.18,0.58,0.74,0.82,1.0
38.91,0.59,0.74,0.91,1.0

