V (m/s), S_f_6, S_f_9, S_f_7
11.73,0.66,0.97,1.06
14.37,0.64,0.86,0.84
16.59,0.60,0.78,0.81
20.32,0.53,0.76,0.78
23.46,0.55,0.76,0.82
28.74,0.54,0.75,0.82
33.18,0.58,0.74,0.82
38.91,0.59,0.74,0.91

