Air Surf time,Air Surf TMP,Air 5mm time,Air 5mm TMP,Air 10mm time,Air 10mm TMP,10p5 O2 Surf time,10p5 O2 Surf TMP,10p5 O2 5mm time,10p5 O2 5mm TMP,10p5 O2 10mm time,10p5 O2 10mm TMP,N2 Surf time,N2 Surf TMP,N2 5mm time,N2 5mm TMP,N2 10mm time,N2 10mm TMP
s,C,s,C,s,C,s,C,s,C,s,C,s,C,s,C,s,C
0.00E0,5.12E1,1.45E-1,2.65E1,1.45E-1,2.65E1,0.00E0,5.12E1,1.07E0,2.84E1,1.06E0,2.65E1,1.85E-1,3.41E1,0.00E0,2.94E1,1.45E-1,2.65E1
7.61E-1,1.43E2,1.23E1,6.45E1,1.49E1,3.21E1,0.50E0,1.35E2,8.59E0,5.31E1,1.86E1,3.40E1,1.70E0,1.48E2,6.70E0,4.45E1,1.67E1,3.31E1
1.90E1,2.76E2,3.55E1,9.66E1,2.70E1,4.92E1,8.49E0,2.08E2,2.16E1,7.96E1,3.53E1,5.77E1,1.61E1,2.61E2,1.70E1,7.30E1,2.61E1,4.82E1
4.26E1,3.81E2,6.35E1,1.54E2,4.28E1,6.62E1,1.90E1,2.78E2,3.93E1,1.01E2,6.04E1,7.65E1,2.46E1,3.05E2,3.37E1,9.28E1,4.28E1,6.52E1
6.13E1,4.36E2,9.81E1,2.33E2,7.05E1,8.12E1,3.50E1,3.48E2,6.54E1,1.57E2,9.00E1,8.68E1,4.90E1,3.70E2,5.14E1,1.28E2,6.87E1,7.83E1
8.02E1,5.12E2,1.48E2,3.09E2,9.92E1,8.96E1,5.48E1,4.15E2,9.52E1,2.14E2,1.17E2,9.51E1,7.98E1,4.32E2,7.29E1,1.71E2,1.01E2,8.95E1
1.00E2,5.77E2,1.95E2,3.58E2,1.28E2,1.02E2,7.17E1,4.76E2,1.38E2,2.73E2,1.41E2,1.21E2,1.12E2,4.77E2,1.02E2,2.18E2,1.27E2,1.01E2
1.29E2,6.18E2,2.45E2,4.14E2,1.53E2,1.33E2,8.30E1,5.13E2,1.73E2,3.10E2,1.78E2,1.56E2,1.46E2,5.01E2,1.42E2,2.56E2,1.66E2,1.30E2
1.50E2,6.36E2,2.96E2,4.74E2,1.83E2,1.60E2,1.09E2,5.54E2,2.30E2,3.61E2,2.18E2,1.94E2,1.85E2,5.14E2,1.90E2,2.92E2,2.02E2,1.53E2
1.76E2,6.42E2,3.50E2,5.23E2,2.20E2,1.95E2,1.45E2,5.85E2,2.88E2,4.13E2,2.67E2,2.25E2,2.31E2,5.25E2,2.38E2,3.14E2,2.44E2,1.78E2
2.27E2,6.50E2,4.18E2,5.65E2,2.69E2,2.31E2,2.21E2,6.01E2,3.44E2,4.62E2,3.15E2,2.52E2,2.92E2,5.33E2,3.12E2,3.40E2,2.91E2,2.03E2
2.96E2,6.63E2,4.77E2,5.92E2,3.31E2,2.63E2,3.00E2,6.16E2,4.03E2,4.97E2,3.75E2,2.80E2,3.57E2,5.41E2,3.90E2,3.66E2,3.62E2,2.29E2
3.52E2,6.78E2,5.41E2,6.13E2,3.95E2,2.97E2,4.10E2,6.25E2,4.79E2,5.27E2,4.47E2,3.05E2,4.70E2,5.46E2,4.62E2,3.92E2,4.26E2,2.48E2
3.89E2,6.88E2,6.17E2,6.33E2,4.61E2,3.25E2,4.92E2,6.28E2,5.46E2,5.48E2,5.13E2,3.28E2,5.87E2,5.50E2,5.26E2,4.13E2,5.07E2,2.67E2
4.26E2,6.91E2,6.92E2,6.50E2,5.26E2,3.51E2,5.72E2,6.42E2,6.58E2,5.70E2,5.98E2,3.62E2,7.03E2,5.56E2,6.06E2,4.37E2,5.90E2,2.84E2
4.58E2,6.89E2,7.73E2,6.62E2,5.90E2,3.84E2,6.36E2,6.42E2,7.62E2,5.85E2,6.74E2,3.91E2,7.94E2,5.60E2,6.97E2,4.58E2,6.63E2,2.97E2
4.88E2,6.84E2,8.96E2,6.81E2,6.38E2,4.17E2,7.06E2,6.34E2,8.77E2,6.01E2,7.47E2,4.23E2,8.88E2,5.62E2,7.76E2,4.70E2,7.31E2,3.09E2
5.17E2,6.78E2,,,7.02E2,4.58E2,7.80E2,6.20E2,,,8.14E2,4.48E2,,,8.68E2,4.84E2,8.04E2,3.20E2
5.48E2,6.65E2,,,7.68E2,4.92E2,8.42E2,6.04E2,,,8.90E2,4.72E2,,,,,8.86E2,3.34E2
5.78E2,6.62E2,,,8.24E2,5.17E2,8.96E2,5.83E2,,,,,,,,,,
5.97E2,6.71E2,,,8.95E2,5.40E2,,,,,,,,,,,,
