MF_0_O2 time,MF_0_O2,MF_10p5_O2 time,MF_10p5_O2,MF_21_O2 time,MF_21_O2
s,mg/cm2/s,s,mg/cm2/s,s,mg/cm2/s
0.,0.,0.,0.,0.,0.
2.34E1,2.15E-1,2.06E1,2.34E-1,1.92E1,2.38E-1
4.40E1,3.81E-1,3.65E1,4.28E-1,2.89E1,3.30E-1
5.92E1,4.94E-1,4.96E1,6.15E-1,3.30E1,4.33E-1
7.37E1,5.80E-1,5.99E1,7.52E-1,4.06E1,6.23E-1
8.47E1,6.17E-1,6.82E1,8.46E-1,4.82E1,8.26E-1
9.02E1,6.25E-1,7.51E1,8.89E-1,5.37E1,1.01E0
9.71E1,6.21E-1,8.40E1,9.14E-1,5.64E1,1.09E0
1.03E2,6.09E-1,9.37E1,9.14E-1,5.92E1,1.13E0
1.11E2,5.92E-1,1.02E2,8.93E-1,6.20E1,1.17E0
1.24E2,5.60E-1,1.13E2,8.56E-1,6.75E1,1.19E0
1.39E2,5.15E-1,1.34E2,7.83E-1,6.95E1,1.19E0
1.53E2,4.78E-1,1.55E2,7.17E-1,7.37E1,1.19E0
1.70E2,4.47E-1,1.73E2,6.76E-1,7.85E1,1.17E0
1.97E2,4.13E-1,1.95E2,6.40E-1,8.54E1,1.13E0
2.40E2,3.72E-1,2.34E2,5.99E-1,9.71E1,1.06E0
3.01E2,3.43E-1,2.83E2,5.58E-1,1.08E2,1.00E0
3.61E2,3.15E-1,3.41E2,5.17E-1,1.19E2,9.57E-1
4.16E2,2.90E-1,4.00E2,4.77E-1,1.30E2,9.06E-1
4.74E2,2.58E-1,4.67E2,4.36E-1,1.45E2,8.59E-1
5.30E2,2.35E-1,5.27E2,4.07E-1,1.71E2,8.03E-1
5.84E2,2.29E-1,5.89E2,3.85E-1,1.96E2,7.63E-1
6.34E2,2.01E-1,6.42E2,3.67E-1,2.32E2,7.24E-1
6.83E2,1.85E-1,7.02E2,3.46E-1,2.79E2,6.81E-1
7.13E2,1.83E-1,,,3.27E2,6.42E-1
,,,,3.87E2,5.97E-1
,,,,4.49E2,5.61E-1
,,,,5.07E2,5.30E-1
,,,,5.75E2,4.98E-1
,,,,6.35E2,4.75E-1
,,,,6.93E2,4.49E-1
,,,,7.17E2,4.39E-1
