Front time,Front TMP,5mm time,5mm TMP,10mm time,10mm TMP,15mm time,15mm TMP,Rear time,Rear TMP
s,C,s,C,s,C,s,C,s,C
1.76E0,8.94E1,1.85E0,2.50E1,5.61E0,2.59E1,4.67E0,2.40E1,3.72E0,3.27E1
1.58E1,1.41E2,1.78E1,4.62E1,2.53E1,3.37E1,1.97E1,2.70E1,4.60E1,4.05E1
3.83E1,2.06E2,3.85E1,7.22E1,4.22E1,5.01E1,4.98E1,3.38E1,1.11E2,4.95E1
7.49E1,2.67E2,6.57E1,8.58E1,6.39E1,6.56E1,6.96E1,4.45E1,1.78E2,5.84E1
1.22E2,3.13E2,9.58E1,1.05E2,9.40E1,7.73E1,1.03E2,5.90E1,2.60E2,7.03E1
1.69E2,3.48E2,1.32E2,1.39E2,1.28E2,8.61E1,1.47E2,7.46E1,3.40E2,8.12E1
2.01E2,3.74E2,1.69E2,1.68E2,1.69E2,9.68E1,1.95E2,8.25E1,4.42E2,8.84E1
2.16E2,3.96E2,2.12E2,2.00E2,2.04E2,1.11E2,1.95E2,8.25E1,5.27E2,9.26E1
2.29E2,4.28E2,2.85E2,2.50E2,2.38E2,1.29E2,2.49E2,9.14E1,6.23E2,9.40E1
2.44E2,4.60E2,3.66E2,2.90E2,2.69E2,1.46E2,3.14E2,1.02E2,7.07E2,9.43E1
2.66E2,4.83E2,4.58E2,3.24E2,3.17E2,1.71E2,3.75E2,1.21E2,7.86E2,9.75E1
2.98E2,4.92E2,5.57E2,3.59E2,3.66E2,1.95E2,4.55E2,1.48E2,8.97E2,9.99E1
3.33E2,5.09E2,6.33E2,3.88E2,4.15E2,2.16E2,5.49E2,1.77E2,,
3.78E2,5.15E2,6.94E2,4.15E2,4.97E2,2.45E2,6.36E2,2.00E2,,
4.35E2,5.25E2,7.71E2,4.43E2,5.71E2,2.65E2,7.19E2,2.20E2,,
4.91E2,5.30E2,8.44E2,4.63E2,6.45E2,2.83E2,8.05E2,2.35E2,,
5.44E2,5.36E2,8.97E2,4.74E2,7.23E2,3.01E2,8.96E2,2.53E2,,
5.72E2,5.38E2,,,7.90E2,3.12E2,,,,
6.08E2,5.36E2,,,8.92E2,3.30E2,,,,
6.46E2,5.40E2,,,,,,,,
7.01E2,5.41E2,,,,,,,,
7.75E2,5.44E2,,,,,,,,
8.98E2,5.47E2,,,,,,,,
