MF_0_O2 time,MF_0_O2,MF_10p5_O2 time,MF_10p5_O2,MF_21_O2 time,MF_21_O2
s,mg/cm2/s,s,mg/cm2/s,s,mg/cm2/s
6.99E-1,1.13E-3,6.97E-1,3.40E-3,1.39E0,4.53E-3
6.96E0,4.19E-2,6.96E0,4.99E-2,7.66E0,4.65E-2
1.25E1,7.37E-2,1.67E1,9.07E-2,1.53E1,8.85E-2
2.09E1,9.30E-2,2.30E1,1.03E-1,2.58E1,1.03E-1
3.77E1,1.04E-1,4.26E1,1.10E-1,4.47E1,1.08E-1
5.80E1,1.05E-1,6.92E1,1.18E-1,6.64E1,1.13E-1
8.60E1,1.16E-1,9.44E1,1.40E-1,8.60E1,1.25E-1
1.28E2,1.44E-1,1.21E2,1.65E-1,9.79E1,1.39E-1
1.62E2,1.63E-1,1.42E2,1.98E-1,1.13E2,1.65E-1
2.05E2,1.78E-1,1.61E2,2.39E-1,1.26E2,1.98E-1
2.48E2,1.92E-1,1.76E2,2.87E-1,1.39E2,2.48E-1
2.85E2,2.07E-1,1.86E2,3.39E-1,1.47E2,3.05E-1
3.14E2,2.22E-1,1.97E2,3.86E-1,1.54E2,3.72E-1
3.49E2,2.21E-1,2.09E2,4.30E-1,1.59E2,4.45E-1
3.90E2,2.16E-1,2.23E2,4.62E-1,1.65E2,5.11E-1
4.41E2,2.01E-1,2.37E2,4.75E-1,1.71E2,5.84E-1
4.86E2,1.88E-1,2.42E2,4.76E-1,1.77E2,6.45E-1
5.39E2,1.73E-1,2.60E2,4.68E-1,1.85E2,6.95E-1
5.86E2,1.61E-1,2.85E2,4.51E-1,1.96E2,7.30E-1
6.36E2,1.49E-1,3.14E2,4.27E-1,2.11E2,7.42E-1
6.80E2,1.39E-1,3.50E2,4.07E-1,2.26E2,7.33E-1
7.17E2,1.35E-1,3.86E2,3.89E-1,2.41E2,7.13E-1
,,4.17E2,3.73E-1,2.64E2,6.80E-1
,,4.54E2,3.55E-1,2.91E2,6.49E-1
,,4.79E2,3.40E-1,3.16E2,6.20E-1
,,5.11E2,3.17E-1,3.39E2,5.96E-1
,,5.51E2,2.98E-1,3.62E2,5.65E-1
,,5.82E2,2.84E-1,3.87E2,5.33E-1
,,6.11E2,2.75E-1,4.13E2,5.01E-1
,,6.40E2,2.73E-1,4.42E2,4.76E-1
,,6.73E2,2.64E-1,4.75E2,4.56E-1
,,6.97E2,2.56E-1,5.10E2,4.38E-1
,,7.14E2,2.51E-1,5.41E2,4.18E-1
,,,,5.77E2,4.02E-1
,,,,6.09E2,3.88E-1
,,,,6.44E2,3.74E-1
,,,,6.76E2,3.61E-1
,,,,7.17E2,3.50E-1
