Time (sec),GHF0.3,GHF0.9,GHF1.5,GHF2.1,TGas0.3,Tgas0.9,Tgas1.5,Tgas2.1
   0.00,   0.00,   0.00,   0.00,   0.00,  84.23,  74.70,  66.93,  59.66
  10.00,   1.31,   0.00,   0.00,   0.00,  81.87,  69.49,  63.91,  59.66
  20.00,   1.23,   0.00,   0.00,   0.00,  78.69,  66.05,  62.67,  58.88
  30.00,   1.25,   0.00,   0.04,   0.00,  75.75,  65.57,  62.67,  56.98
  40.00,   1.18,   0.00,   0.72,   0.00,  73.85,  64.87,  62.65,  56.65
  50.00,   1.23,   0.00,   1.60,   0.00,  72.72,  64.07,  60.99,  56.65
  60.00,   1.23,   0.00,   2.49,   0.00,  72.92,  63.27,  60.31,  56.65
  70.00,  35.51,  18.49,  12.13,   2.65, 367.30, 264.76, 144.22,  93.76
  80.00,  83.87,  53.81,  31.60,  16.87, 970.93, 797.72, 543.24, 346.52
  90.00, 123.07,  63.39,  38.72,  19.69,1053.47, 892.15, 685.41, 514.18
 100.00, 134.19,  69.19,  39.20,  20.83,1079.04, 918.55, 727.37, 569.14
 110.00, 140.87,  70.34,  42.05,  23.07,1098.61, 934.07, 745.78, 590.04
 120.00, 140.81,  69.39,  41.31,  23.25,1095.02, 931.13, 744.64, 595.51
 130.00, 148.85,  73.69,  44.98,  23.46,1113.17, 946.12, 751.91, 597.93
 140.00, 152.36,  76.79,  44.97,  22.57,1129.43, 959.98, 766.99, 614.92
 150.00, 151.18,  77.29,  47.40,  24.09,1132.96, 964.47, 781.30, 625.08
 160.00, 148.80,  78.27,  47.13,  26.42,1131.95, 959.90, 781.64, 627.50
 170.00, 150.63,  82.54,  46.98,  27.81,1136.97, 967.75, 784.39, 628.04
 180.00, 153.16,  83.73,  49.02,  29.19,1153.76, 983.89, 797.59, 634.59
 190.00, 156.65,  84.34,  47.61,  30.24,1155.58, 976.75, 798.29, 643.42
 200.00, 155.54,  85.29,  47.80,  29.85,1157.69, 977.98, 797.03, 640.79
 210.00, 151.84,  84.94,  47.94,  29.81,1155.97, 977.92, 800.18, 640.07
 220.00, 154.08,  89.58,  47.29,  29.75,1152.07, 978.14, 800.39, 644.85
 230.00, 152.26,  87.00,  48.78,  28.91,1160.48, 980.67, 801.76, 646.40
 240.00, 148.35,  85.50,  44.90,  27.53,1140.49, 966.81, 785.80, 636.29
 250.00,  68.32,  40.48,  22.11,  20.44, 830.90, 777.65, 681.25, 577.34
 260.00,  31.47,  17.73,   8.91,   8.84, 452.31, 490.46, 445.48, 422.80
 270.00,  22.92,  13.81,   7.06,   5.43, 337.70, 412.98, 375.40, 350.43
 280.00,  18.56,  11.43,   5.64,   4.04, 299.40, 371.80, 332.19, 305.60
 290.00,  14.92,   9.56,   5.10,   3.36, 290.21, 336.49, 305.63, 273.88
 300.00,  12.19,   7.98,   4.45,   2.73, 236.80, 305.57, 271.82, 253.24
