s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
time,HRR,HRR_burner,HF1,HF2,HF3,HF4,HF5,HF6,TCAmb
0,0.49,239.78,0.42,0.16,0.14,0.08,0.06,0.04,19.29
1,-0.83,270.6,0.47,0.19,0.16,0.11,0.07,0.06,19.25
2,-2.88,241.88,0.5,0.19,0.17,0.11,0.08,0.07,19.22
3,1.79,269.01,0.52,0.2,0.17,0.1,0.08,0.06,19.21
4,12.11,244.56,0.54,0.2,0.17,0.13,0.09,0.07,19.15
5,28.16,258.25,0.56,0.2,0.19,0.13,0.09,0.07,19.15
6,54.32,257.39,0.63,0.24,0.22,0.15,0.1,0.06,19.13
7,102.28,252.43,1.12,0.43,0.44,0.28,0.19,0.15,19.13
8,146.24,263.83,0.84,0.29,0.32,0.21,0.15,0.13,19.14
9,189.76,253.45,0.71,0.22,0.26,0.17,0.12,0.09,19.16
10,218.67,261.89,0.66,0.2,0.25,0.13,0.11,0.08,19.17
11,238.18,259.28,0.66,0.22,0.25,0.14,0.1,0.07,19.11
12,239.9,256.08,0.68,0.24,0.26,0.15,0.12,0.08,19.07
13,236.53,260.56,0.71,0.26,0.29,0.17,0.13,0.11,19.04
14,221.17,258.27,0.73,0.28,0.29,0.15,0.14,0.13,19.02
15,210.1,263.13,0.73,0.28,0.29,0.18,0.14,0.13,19.03
16,205.54,259.9,0.75,0.29,0.29,0.19,0.15,0.13,19.08
17,204.9,260.66,0.75,0.31,0.31,0.18,0.14,0.14,19.16
18,205.49,259.35,0.75,0.31,0.29,0.21,0.14,0.13,19.18
19,207.42,260.39,0.75,0.31,0.31,0.21,0.13,0.12,19.18
20,221.39,261.33,0.75,0.31,0.31,0.22,0.15,0.12,19.18
21,228.23,260.19,0.71,0.29,0.29,0.21,0.15,0.12,19.17
22,241.98,260.81,0.71,0.28,0.29,0.19,0.14,0.12,19.19
23,249.28,260.48,0.71,0.28,0.29,0.19,0.14,0.14,19.2
24,259.44,261.36,0.71,0.28,0.29,0.18,0.14,0.11,19.21
25,259.17,261.46,0.68,0.28,0.29,0.18,0.14,0.12,19.23
26,266.21,261.21,0.68,0.28,0.29,0.19,0.14,0.1,19.25
27,267.49,261.67,0.68,0.28,0.28,0.19,0.14,0.12,19.27
28,268.42,261.36,0.68,0.28,0.28,0.18,0.14,0.11,19.3
29,265.99,261.51,0.68,0.28,0.28,0.18,0.14,0.13,19.32
30,260.09,260.9,0.7,0.28,0.29,0.18,0.14,0.14,19.35
31,259.88,259.54,0.7,0.29,0.29,0.18,0.14,0.13,19.36
32,262.21,259.92,0.68,0.28,0.28,0.18,0.13,0.11,19.37
33,263.43,260.02,0.68,0.28,0.28,0.19,0.12,0.09,19.39
34,263.07,259.99,0.67,0.28,0.28,0.21,0.12,0.11,19.41
35,266.44,258.13,0.67,0.29,0.28,0.19,0.13,0.12,19.42
36,263.19,258.19,0.67,0.29,0.29,0.21,0.14,0.13,19.44
37,267.75,258.28,0.68,0.29,0.29,0.21,0.15,0.12,19.42
38,268.38,258.25,0.68,0.29,0.29,0.19,0.13,0.12,19.41
39,268.55,258.25,0.7,0.29,0.29,0.19,0.13,0.12,19.41
40,269.7,258.59,0.67,0.28,0.28,0.19,0.13,0.11,19.42
41,261.5,258.14,0.64,0.28,0.26,0.18,0.13,0.12,19.4
42,264.75,258.23,0.64,0.27,0.26,0.19,0.12,0.1,19.39
43,264.69,258.26,0.64,0.28,0.28,0.19,0.13,0.1,19.38
44,267.23,258.24,0.64,0.28,0.28,0.18,0.11,0.11,19.39
45,268.26,258.39,0.67,0.28,0.29,0.19,0.12,0.12,19.38
46,259.98,258.41,0.66,0.28,0.28,0.19,0.13,0.12,19.3
47,263.79,258.38,0.64,0.28,0.28,0.19,0.14,0.11,19.26
48,256.71,257.82,0.66,0.28,0.28,0.18,0.14,0.12,19.22
49,252.12,258.52,0.66,0.28,0.28,0.19,0.13,0.12,19.21
50,253.06,258.45,0.67,0.29,0.28,0.19,0.13,0.12,19.19
51,259.28,258.26,0.68,0.29,0.28,0.19,0.13,0.14,19.18
52,264.63,258.17,0.71,0.29,0.29,0.19,0.12,0.12,19.19
53,267.19,258.03,0.71,0.29,0.28,0.18,0.13,0.11,19.16
54,269.05,258.13,0.71,0.29,0.28,0.18,0.14,0.11,19.13
55,269.18,258.24,0.68,0.29,0.28,0.19,0.15,0.12,19.09
56,271.34,258.31,0.68,0.29,0.28,0.21,0.14,0.15,19.04
57,267.06,258.39,0.7,0.29,0.28,0.22,0.15,0.14,19.01
58,257.22,258.01,0.68,0.29,0.28,0.21,0.15,0.14,19.01
59,262.03,258.27,0.67,0.29,0.28,0.21,0.14,0.14,18.98
60,254.75,257.86,0.7,0.29,0.28,0.21,0.14,0.14,18.96
61,257.22,258.35,0.7,0.31,0.26,0.21,0.14,0.14,18.94
62,258.75,258.21,0.7,0.29,0.28,0.21,0.11,0.14,18.95
63,251,258.25,0.71,0.29,0.29,0.21,0.11,0.14,18.94
64,256.88,258.8,0.71,0.31,0.29,0.19,0.13,0.14,18.93
65,257.18,258.45,0.71,0.29,0.31,0.21,0.15,0.14,18.93
66,257.85,258.25,0.71,0.29,0.31,0.19,0.15,0.14,18.92
67,257.12,258.53,0.71,0.29,0.31,0.19,0.15,0.13,18.93
68,259.89,258.33,0.7,0.29,0.31,0.19,0.15,0.13,18.95
69,259.66,258.09,0.68,0.27,0.29,0.18,0.15,0.13,18.95
70,255.76,257.79,0.67,0.26,0.28,0.18,0.14,0.14,18.96
71,260.28,257.99,0.66,0.26,0.26,0.18,0.14,0.13,18.97
72,253.1,258.4,0.64,0.26,0.26,0.18,0.12,0.12,18.97
73,253.38,257.99,0.66,0.27,0.26,0.18,0.12,0.13,18.95
74,251.92,258.21,0.66,0.27,0.28,0.19,0.12,0.13,18.97
75,258.02,258.26,0.66,0.26,0.28,0.19,0.13,0.13,19
76,256.82,258.54,0.64,0.26,0.26,0.19,0.13,0.13,19.01
77,256.16,258.34,0.63,0.27,0.26,0.19,0.12,0.13,19.01
78,251.9,258.06,0.63,0.26,0.26,0.19,0.13,0.13,18.99
79,255.09,259.34,0.66,0.27,0.28,0.19,0.13,0.14,19.01
80,255.39,258.24,0.75,0.29,0.32,0.21,0.14,0.14,19.03
81,254.3,258.2,0.96,0.36,0.39,0.23,0.18,0.16,19.06
82,257.34,258.27,1,0.37,0.39,0.22,0.19,0.15,19.07
83,257.68,258.38,1,0.37,0.41,0.25,0.18,0.15,19.08
84,254.25,258.19,0.99,0.37,0.41,0.23,0.19,0.16,19.09
85,257.13,258.13,0.99,0.36,0.41,0.26,0.18,0.15,19.11
86,254.42,258.15,1,0.36,0.39,0.26,0.18,0.16,19.12
87,259.77,258.28,0.97,0.36,0.39,0.25,0.18,0.15,19.13
88,262.01,258.19,0.96,0.36,0.38,0.23,0.17,0.15,19.14
89,261.28,258.21,0.96,0.36,0.38,0.25,0.17,0.15,19.14
90,261.26,258.56,0.95,0.35,0.36,0.23,0.17,0.14,19.15
91,265.92,257.86,0.95,0.35,0.38,0.22,0.17,0.15,19.12
92,266.37,254.9,0.96,0.35,0.38,0.23,0.15,0.16,19.11
93,268.82,254.59,0.96,0.35,0.38,0.25,0.17,0.16,19.08
94,263.15,254.97,0.96,0.35,0.38,0.25,0.15,0.16,19.05
95,260.93,254.52,1,0.35,0.39,0.26,0.15,0.16,19.04
96,262.53,254.7,1,0.36,0.39,0.25,0.19,0.16,19.03
97,262.03,251.39,1,0.37,0.39,0.25,0.19,0.16,19.05
98,260.06,251.45,1,0.37,0.41,0.25,0.16,0.17,19.07
99,259.15,251.55,1,0.37,0.41,0.25,0.17,0.17,19.07
100,262.53,251.34,1,0.36,0.41,0.25,0.19,0.17,19.05
101,268.77,251.17,1,0.37,0.41,0.25,0.19,0.18,19.05
102,266.27,251.45,0.97,0.36,0.39,0.23,0.18,0.17,19.02
103,264.09,251.61,0.96,0.35,0.39,0.25,0.18,0.16,19
104,262.58,251.31,0.95,0.36,0.38,0.25,0.16,0.16,19
105,261.22,251.36,0.95,0.35,0.38,0.26,0.17,0.16,18.99
106,258.81,251.63,0.93,0.35,0.36,0.26,0.17,0.16,18.98
107,260,251.27,0.92,0.35,0.35,0.26,0.17,0.16,18.98
108,255.46,251.09,0.92,0.35,0.36,0.26,0.17,0.15,18.94
109,259.31,251.73,0.93,0.36,0.38,0.25,0.17,0.17,18.89
110,261.72,250.35,0.96,0.36,0.39,0.26,0.18,0.16,18.85
111,262.01,249.68,0.99,0.37,0.39,0.26,0.19,0.16,18.8
112,262.72,249.7,0.97,0.35,0.39,0.27,0.19,0.16,18.76
113,261.12,249.87,0.99,0.35,0.39,0.26,0.19,0.17,18.74
114,262.38,250.2,0.99,0.36,0.39,0.26,0.2,0.18,18.73
115,258.59,250.78,0.99,0.37,0.41,0.26,0.2,0.16,18.72
116,267.9,249.91,0.97,0.37,0.39,0.26,0.2,0.18,18.72
117,265.66,251.05,0.97,0.37,0.39,0.26,0.19,0.18,18.7
118,264.53,249.63,0.97,0.36,0.39,0.26,0.19,0.18,18.69
119,262.38,249.41,0.97,0.36,0.39,0.25,0.18,0.18,18.69
120,258.12,249.44,0.97,0.36,0.39,0.25,0.16,0.16,18.7
121,254.05,249.27,0.97,0.36,0.41,0.26,0.17,0.16,18.71
122,252.82,249.61,0.99,0.36,0.39,0.26,0.19,0.16,18.71
123,251.82,249.27,0.97,0.36,0.39,0.26,0.19,0.15,18.74
124,252.29,249.27,0.97,0.37,0.41,0.25,0.17,0.17,18.79
125,254.83,249.65,0.97,0.36,0.39,0.25,0.17,0.18,18.83
126,252.54,249.36,0.97,0.33,0.38,0.26,0.18,0.17,18.86
127,257.68,249.63,0.96,0.33,0.38,0.25,0.18,0.17,18.9
128,255.26,249.41,0.95,0.35,0.36,0.25,0.17,0.17,18.94
129,253.12,249.34,0.95,0.35,0.34,0.22,0.18,0.16,18.96
130,250.05,249.76,0.93,0.33,0.34,0.23,0.19,0.15,18.97
131,251.53,249.79,0.95,0.33,0.36,0.23,0.18,0.15,18.98
132,251.67,249.73,0.95,0.32,0.35,0.23,0.17,0.16,18.99
133,247.28,249.58,0.93,0.33,0.35,0.23,0.16,0.16,18.97
134,250.14,249.89,0.93,0.33,0.36,0.23,0.16,0.16,18.97
135,247.87,249.66,0.93,0.35,0.36,0.23,0.17,0.15,18.98
136,247.71,249.9,0.96,0.35,0.36,0.25,0.18,0.15,19.01
137,246.31,249.78,0.96,0.35,0.36,0.26,0.16,0.14,19.03
138,249.62,249.72,0.96,0.35,0.36,0.25,0.16,0.15,18.99
139,249.49,249.11,0.95,0.35,0.36,0.25,0.15,0.15,18.97
140,250.35,249.16,0.96,0.36,0.38,0.26,0.15,0.15,18.94
141,254.44,249.55,0.95,0.36,0.39,0.25,0.2,0.16,18.93
142,253.31,249.71,0.96,0.36,0.39,0.25,0.2,0.17,18.93
143,251.28,249.63,0.97,0.36,0.38,0.25,0.19,0.16,18.96
144,255.62,249.68,0.99,0.35,0.38,0.25,0.19,0.16,18.97
145,250.46,249.47,0.95,0.35,0.36,0.25,0.18,0.15,18.96
146,249.31,249.53,0.96,0.36,0.39,0.25,0.19,0.18,18.95
147,248.63,249.32,0.97,0.37,0.39,0.25,0.19,0.17,18.97
148,256.45,249.78,0.97,0.37,0.39,0.26,0.2,0.16,18.98
149,254.1,249.73,0.99,0.36,0.39,0.25,0.21,0.15,19.03
150,253.33,249.53,0.97,0.36,0.39,0.25,0.2,0.16,19.05
151,250.97,249.69,0.96,0.36,0.39,0.25,0.2,0.16,19.06
152,248.62,249.66,0.99,0.35,0.38,0.25,0.19,0.16,19.08
153,252.1,249.85,0.99,0.36,0.39,0.26,0.19,0.18,19.1
154,253.75,249.24,0.96,0.35,0.39,0.26,0.19,0.17,19.09
155,252.5,249.73,0.97,0.35,0.38,0.26,0.19,0.16,19.1
156,253.6,249.85,0.96,0.35,0.38,0.25,0.19,0.17,19.1
157,253.39,249.69,0.96,0.35,0.38,0.25,0.19,0.16,19.12
158,248.34,249.39,0.96,0.35,0.39,0.25,0.19,0.15,19.15
159,250.37,249.15,0.96,0.33,0.38,0.23,0.17,0.15,19.16
160,252.02,249.12,0.96,0.33,0.38,0.23,0.18,0.16,19.17
161,253.41,249.16,0.96,0.33,0.38,0.25,0.19,0.15,19.18
162,251.97,249.63,0.96,0.33,0.38,0.25,0.19,0.16,19.19
163,249.81,249.51,0.96,0.33,0.38,0.25,0.19,0.15,19.2
164,247.01,249.64,0.96,0.33,0.39,0.25,0.19,0.14,19.2
165,247.96,249.74,0.97,0.35,0.39,0.25,0.19,0.15,19.2
166,247.61,249.45,0.99,0.36,0.41,0.26,0.2,0.17,19.21
167,251.29,249.12,0.99,0.36,0.39,0.26,0.2,0.18,19.22
168,251.08,249.37,0.99,0.37,0.38,0.25,0.2,0.17,19.22
169,253.54,249.9,0.99,0.37,0.39,0.25,0.19,0.18,19.23
170,250.62,249.48,1,0.37,0.39,0.26,0.2,0.16,19.23
171,246.89,249.79,0.97,0.36,0.39,0.23,0.19,0.17,19.25
172,247.95,249.76,0.93,0.36,0.38,0.23,0.2,0.17,19.26
173,246.17,249.52,0.95,0.36,0.38,0.25,0.19,0.17,19.27
174,248.65,249.74,0.96,0.36,0.38,0.25,0.19,0.18,19.29
175,248.98,249.78,0.96,0.37,0.39,0.25,0.2,0.18,19.3
176,255.43,249.35,0.96,0.36,0.38,0.25,0.2,0.18,19.29
177,252.43,249.29,0.93,0.35,0.38,0.25,0.2,0.17,19.29
178,255.38,249.35,0.92,0.35,0.38,0.26,0.2,0.15,19.31
179,250.25,249.45,0.96,0.35,0.38,0.25,0.19,0.16,19.31
180,251.06,249.75,0.99,0.37,0.38,0.26,0.19,0.16,19.33
