Time,HRRPUA
0.0,0.0
12.2,0.0
24.3,65.0
36.5,181.1
48.6,207.4
60.8,192.6
72.9,179.8
85.1,174.0
97.2,168.3
109.4,162.7
121.5,144.2
133.7,121.2
145.8,105.7
158.0,95.0
170.1,86.3
182.3,80.4
194.4,75.4
206.6,70.4
218.7,67.8
230.9,64.9
243.0,62.0
255.2,60.1
267.3,58.4
279.5,56.8
291.6,55.6
303.8,54.3
315.9,52.7
328.1,51.8
340.2,50.9
352.4,49.8
364.5,48.3
376.7,47.0
388.8,45.6
401.0,43.6
413.1,41.8
425.3,40.8
437.4,40.7
449.6,40.5
461.7,40.2
473.9,40.1
486.0,39.7
498.2,39.3
510.3,39.4
522.5,39.1
534.6,39.2
546.8,39.3
558.9,40.0
571.1,40.1
583.2,40.3
595.4,40.4
607.5,40.5
619.7,40.4
631.8,40.3
644.0,40.2
656.1,40.1
668.3,40.3
680.4,40.1
692.6,39.6
704.7,39.2
716.9,39.1
729.0,39.1
741.2,39.3
753.3,39.5
765.5,39.5
777.6,39.3
789.8,39.1
801.9,38.8
814.1,38.6
826.2,38.4
838.4,38.4
850.6,38.1
862.7,38.3
874.9,38.4
887.0,38.3
899.2,38.3
911.3,38.2
923.5,38.5
935.6,38.4
947.8,38.6
959.9,38.6
972.1,38.7
984.2,39.0
996.4,38.8
1008.5,38.6
1020.7,38.4
1032.8,38.3
1045.0,38.4
1057.1,38.6
1069.3,38.7
1081.4,38.6
1093.6,38.6
1105.7,38.8
1117.9,39.3
1130.0,39.4
1142.2,39.9
1154.3,39.8
1166.5,39.9
1178.6,40.4
1190.8,40.1
1202.9,40.3
1215.1,40.4
1227.2,40.4
1239.4,40.9
1251.5,40.7
1263.7,40.7
1275.8,40.6
1288.0,40.6
1300.1,40.4
1312.3,40.7
1324.4,41.0
1336.6,41.0
1348.7,41.1
1360.9,40.6
1373.0,40.7
1385.2,40.7
1397.3,40.6
1409.5,40.7
1421.6,40.5
1433.8,40.6
1445.9,40.8
1458.1,40.7
1470.2,40.5
1482.4,40.4
1494.5,40.2
1506.7,39.9
1518.8,39.9
1531.0,39.8
1543.1,39.9
1555.3,39.8
1567.4,39.8
1579.6,39.8
1591.7,39.8
1603.9,39.7
1616.0,39.5
1628.2,39.3
1640.3,39.6
1652.5,39.8
1664.7,39.7
1676.8,39.6
1689.0,39.9
1701.1,40.3
1713.3,40.4
1725.4,40.8
1737.6,41.0
1749.7,40.9
1761.9,41.2
1774.0,41.2
1786.2,41.2
1798.3,41.1
1810.5,40.9
1822.6,40.7
1834.8,40.8
1846.9,40.5
1859.1,40.1
1871.2,40.2
1883.4,40.0
1895.5,40.1
1907.7,40.7
1919.8,40.5
1932.0,40.9
1944.1,41.0
1956.3,40.8
1968.4,40.8
1980.6,40.4
1992.7,39.9
2004.9,39.7
2017.0,39.6
2029.2,39.7
2041.3,39.5
2053.5,39.1
