Time,HRRPUA
0.0,0.0
13.5,0.0
27.0,0.0
40.5,0.0
54.0,68.0
67.5,129.5
81.0,138.6
94.5,132.3
108.0,124.5
121.6,119.8
135.1,118.8
148.6,114.8
162.1,113.7
175.6,112.8
189.1,111.5
202.6,108.1
216.1,105.6
229.6,103.5
243.1,103.7
256.6,102.9
270.1,103.4
283.6,103.4
297.1,105.9
310.6,106.0
324.1,107.2
337.6,107.4
351.1,106.0
364.7,104.0
378.2,101.2
391.7,100.6
405.2,97.5
418.7,97.5
432.2,95.8
445.7,94.6
459.2,94.0
472.7,90.7
486.2,90.0
499.7,89.2
513.2,87.4
526.7,86.0
540.2,84.6
553.7,83.7
567.2,82.4
580.7,80.5
594.2,80.6
607.8,79.9
621.3,78.4
634.8,77.5
648.3,77.3
661.8,76.1
675.3,74.9
688.8,73.2
702.3,73.2
715.8,72.6
729.3,72.7
742.8,71.2
756.3,70.9
769.8,70.6
783.3,70.8
796.8,69.3
810.3,69.0
823.8,67.8
837.3,67.4
850.9,67.7
864.4,67.6
877.9,67.9
891.4,65.7
904.9,66.1
918.4,66.3
931.9,65.7
945.4,66.3
958.9,64.6
972.4,64.8
985.9,65.7
999.4,64.6
1012.9,65.1
1026.4,64.2
1039.9,63.1
1053.4,63.3
1066.9,62.8
1080.4,62.8
1094.0,62.5
1107.5,61.5
1121.0,60.5
1134.5,61.2
1148.0,59.8
1161.5,61.1
1175.0,60.1
1188.5,60.7
1202.0,59.4
