1 Time From Ignition (s),2 O2Rear (mol/mol),3 CO2Rear (mol/mol),4 CORear (mol/mol),5 THCRear (mol/mol),6 SootRear (g/g),7 O2Front (mol/mol),8 CO2Front (mol/mol),9 COFront (mol/mol),10 THCFront (mol/mol),11 SootFront (g/g),12 HFR (kW/m2),13 HFF (kW/m2),14 TambCal (C),15 TRSampA (C),16 TFSampA (C),17 TR24A (C),18 TR80A (C),19 TF24A (C),20 TF80A (C),21 TFloorR (C),22 TFloorF (C),23 TCeilF (C),24 TWallUR (C),25 TUFloor (C),26 TD79LBB (C),27 TD79CBB (C),28 TD79RBB (C),29 TD70LA (C),30 TD70LBB (C),31 TD70CA (C),32 TD70CBB (C),33 TD30LA (C),34 TD30LBB (C),35 TD60CBB (C),36 TD50CA (C),37 TD50CBB (C),38 TD40CBB (C),39 TD30CA (C),40 TD30CBB (C),41 TD20LBB (C),42 TD20CBB (C),43 TD20RBB (C),44 TD5CBB (C),45 VD79L (m/s),46 VD79C (m/s),47 VD79R (m/s),48 VD60C (m/s),49 VD40C (m/s),50 VD20L (m/s),51 VD20C (m/s),52 VD20R (m/s),53 VD5C (m/s),54 HRRcal (kW),55 HRRburner (kW),56 StackMFR (kg/s),57 Tstack (C),58 O2stack (mol/mol),59 CO2stack (mol/mol),60 COstack (mol/mol),61 THCstack (mol/mol),62 MSstack (mg/m3),63 H2ORear (mol/mol),64 H2OFront (mol/mol)
-100,0.20859,0.000746,0,0.000025,NaN,0.208655,0.000746,0,0.000008,NaN,0.21,0.27,25.28,32.83,34.32,27.35,31.35,26.89,31.51,10,26.57,33.24,27.57,10,NaN,29.68,NaN,NaN,NaN,27.68,27.29,NaN,NaN,25.98,24.61,24.62,23.7,24.96,24.19,NaN,23.97,NaN,22.84,NaN,-0.329,NaN,0.319,-0.079,NaN,-0.196,NaN,-0.277,-0.28,0,2.571,25.087,0.209682,0.000651,0,NaN,NaN,0.001488,0.001367
-95,0.208575,0.00076,0.000001,0.000023,NaN,0.208666,0.000746,0,0.000007,NaN,0.21,0.27,25.261,32.82,34.29,27.34,31.33,26.87,31.5,10,26.42,33.21,27.52,10,NaN,29.46,NaN,NaN,NaN,27.68,27.33,NaN,NaN,26.01,24.6,24.57,23.66,24.95,24.15,NaN,23.92,NaN,22.8,NaN,-0.274,NaN,0.317,-0.1,NaN,-0.189,NaN,-0.26,-0.13,0,2.539,25.081,0.209676,0.000663,0,NaN,NaN,0.001522,0.001368
-90,0.208567,0.000766,0.000005,0.000022,NaN,0.208656,0.000751,0,0.000007,NaN,0.2,0.27,25.258,32.8,34.27,27.33,31.32,26.84,31.49,10,26.2,33.17,27.48,10,NaN,29.31,NaN,NaN,NaN,27.67,27.39,NaN,NaN,26.09,24.59,24.49,23.68,24.95,24.11,NaN,23.89,NaN,22.74,NaN,-0.275,NaN,0.302,-0.089,NaN,-0.197,NaN,-0.264,-0.07,0,2.513,25.069,0.209673,0.000671,0,NaN,NaN,0.001542,0.001389
-85,0.208575,0.000758,0,0.000022,NaN,0.208655,0.000752,0,0.000007,NaN,0.2,0.27,25.263,32.79,34.25,27.33,31.31,26.83,31.47,10,26.1,33.15,27.49,10,NaN,29.23,NaN,NaN,NaN,27.66,27.3,NaN,NaN,26.18,24.6,24.57,23.68,24.95,24.11,NaN,23.87,NaN,22.72,NaN,-0.293,NaN,0.298,-0.116,NaN,-0.195,NaN,-0.268,0.08,0,2.508,25.073,0.20967,0.00067,0,NaN,NaN,0.001507,0.001373
-80,0.208578,0.000756,0,0.000022,NaN,0.208664,0.000749,0,0.000007,NaN,0.2,0.27,25.256,32.77,34.23,27.33,31.3,26.82,31.45,10,26.03,33.13,27.54,10,NaN,29.23,NaN,NaN,NaN,27.65,27.11,NaN,NaN,26.2,24.6,24.73,23.77,24.94,24.15,NaN,23.87,NaN,22.71,NaN,-0.314,NaN,0.326,-0.148,NaN,-0.202,NaN,-0.277,0.27,0,2.49,25.077,0.209666,0.000667,0,NaN,NaN,0.0015,0.001361
-75,0.208584,0.000753,0.000001,0.000023,NaN,0.208655,0.000749,0,0.000008,NaN,0.2,0.27,25.256,32.74,34.19,27.29,31.26,26.78,31.41,10,25.93,33.11,27.56,10,NaN,29.17,NaN,NaN,NaN,27.62,26.94,NaN,NaN,26.02,24.16,24.68,23.82,24.88,24.2,NaN,23.91,NaN,22.65,NaN,-0.297,NaN,0.337,-0.133,NaN,-0.195,NaN,-0.287,0.14,0,2.473,25.07,0.20967,0.000664,0,NaN,NaN,0.001508,0.001381
-70,0.208593,0.000744,0,0.000023,NaN,0.208648,0.00075,0,0.000008,NaN,0.2,0.27,25.252,32.53,33.61,26.8,30.94,26.22,31.04,10,25.93,33.09,27.54,10,NaN,29.27,NaN,NaN,NaN,27.4,26.97,NaN,NaN,25.92,21.62,24.54,23.81,24.46,24.07,NaN,23.89,NaN,22.67,NaN,-0.274,NaN,0.326,-0.104,NaN,-0.194,NaN,-0.275,-0.14,0,2.466,25.064,0.209677,0.00066,0,NaN,NaN,0.00148,0.001399
-65,0.208599,0.000747,0,0.000022,NaN,0.208648,0.000751,0,0.000009,NaN,0.2,0.27,25.246,32.2,32.79,26.05,30.43,25.46,30.66,10,25.99,33.09,27.58,10,NaN,29.38,NaN,NaN,NaN,27.21,27.07,NaN,NaN,25.96,20.32,24.22,23.82,23.96,23.82,NaN,23.88,NaN,22.77,NaN,-0.206,NaN,0.32,-0.137,NaN,-0.206,NaN,-0.255,-0.18,0,2.473,25.067,0.209677,0.000661,0,NaN,NaN,0.001465,0.001408
-60,0.20861,0.000751,0,0.000022,NaN,0.208655,0.000761,0,0.000013,NaN,0.2,0.27,25.235,32.02,32.31,25.61,30.08,24.94,30.5,10,26.27,33.06,27.5,10,NaN,29.24,NaN,NaN,NaN,27.12,27.05,NaN,NaN,25.97,20.86,23.98,23.85,23.74,23.63,NaN,23.94,NaN,22.9,NaN,-0.167,NaN,0.315,-0.143,NaN,-0.214,NaN,-0.258,0.13,0,2.522,25.095,0.209667,0.000674,0.000001,NaN,NaN,0.001451,0.001418
-55,0.208608,0.000753,0,0.000023,NaN,0.208662,0.000768,0,0.000016,NaN,0.2,0.27,25.236,31.82,31.89,25.33,29.91,24.55,30.36,10,26.58,33.05,27.39,10,NaN,28.75,NaN,NaN,NaN,26.69,26.65,NaN,NaN,25.76,21.28,23.96,23.9,23.82,23.77,NaN,23.99,NaN,23.02,NaN,0.035,NaN,0.348,-0.147,NaN,-0.244,NaN,-0.283,1.07,0,2.589,25.199,0.209643,0.000691,0.000001,NaN,NaN,0.001476,0.001436
-50,0.208593,0.000765,0,0.000023,NaN,0.208662,0.000772,0,0.000017,NaN,0.18,0.27,25.246,31.75,31.52,25.16,29.86,24.56,30.22,10,26.8,33.04,27.37,10,NaN,28.15,NaN,NaN,NaN,26.26,26.06,NaN,NaN,25.37,21.82,24.23,24.15,24.16,24.24,NaN,24.13,NaN,23.15,NaN,0.17,NaN,0.36,-0.15,NaN,-0.229,NaN,-0.288,1.23,0,2.626,25.273,0.209639,0.000694,0,NaN,NaN,0.001513,0.001442
