Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.089E-01,  5.000E-04,  2.419E-05,  1.233E-05,   NaN,  2.091E-01,  5.154E-04,  9.762E-06,  1.733E-05,   NaN,   0.12,   0.23,  26.3,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  27.5,  29.5,  33.0,  26.9,  26.0,  27.8,  27.6,  27.4,   NaN,  27.5,   NaN,  27.4,   NaN,  27.3,  27.4,   NaN,  27.3,  27.6,   NaN,  27.2,  27.6,  27.2,  26.9,  27.2, -0.21, -0.08, -0.16,  0.36, -0.23, -0.13,  0.01,  0.18, -0.29,  -0.0,   2.7, 2.249334,  28.2,  2.099E-01,  4.660E-04,  0.000E+00,  2.000E-06,   NaN,  7.863E-04,  7.878E-04
  30.,  2.006E-01,  5.673E-03,  4.933E-05,  2.817E-05,   NaN,  2.020E-01,  5.846E-03,  4.050E-05,  2.433E-05,   NaN,   0.93,   1.11,  26.3,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  34.5,  39.7, 149.2,  26.9,  26.0,  70.7,  84.9,  61.6,   NaN, 140.6,   NaN, 123.1,   NaN,  30.1, 106.8,   NaN,  90.8,  30.5,   NaN,  30.9,  28.1,  27.7,  27.2,  27.6, -0.87, -0.86, -0.71, -0.74, -0.35,  0.42,  0.47,  0.49,  0.42,  18.5,  64.1, 2.284333,  30.4,  2.093E-01,  8.075E-04,  1.333E-06,  2.000E-06,   NaN,  8.583E-03,  8.830E-03
  60.,  1.830E-01,  1.574E-02,  4.983E-05,  2.467E-05,   NaN,  1.865E-01,  1.439E-02,  4.200E-05,  2.300E-05,   NaN,   2.22,   2.49,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  56.0,  65.5, 251.0,  26.9,  26.0, 103.9, 146.3, 101.5,   NaN, 246.9,   NaN, 218.1,   NaN,  36.3, 189.1,   NaN, 152.0,  36.2,   NaN,  39.8,  30.1,  29.2,  28.4,  29.2, -1.20, -1.20, -1.35, -1.09, -0.39,  0.52,  0.56,  0.61,  0.58,  39.4,  63.8, 2.295667,  34.9,  2.087E-01,  1.255E-03,  8.333E-07,  2.000E-06,   NaN,  2.368E-02,  2.165E-02
  90.,  1.712E-01,  2.244E-02,  4.300E-05,  2.167E-05,   NaN,  1.772E-01,  1.937E-02,  2.350E-05,  1.767E-05,   NaN,   3.38,   3.77,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  76.4,  91.8, 294.9,  27.0,  26.1, 118.7, 169.9, 100.2,   NaN, 287.3,   NaN, 265.8,   NaN,  41.9, 223.0,   NaN, 180.6,  40.1,   NaN,  47.3,  32.5,  30.6,  29.6,  30.7, -1.20, -0.98, -1.39, -1.19, -0.41,  0.53,  0.59,  0.66,  0.63,  46.8,  64.2, 2.281500,  37.9,  2.085E-01,  1.426E-03,  5.000E-07,  2.000E-06,   NaN,  3.373E-02,  2.909E-02
 120.,  1.640E-01,  2.661E-02,  4.167E-05,  2.133E-05,   NaN,  1.700E-01,  2.349E-02,  3.800E-05,  1.850E-05,   NaN,   5.35,   4.89,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  98.4, 115.9, 338.0,  27.5,  26.1, 180.9, 180.3, 133.5,   NaN, 331.2,   NaN, 299.0,   NaN,  46.9, 256.9,   NaN, 214.7,  44.6,   NaN,  58.1,  35.5,  31.9,  30.5,  33.1, -1.80, -1.07, -1.55, -1.30, -0.41,  0.59,  0.61,  0.67,  0.66,  57.4,  67.8, 2.271833,  40.9,  2.082E-01,  1.656E-03,  5.000E-07,  2.000E-06,   NaN,  3.997E-02,  3.530E-02
 150.,  1.570E-01,  3.061E-02,  7.033E-05,  2.117E-05,   NaN,  1.638E-01,  2.686E-02,  4.267E-05,  1.750E-05,   NaN,   6.58,   6.24,  26.3,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 121.5, 141.4, 368.7,  28.3,  26.1, 209.8, 201.7, 134.3,   NaN, 371.7,   NaN, 337.2,   NaN,  52.9, 292.4,   NaN, 243.8,  52.2,   NaN,  68.6,  39.5,  33.4,  31.6,  35.4, -1.95, -1.15, -1.49, -1.41, -0.42,  0.64,  0.66,  0.70,  0.73,  64.2,  71.6, 2.247000,  43.6,  2.080E-01,  1.838E-03,  1.500E-06,  2.000E-06,   NaN,  4.602E-02,  4.035E-02
 180.,  1.548E-01,  3.189E-02,  1.205E-04,  2.467E-05,   NaN,  1.628E-01,  2.758E-02,  5.650E-05,  1.700E-05,   NaN,   7.16,   6.66,  26.3,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 132.5, 153.8, 367.8,  29.6,  26.1, 183.0, 206.0, 118.6,   NaN, 355.5,   NaN, 331.8,   NaN,  58.3, 292.8,   NaN, 243.4,  59.4,   NaN,  77.4,  43.3,  33.7,  31.9,  36.6, -1.71, -1.03, -1.32, -1.45, -0.33,  0.64,  0.66,  0.73,  0.76,  58.4,  72.9, 2.148000,  44.0,  2.080E-01,  1.767E-03,  2.500E-06,  2.000E-06,   NaN,  4.802E-02,  4.146E-02
 210.,  1.484E-01,  3.583E-02,  4.035E-04,  2.218E-04,   NaN,  1.575E-01,  3.107E-02,  1.467E-04,  3.083E-05,   NaN,   8.56,   8.45,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 150.3, 174.5, 413.3,  31.3,  26.1, 220.7, 229.6, 138.4,   NaN, 386.7,   NaN, 368.4,   NaN,  65.8, 313.1,   NaN, 266.2,  71.8,   NaN,  84.4,  45.4,  35.2,  33.0,  38.7, -1.77, -1.01, -1.54, -1.53, -0.29,  0.66,  0.68,  0.74,  0.76,  63.9,  72.9, 2.089167,  45.3,  2.078E-01,  1.911E-03,  1.033E-05,  2.167E-06,   NaN,  5.436E-02,  4.682E-02
 240.,  1.369E-01,  4.232E-02,  2.189E-03,  3.315E-04,   NaN,  1.480E-01,  3.601E-02,  7.170E-04,  7.050E-05,   NaN,  11.17,  10.73,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 190.2, 208.0, 466.1,  33.2,  26.1, 279.2, 271.5, 167.9,   NaN, 422.3,   NaN, 437.1,   NaN,  76.4, 356.5,   NaN, 284.2,  85.2,   NaN,  94.1,  49.9,  37.8,  35.2,  41.5, -2.23, -1.24, -1.84, -1.60, -0.30,  0.67,  0.68,  0.76,  0.78,  79.9,  73.3, 2.128167,  48.3,  2.073E-01,  2.292E-03,  7.517E-05,  4.000E-06,   NaN,  6.676E-02,  5.509E-02
 270.,  1.341E-01,  4.324E-02,  3.057E-03,  2.157E-04,   NaN,  1.473E-01,  3.605E-02,  1.094E-03,  9.500E-05,   NaN,  11.65,  10.31,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 204.4, 215.5, 438.9,  35.5,  26.1, 273.6, 255.4, 175.8,   NaN, 372.9,   NaN, 407.6,   NaN,  76.7, 349.3,   NaN, 275.2,  84.5,   NaN,  92.5,  51.2,  37.8,  35.5,  43.0, -2.28, -1.17, -1.89, -1.62, -0.31,  0.68,  0.69,  0.78,  0.79,  72.0,  74.3, 2.104334,  48.9,  2.075E-01,  2.128E-03,  8.617E-05,  3.833E-06,   NaN,  6.945E-02,  5.571E-02
 300.,  1.328E-01,  4.394E-02,  2.988E-03,  2.227E-04,   NaN,  1.478E-01,  3.581E-02,  1.102E-03,  9.617E-05,   NaN,  12.27,  10.94,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 215.9, 224.6, 452.8,  38.1,  26.1, 306.0, 269.6, 182.0,   NaN, 355.2,   NaN, 415.4,   NaN,  80.3, 357.4,   NaN, 281.3,  91.3,   NaN, 110.2,  59.3,  39.5,  36.7,  46.8, -2.56, -1.40, -1.85, -1.64, -0.27,  0.73,  0.71,  0.76,  0.83,  74.7,  74.2, 2.152333,  49.6,  2.075E-01,  2.139E-03,  7.633E-05,  3.833E-06,   NaN,  7.040E-02,  5.537E-02
 330.,  1.339E-01,  4.319E-02,  3.007E-03,  2.300E-04,   NaN,  1.475E-01,  3.594E-02,  1.078E-03,  9.983E-05,   NaN,  12.78,  11.52,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 220.8, 231.6, 461.8,  40.3,  26.2, 308.9, 270.6, 182.5,   NaN, 342.6,   NaN, 415.7,   NaN,  81.3, 360.5,   NaN, 282.2,  98.5,   NaN, 111.4,  64.1,  40.4,  36.9,  49.6, -2.50, -1.28, -1.73, -1.67, -0.28,  0.73,  0.71,  0.78,  0.81,  75.1,  74.2, 2.181667,  50.0,  2.075E-01,  2.137E-03,  8.017E-05,  4.000E-06,   NaN,  6.930E-02,  5.552E-02
 360.,  1.347E-01,  4.300E-02,  2.955E-03,  2.388E-04,   NaN,  1.481E-01,  3.584E-02,  1.123E-03,  1.022E-04,   NaN,  13.31,  11.90,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 233.4, 237.9, 461.8,  41.8,  26.2, 335.3, 277.9, 196.2,   NaN, 336.4,   NaN, 420.1,   NaN,  82.6, 362.9,   NaN, 280.7, 102.1,   NaN, 111.9,  61.9,  40.4,  37.3,  50.0, -2.80, -1.47, -1.95, -1.68, -0.33,  0.72,  0.72,  0.78,  0.85,  77.4,  74.1, 2.188333,  50.6,  2.075E-01,  2.172E-03,  8.567E-05,  4.000E-06,   NaN,  6.894E-02,  5.544E-02
 390.,  1.289E-01,  4.642E-02,  3.464E-03,  2.272E-04,   NaN,  1.450E-01,  3.744E-02,  1.220E-03,  1.008E-04,   NaN,  14.40,  12.73,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 242.5, 247.9, 478.1,  43.1,  26.3, 359.9, 286.1, 205.3,   NaN, 338.2,   NaN, 431.0,   NaN,  95.4, 374.3,   NaN, 287.5, 111.0,   NaN, 124.6,  65.4,  41.3,  38.2,  51.2, -2.96, -1.30, -1.94, -1.71, -0.28,  0.74,  0.71,  0.78,  0.86,  78.3,  74.1, 2.162333,  51.3,  2.074E-01,  2.225E-03,  1.027E-04,  4.000E-06,   NaN,  7.482E-02,  5.799E-02
 420.,  1.255E-01,  4.838E-02,  4.250E-03,  2.323E-04,   NaN,  1.428E-01,  3.892E-02,  1.542E-03,  1.105E-04,   NaN,  15.87,  13.72,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 253.5, 260.1, 492.6,  44.8,  26.3, 333.8, 302.2, 190.9,   NaN, 342.7,   NaN, 451.8,   NaN, 104.9, 384.1,   NaN, 300.4, 122.0,   NaN, 116.7,  66.2,  42.4,  38.6,  53.2, -2.61, -1.41, -1.96, -1.76, -0.24,  0.74,  0.72,  0.80,  0.87,  80.5,  74.1, 2.119000,  51.7,  2.073E-01,  2.313E-03,  1.263E-04,  4.333E-06,   NaN,  7.895E-02,  6.069E-02
 450.,  1.246E-01,  4.886E-02,  4.809E-03,  2.287E-04,   NaN,  1.415E-01,  3.943E-02,  1.680E-03,  1.127E-04,   NaN,  16.00,  13.88,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 255.6, 265.5, 499.4,  46.7,  26.4, 353.4, 304.5, 189.8,   NaN, 332.5,   NaN, 453.6,   NaN, 100.8, 386.8,   NaN, 288.6, 126.1,   NaN, 122.6,  74.4,  43.3,  39.4,  56.8, -2.88, -1.39, -1.91, -1.74, -0.31,  0.76,  0.73,  0.79,  0.88,  80.4,  74.2, 2.130167,  52.0,  2.073E-01,  2.344E-03,  1.460E-04,  5.000E-06,   NaN,  8.050E-02,  6.166E-02
 480.,  1.205E-01,  5.159E-02,  5.068E-03,  2.102E-04,   NaN,  1.401E-01,  4.062E-02,  1.692E-03,  1.063E-04,   NaN,  17.20,  15.23,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 261.8, 273.5, 515.2,  48.8,  26.5, 381.2, 314.3, 223.9,   NaN, 341.1,   NaN, 465.9,   NaN, 109.2, 395.1,   NaN, 291.0, 136.7,   NaN, 126.2,  72.8,  44.1,  39.9,  56.4, -3.04, -1.41, -2.18, -1.78, -0.14,  0.76,  0.74,  0.81,  0.89,  84.1,  74.1, 2.132667,  52.7,  2.072E-01,  2.434E-03,  1.568E-04,  5.000E-06,   NaN,  8.499E-02,  6.347E-02
 510.,  1.197E-01,  5.197E-02,  5.718E-03,  2.103E-04,   NaN,  1.387E-01,  4.115E-02,  1.840E-03,  1.058E-04,   NaN,  17.20,  15.54,  26.3,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 272.7, 281.5, 515.7,  51.2,  26.7, 376.4, 307.6, 204.1,   NaN, 332.7,   NaN, 465.4,   NaN, 107.2, 400.1,   NaN, 319.1, 142.2,   NaN, 136.4,  73.2,  45.1,  40.5,  60.9, -2.93, -1.32, -1.95, -1.81, -0.18,  0.77,  0.74,  0.81,  0.85,  82.4,  74.0, 2.092333,  53.4,  2.072E-01,  2.434E-03,  1.663E-04,  5.000E-06,   NaN,  8.652E-02,  6.449E-02
 540.,  1.179E-01,  5.315E-02,  5.406E-03,  1.805E-04,   NaN,  1.386E-01,  4.140E-02,  1.921E-03,  1.045E-04,   NaN,  18.41,  16.37,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 285.3, 291.1, 519.1,  53.8,  26.9, 364.1, 318.1, 222.7,   NaN, 338.9,   NaN, 476.1,   NaN, 119.2, 400.6,   NaN, 317.1, 142.9,   NaN, 134.9,  78.1,  45.9,  40.8,  59.3, -2.95, -1.45, -2.24, -1.82, -0.22,  0.79,  0.75,  0.84,  0.91,  87.1,  74.1, 2.107167,  54.1,  2.070E-01,  2.522E-03,  1.790E-04,  5.000E-06,   NaN,  8.784E-02,  6.498E-02
 570.,  1.176E-01,  5.374E-02,  4.776E-03,  1.538E-04,   NaN,  1.365E-01,  4.271E-02,  1.705E-03,  8.817E-05,   NaN,  19.16,  17.32,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 287.4, 304.0, 543.0,  58.6,  27.1, 377.0, 339.2, 236.2,   NaN, 343.8,   NaN, 483.4,   NaN, 121.3, 408.6,   NaN, 325.2, 150.1,   NaN, 138.5,  78.8,  47.0,  42.3,  60.7, -2.89, -1.66, -2.28, -1.83, -0.20,  0.79,  0.75,  0.82,  0.93,  87.5,  74.1, 2.086167,  54.9,  2.070E-01,  2.597E-03,  1.772E-04,  5.000E-06,   NaN,  8.778E-02,  6.662E-02
 600.,  1.150E-01,  5.545E-02,  4.775E-03,  1.367E-04,   NaN,  1.352E-01,  4.338E-02,  1.695E-03,  8.850E-05,   NaN,  19.50,  17.48,  26.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 294.5, 307.1, 543.7,  66.5,  27.2, 391.3, 325.6, 216.5,   NaN, 335.7,   NaN, 481.9,   NaN, 130.9, 416.5,   NaN, 317.0, 159.4,   NaN, 149.6,  76.8,  47.1,  42.6,  63.1, -3.08, -1.51, -2.21, -1.85, -0.15,  0.79,  0.76,  0.83,  0.93,  89.3,  74.1, 2.139667,  55.2,  2.070E-01,  2.607E-03,  1.820E-04,  5.000E-06,   NaN,  9.034E-02,  6.761E-02
 630.,  1.169E-01,  5.426E-02,  4.593E-03,  1.262E-04,   NaN,  1.363E-01,  4.264E-02,  1.797E-03,  8.583E-05,   NaN,  19.80,  17.41,  26.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 292.3, 310.2, 537.5,  75.4,  27.4, 396.3, 327.8, 230.9,   NaN, 330.5,   NaN, 483.8,   NaN, 119.4, 413.7,   NaN, 319.1, 155.3,   NaN, 141.3,  81.1,  47.1,  42.4,  63.8, -3.22, -1.65, -2.29, -1.86, -0.20,  0.80,  0.77,  0.82,  0.91,  89.2,  74.0, 2.135834,  55.6,  2.070E-01,  2.599E-03,  1.853E-04,  5.000E-06,   NaN,  8.828E-02,  6.665E-02
 660.,  1.189E-01,  5.315E-02,  4.696E-03,  1.217E-04,   NaN,  1.382E-01,  4.177E-02,  1.893E-03,  8.283E-05,   NaN,  19.89,  17.81,  26.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 305.4, 309.6, 543.2,  85.4,  27.5, 410.4, 319.2, 229.2,   NaN, 320.2,   NaN, 482.3,   NaN, 125.6, 414.4,   NaN, 326.1, 163.9,   NaN, 151.5,  88.5,  48.8,  43.1,  66.6, -3.31, -1.60, -2.16, -1.87, -0.19,  0.82,  0.77,  0.84,  0.93,  86.8,  73.9, 2.104500,  55.8,  2.070E-01,  2.549E-03,  1.787E-04,  5.000E-06,   NaN,  8.676E-02,  6.549E-02
 690.,  1.180E-01,  5.376E-02,  4.036E-03,  1.002E-04,   NaN,  1.364E-01,  4.287E-02,  1.615E-03,  7.250E-05,   NaN,  20.68,  18.46,  26.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 307.6, 316.6, 548.5,  97.2,  27.7, 394.7, 323.4, 246.1,   NaN, 328.9,   NaN, 488.7,   NaN, 127.7, 417.4,   NaN, 330.0, 166.1,   NaN, 156.5,  87.8,  48.1,  43.3,  64.0, -3.16, -1.56, -2.46, -1.88, -0.13,  0.81,  0.75,  0.84,  0.92,  89.6,  74.1, 2.136333,  56.1,  2.070E-01,  2.580E-03,  1.668E-04,  4.333E-06,   NaN,  8.669E-02,  6.672E-02
