Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.086E-01,  7.238E-04,  2.890E-05,        NaN,   NaN,  2.086E-01,  7.511E-04,  2.633E-05,        NaN,   NaN,   0.19,   0.24,  24.0,  22.6,  21.2,  24.2,  25.1,  24.5,  25.4,  10.0,  24.5,  27.9,  23.9,  10.0,   NaN,  24.9,   NaN,   NaN,   NaN,  25.0,  25.3,   NaN,   NaN,  24.7,  22.0,  23.7,  23.1,  23.4,  23.2,   NaN,  23.1,   NaN,  23.3,   NaN, -0.30,   NaN,  0.19,  0.22,   NaN,  0.02,   NaN,  0.14,   0.2,   NaN, 2.643667,  24.0,  2.094E-01,  6.047E-04,  4.762E-08,        NaN,   0.1,  8.600E-04,  8.886E-04
  30.,  1.905E-01,  1.075E-02,  8.967E-05,        NaN,   NaN,  1.928E-01,  9.173E-03,  8.900E-05,        NaN,   NaN,   3.33,   2.43,  24.1,  82.0,  53.0,  30.9, 121.6,  32.6, 139.4,  10.0,  45.1,  93.2,  23.9,  10.0,   NaN, 114.7,   NaN,   NaN,   NaN, 132.5, 150.8,   NaN,   NaN, 136.0,  67.0,  90.4,  28.6,  24.1,  28.1,   NaN,  25.7,   NaN,  26.3,   NaN, -1.64,   NaN, -0.81,  0.33,   NaN,  0.43,   NaN,  0.47,  15.0,   NaN, 2.652500,  25.4,  2.090E-01,  8.227E-04,  1.667E-06,        NaN,   5.7,  1.239E-02,  1.059E-02
  60.,  1.726E-01,  2.098E-02,  1.265E-04,        NaN,   NaN,  1.759E-01,  1.888E-02,  1.340E-04,        NaN,   NaN,   3.35,   2.78,  24.1, 220.9, 164.6,  39.7, 210.4,  43.4, 212.4,  10.0,  51.9, 149.9,  24.0,  10.0,   NaN, 154.7,   NaN,   NaN,   NaN, 208.6, 201.7,   NaN,   NaN, 190.6,  96.5, 124.7,  29.9,  24.6,  31.0,   NaN,  26.2,   NaN,  27.1,   NaN, -1.93,   NaN, -0.97,  0.41,   NaN,  0.57,   NaN,  0.56,  25.4,   NaN, 2.613833,  26.8,  2.088E-01,  9.948E-04,  2.167E-06,        NaN,   8.3,  2.412E-02,  2.173E-02
  90.,  1.692E-01,  2.312E-02,  1.173E-04,        NaN,   NaN,  1.694E-01,  2.295E-02,  1.445E-04,        NaN,   NaN,   3.42,   3.13,  24.1, 262.8, 248.3,  42.7, 235.2,  47.2, 234.1,  10.0,  55.3, 169.4,  24.2,  10.0,   NaN, 164.2,   NaN,   NaN,   NaN, 224.5, 208.4,   NaN,   NaN, 196.4,  99.3, 128.0,  30.7,  24.9,  31.8,   NaN,  26.3,   NaN,  27.7,   NaN, -1.96,   NaN, -0.99,  0.40,   NaN,  0.57,   NaN,  0.59,  27.7,   NaN, 2.631333,  27.5,  2.087E-01,  1.062E-03,  2.000E-06,        NaN,   8.6,  2.655E-02,  2.639E-02
 120.,  1.695E-01,  2.315E-02,  1.200E-04,        NaN,   NaN,  1.673E-01,  2.413E-02,  1.257E-04,        NaN,   NaN,   3.37,   3.35,  24.2, 271.4, 261.3,  46.2, 243.2,  50.6, 243.6,  10.0,  56.9, 174.8,  24.5,  10.0,   NaN, 172.5,   NaN,   NaN,   NaN, 226.0, 209.3,   NaN,   NaN, 205.8, 111.9, 137.1,  31.3,  25.1,  33.0,   NaN,  26.8,   NaN,  29.7,   NaN, -1.99,   NaN, -1.04,  0.39,   NaN,  0.57,   NaN,  0.58,  26.5,   NaN, 2.497333,  27.8,  2.087E-01,  1.094E-03,  2.000E-06,        NaN,   8.6,  2.659E-02,  2.772E-02
 150.,  1.671E-01,  2.448E-02,  1.178E-04,        NaN,   NaN,  1.626E-01,  2.688E-02,  1.383E-04,        NaN,   NaN,   3.78,   3.69,  24.1, 272.3, 259.9,  49.7, 256.5,  53.3, 258.2,  10.0,  58.7, 183.2,  25.0,  10.0,   NaN, 186.6,   NaN,   NaN,   NaN, 238.2, 220.6,   NaN,   NaN, 214.6, 111.9, 140.7,  32.2,  25.1,  34.2,   NaN,  27.2,   NaN,  30.8,   NaN, -2.05,   NaN, -1.06,  0.39,   NaN,  0.56,   NaN,  0.57,  28.3,   NaN, 2.542000,  28.0,  2.087E-01,  1.084E-03,  2.000E-06,        NaN,   8.8,  2.812E-02,  3.088E-02
 180.,  1.656E-01,  2.533E-02,  9.933E-05,        NaN,   NaN,  1.605E-01,  2.847E-02,  1.263E-04,        NaN,   NaN,   4.00,   3.85,  24.1, 272.6, 270.7,  51.9, 265.3,  56.7, 266.8,  10.0,  61.2, 191.4,  25.5,  10.0,   NaN, 194.4,   NaN,   NaN,   NaN, 244.9, 227.0,   NaN,   NaN, 226.4, 119.5, 146.1,  33.6,  25.3,  34.2,   NaN,  27.0,   NaN,  28.9,   NaN, -2.11,   NaN, -1.08,  0.39,   NaN,  0.59,   NaN,  0.61,  30.0,   NaN, 2.621667,  28.2,  2.086E-01,  1.075E-03,  2.000E-06,        NaN,   9.0,  2.907E-02,  3.269E-02
 210.,  1.653E-01,  2.551E-02,  1.098E-04,        NaN,   NaN,  1.623E-01,  2.751E-02,  1.280E-04,        NaN,   NaN,   3.86,   3.88,  24.1, 280.2, 278.6,  52.4, 267.4,  57.8, 270.5,  10.0,  64.6, 201.2,  26.5,  10.0,   NaN, 198.1,   NaN,   NaN,   NaN, 249.8, 229.3,   NaN,   NaN, 229.3, 122.4, 146.6,  33.3,  26.0,  35.6,   NaN,  29.0,   NaN,  32.5,   NaN, -2.13,   NaN, -1.10,  0.41,   NaN,  0.62,   NaN,  0.61,  31.7,   NaN, 2.694834,  28.3,  2.086E-01,  1.117E-03,  2.000E-06,        NaN,   9.3,  2.928E-02,  3.159E-02
 240.,  1.683E-01,  2.389E-02,  9.650E-05,        NaN,   NaN,  1.635E-01,  2.678E-02,  1.110E-04,        NaN,   NaN,   3.97,   3.93,  24.2, 273.4, 270.1,  54.5, 263.8,  59.5, 263.9,  10.0,  63.6, 196.3,  27.3,  10.0,   NaN, 195.4,   NaN,   NaN,   NaN, 243.4, 225.0,   NaN,   NaN, 224.6, 122.3, 145.3,  34.6,  26.0,  35.2,   NaN,  27.8,   NaN,  29.8,   NaN, -2.18,   NaN, -1.11,  0.40,   NaN,  0.63,   NaN,  0.64,  30.0,   NaN, 2.694000,  28.4,  2.087E-01,  1.031E-03,  2.000E-06,        NaN,   9.4,  2.741E-02,  3.073E-02
