1 Time From Ignition (s),2 O2Rear (mol/mol),3 CO2Rear (mol/mol),4 CORear (mol/mol),5 THCRear (mol/mol),6 SootRear (g/g),7 O2Front (mol/mol),8 CO2Front (mol/mol),9 COFront (mol/mol),10 THCFront (mol/mol),11 SootFront (g/g),12 HFR (kW/m2),13 HFF (kW/m2),14 TambCal (C),15 TRSampA (C),16 TFSampA (C),17 TR24A (C),18 TR80A (C),19 TF24A (C),20 TF80A (C),21 TFloorR (C),22 TFloorF (C),23 TCeilF (C),24 TWallUR (C),25 TUFloor (C),26 TD79LBB (C),27 TD79CBB (C),28 TD79RBB (C),29 TD70LA (C),30 TD70LBB (C),31 TD70CA (C),32 TD70CBB (C),33 TD30LA (C),34 TD30LBB (C),35 TD60CBB (C),36 TD50CA (C),37 TD50CBB (C),38 TD40CBB (C),39 TD30CA (C),40 TD30CBB (C),41 TD20LBB (C),42 TD20CBB (C),43 TD20RBB (C),44 TD5CBB (C),45 VD79L (m/s),46 VD79C (m/s),47 VD79R (m/s),48 VD60C (m/s),49 VD40C (m/s),50 VD20L (m/s),51 VD20C (m/s),52 VD20R (m/s),53 VD5C (m/s),54 HRRcal (kW),55 HRRburner (kW),56 StackMFR (kg/s),57 Tstack (C),58 O2stack (mol/mol),59 CO2stack (mol/mol),60 COstack (mol/mol),61 THCstack (mol/mol),62 MSstack (mg/m3),63 H2ORear (mol/mol),64 H2OFront (mol/mol)
-100,0.207918,0.001107,0.000006,0.000015,NaN,0.206807,0.001147,0.000064,0.000019,NaN,0.12,0.18,21.879,29.57,28.95,18.02,27.04,17.33,26.17,10,19.87,26.24,21.82,10,26.84,26.43,26.63,21.03,20.43,19.55,19.14,17.04,17.06,17.55,16.94,17.47,17.43,16.98,17.1,17.12,17.26,17.47,16.76,-0.464,-0.457,-0.509,0.145,0.364,0.212,0.275,-0.093,0.226,0.35,0,2.458,20.568,0.209392,0.000631,0,NaN,NaN,0.002226,0.002421
-95,0.207914,0.001105,0.000006,0.000015,NaN,0.206812,0.001154,0.000065,0.000017,NaN,0.12,0.18,21.844,29.65,29.06,18,26.89,17.5,26.23,10,19.93,26.29,21.78,10,27.12,26.09,26.64,20.97,20.63,19.74,19.47,17.16,17.2,17.76,17.17,17.71,17.68,17.19,17.31,17.24,17.45,17.45,16.93,-0.409,-0.386,-0.381,0.106,0.343,0.19,0.229,-0.155,0.181,0.46,0,2.461,20.584,0.209388,0.000638,0,NaN,NaN,0.002223,0.002438
-90,0.207905,0.00112,0.000012,0.000014,NaN,0.206813,0.001173,0.000058,0.000016,NaN,0.12,0.18,21.818,29.7,29.32,18.03,26.91,17.77,26.2,10,20,26.38,21.82,10,26.13,25.1,25.19,20.66,20.3,19.91,19.78,17.25,17.34,17.9,17.31,17.9,17.76,17.27,17.47,17.41,17.63,17.45,17.09,-0.329,-0.248,-0.291,0.131,0.323,0.178,0.249,-0.091,0.148,0.65,0,2.468,20.606,0.209381,0.000649,0,NaN,NaN,0.002265,0.002461
-85,0.207902,0.001128,0.000011,0.000013,NaN,0.2068,0.001205,0.000056,0.000016,NaN,0.12,0.18,21.837,29.82,29.61,18.1,26.92,18.05,26.3,10,20.01,26.48,21.8,10,25.65,24.44,25.05,20.57,20.05,19.94,19.79,17.28,17.36,17.87,17.32,17.88,17.7,17.3,17.5,17.47,17.72,17.47,17.23,-0.431,-0.368,-0.395,0.101,0.337,0.217,0.289,0.022,0.218,0.44,0,2.475,20.69,0.209385,0.000651,0,NaN,NaN,0.002279,0.002522
-80,0.207907,0.001133,0,0.000013,NaN,0.206794,0.001225,0.000052,0.000016,NaN,0.12,0.18,21.841,29.97,29.65,18.22,27.11,18.2,26.41,10,20.08,26.57,21.82,10,26.75,24.37,26.28,20.95,20.29,20.22,19.86,17.28,17.32,17.72,17.25,17.74,17.62,17.31,17.46,17.4,17.69,17.36,17.21,-0.519,-0.453,-0.45,0.071,0.367,0.234,0.309,0.061,0.299,0.42,0,2.475,20.792,0.209386,0.000648,0,NaN,NaN,0.002259,0.002553
-75,0.207907,0.001151,0,0.000011,NaN,0.206798,0.001224,0.00004,0.000015,NaN,0.12,0.18,21.824,30.27,30.02,18.33,27.22,18.3,26.45,10,20.17,26.73,21.88,10,27.6,25.26,26.86,21.61,20.8,20.37,19.95,17.22,17.22,17.63,17.19,17.63,17.53,17.22,17.31,17.22,17.53,17.2,17,-0.532,-0.46,-0.428,0.091,0.371,0.217,0.327,0.117,0.298,0.5,0,2.481,20.86,0.209385,0.000645,0,NaN,NaN,0.002296,0.002529
-70,0.207898,0.001166,0.000007,0.000012,NaN,0.206795,0.001225,0.000046,0.000014,NaN,0.12,0.18,21.819,30.56,30.14,18.39,27.56,18.4,26.63,10,20.22,26.85,21.87,10,27.95,26.35,26.91,21.37,20.45,20.38,20.02,17.2,17.2,17.6,17.13,17.55,17.49,17.24,17.29,17.21,17.52,17.4,17.05,-0.54,-0.48,-0.434,0.038,0.367,0.236,0.327,0.06,0.293,0.43,0,2.484,20.889,0.209387,0.000643,0,NaN,NaN,0.002345,0.002541
-65,0.20789,0.001165,0.000006,0.000013,NaN,0.206794,0.001227,0.000045,0.000013,NaN,0.12,0.18,21.814,30.61,29.91,18.36,27.97,18.37,26.95,10,20.25,26.89,21.84,10,28.06,26.95,26.89,21.09,20.18,20.47,20.19,17.06,17.02,17.61,17.1,17.53,17.46,17.13,17.2,17.05,17.43,17.48,16.86,-0.532,-0.466,-0.442,0.062,0.371,0.224,0.306,0.011,0.267,0.5,0,2.481,20.896,0.209385,0.000646,0,NaN,NaN,0.002342,0.002544
-60,0.20789,0.001155,0.000005,0.000012,NaN,0.20679,0.001232,0.000033,0.000013,NaN,0.12,0.18,21.832,30.52,30.1,18.37,28.07,18.38,27.18,10,20.24,26.94,21.86,10,28.14,26.68,27.07,21.84,21.25,20.61,20.49,16.97,16.92,17.63,17.22,17.69,17.43,17.01,17.05,16.85,17.23,17.25,16.66,-0.506,-0.408,-0.389,0.157,0.364,0.189,0.268,-0.056,0.226,0.33,0,2.503,20.89,0.209388,0.000649,0,NaN,NaN,0.002319,0.002531
-55,0.207884,0.001146,0.000007,0.000012,NaN,0.20677,0.001241,0.000035,0.000013,NaN,0.12,0.18,21.84,30.6,30.3,18.42,28.18,18.48,27.39,10,20.16,26.96,21.85,10,28.04,26.24,26.75,22.33,22.35,21.21,21.17,17.07,17.09,17.63,17.3,17.77,17.48,17.13,17.16,16.94,17.26,17.25,16.79,-0.465,-0.391,-0.335,0.186,0.368,0.181,0.268,-0.083,0.201,0.22,0,2.546,20.854,0.209391,0.000647,0,NaN,NaN,0.002306,0.002552
