1 Time From Ignition (s),2 O2Rear (mol/mol),3 CO2Rear (mol/mol),4 CORear (mol/mol),5 THCRear (mol/mol),6 SootRear (g/g),7 O2Front (mol/mol),8 CO2Front (mol/mol),9 COFront (mol/mol),10 THCFront (mol/mol),11 SootFront (g/g),12 HFR (kW/m2),13 HFF (kW/m2),14 TambCal (C),15 TRSampA (C),16 TFSampA (C),17 TR24A (C),18 TR80A (C),19 TF24A (C),20 TF80A (C),21 TFloorR (C),22 TFloorF (C),23 TCeilF (C),24 TWallUR (C),25 TUFloor (C),26 TD79LBB (C),27 TD79CBB (C),28 TD79RBB (C),29 TD70LA (C),30 TD70LBB (C),31 TD70CA (C),32 TD70CBB (C),33 TD30LA (C),34 TD30LBB (C),35 TD60CBB (C),36 TD50CA (C),37 TD50CBB (C),38 TD40CBB (C),39 TD30CA (C),40 TD30CBB (C),41 TD20LBB (C),42 TD20CBB (C),43 TD20RBB (C),44 TD5CBB (C),45 VD79L (m/s),46 VD79C (m/s),47 VD79R (m/s),48 VD60C (m/s),49 VD40C (m/s),50 VD20L (m/s),51 VD20C (m/s),52 VD20R (m/s),53 VD5C (m/s),54 HRRcal (kW),55 HRRburner (kW),56 StackMFR (kg/s),57 Tstack (C),58 O2stack (mol/mol),59 CO2stack (mol/mol),60 COstack (mol/mol),61 THCstack (mol/mol),62 MSstack (mg/m3),63 H2ORear (mol/mol),64 H2OFront (mol/mol)
-100,0.208863,0.00059,0.000004,0.000037,NaN,0.208915,0.00055,0,0.000049,NaN,0.21,0.26,25.745,NaN,NaN,NaN,NaN,NaN,NaN,32.83,33.05,35.39,29.72,39.31,32.23,32.21,30.42,NaN,30.15,NaN,30.39,NaN,27.99,28.82,NaN,28.55,28.28,NaN,28.02,27.69,27.18,27.19,27.54,-0.472,-0.451,-0.489,0.277,-0.256,0.121,0.172,0.24,0.05,0.1,27.89,2.319,28.044,0.209658,0.000521,0,0.000002,0,0.000679,0.000565
-95,0.208869,0.000586,0.000011,0.000037,NaN,0.208913,0.000545,0,0.000049,NaN,0.21,0.27,25.741,NaN,NaN,NaN,NaN,NaN,NaN,32.95,32.95,35.41,29.69,39.27,32.22,32.45,30.04,NaN,30.35,NaN,30.75,NaN,27.94,29.41,NaN,28.89,28.29,NaN,28.08,27.68,27.13,27.18,27.55,-0.446,-0.433,-0.476,0.268,-0.258,0.073,0.155,0.232,0.002,0.1,3.58,2.317,28.034,0.209657,0.000524,0,0.000002,0,0.000682,0.000562
-90,0.208875,0.000583,0.000018,0.000036,NaN,0.20891,0.000551,0,0.000048,NaN,0.21,0.27,25.742,NaN,NaN,NaN,NaN,NaN,NaN,33.04,32.91,35.45,29.67,39.23,32.03,32.33,30.32,NaN,30.43,NaN,30.76,NaN,27.93,29.82,NaN,29.3,28.24,NaN,28.12,27.72,27.05,27.11,27.51,-0.44,-0.436,-0.507,0.283,-0.26,0.089,0.164,0.228,0.046,0.09,0,2.291,28.021,0.209655,0.000531,0,0.000002,0,0.000686,0.000581
-85,0.208876,0.000582,0.000016,0.000037,NaN,0.208908,0.000552,0,0.000047,NaN,0.2,0.26,25.742,NaN,NaN,NaN,NaN,NaN,NaN,33.14,32.9,35.44,29.66,39.26,31.9,32.31,30.89,NaN,30.43,NaN,30.69,NaN,27.97,29.99,NaN,29.3,28.14,NaN,28.1,27.7,26.89,26.95,27.45,-0.472,-0.454,-0.507,0.272,-0.253,0.107,0.191,0.237,0.081,0.15,0,2.256,28.009,0.209653,0.000533,0,0.000002,0,0.000683,0.000597
-80,0.208869,0.000589,0.000018,0.000037,NaN,0.208904,0.000549,0,0.000048,NaN,0.19,0.26,25.744,NaN,NaN,NaN,NaN,NaN,NaN,33.14,32.85,35.43,29.64,39.18,31.94,32.22,30.83,NaN,30.43,NaN,30.56,NaN,27.84,30.03,NaN,29.14,27.99,NaN,27.86,27.59,26.74,26.81,27.33,-0.462,-0.437,-0.477,0.274,-0.271,0.056,0.199,0.244,0.019,0.24,0,2.236,28.009,0.209651,0.000532,0,0.000002,0,0.000694,0.000613
-75,0.208874,0.000592,0.000005,0.000036,NaN,0.208905,0.000545,0,0.000048,NaN,0.19,0.27,25.747,NaN,NaN,NaN,NaN,NaN,NaN,32.94,32.84,35.41,29.63,39.12,32.09,32.05,30.58,NaN,30.44,NaN,30.39,NaN,27.74,29.98,NaN,29,27.92,NaN,27.67,27.55,26.7,26.8,27.26,-0.441,-0.427,-0.465,0.286,-0.273,-0.019,0.179,0.248,-0.039,0.32,0,2.232,28.011,0.209649,0.000533,0,0.000002,0,0.000682,0.000608
-70,0.208871,0.000595,0.000001,0.000037,NaN,0.208906,0.000547,0,0.000047,NaN,0.2,0.27,25.754,NaN,NaN,NaN,NaN,NaN,NaN,33.06,32.89,35.32,29.63,39.23,32.26,31.87,31.08,NaN,30.44,NaN,30.27,NaN,27.84,29.82,NaN,28.93,27.97,NaN,27.73,27.63,26.79,26.8,27.26,-0.47,-0.462,-0.499,0.283,-0.261,0.003,0.193,0.26,0.079,0.48,0,2.267,28.024,0.209645,0.000534,0,0.000002,0,0.000681,0.000606
-65,0.208861,0.000594,0.00001,0.000037,NaN,0.208911,0.000549,0,0.000048,NaN,0.2,0.27,25.761,NaN,NaN,NaN,NaN,NaN,NaN,33.37,32.95,35.29,29.64,39.3,32.28,31.96,31.2,NaN,30.36,NaN,30.29,NaN,27.94,29.49,NaN,28.74,28.06,NaN,27.85,27.7,26.92,26.81,27.36,-0.482,-0.469,-0.508,0.277,-0.253,0.069,0.222,0.254,0.168,0.58,0,2.307,28.031,0.209642,0.000534,0,0.000002,0,0.000689,0.000619
-60,0.20886,0.000594,0.000014,0.000036,NaN,0.208921,0.00055,0,0.000048,NaN,0.2,0.28,25.764,NaN,NaN,NaN,NaN,NaN,NaN,33.53,33.04,35.3,29.66,39.24,32,32.12,30.62,NaN,30.19,NaN,30.36,NaN,27.99,29.46,NaN,28.65,28.15,NaN,28.01,27.86,27.16,26.97,27.58,-0.455,-0.452,-0.479,0.281,-0.255,0.024,0.2,0.231,0.071,0.6,0,2.327,28.031,0.209642,0.000531,0,0.000002,0,0.000695,0.000604
-55,0.208859,0.000598,0.000023,0.000037,NaN,0.208927,0.000549,0,0.000048,NaN,0.2,0.27,25.765,NaN,NaN,NaN,NaN,NaN,NaN,33.59,33.05,35.28,29.67,39.3,31.79,32.1,30.93,NaN,30.08,NaN,30.37,NaN,28.07,29.67,NaN,28.74,28.19,NaN,28.14,28.06,27.42,27.17,27.71,-0.42,-0.44,-0.484,0.28,-0.259,0.063,0.178,0.229,0.048,0.85,0,2.331,28.038,0.209636,0.000529,0,0.000002,0,0.00071,0.000594
