1 Time From Ignition (s),2 O2Rear (mol/mol),3 CO2Rear (mol/mol),4 CORear (mol/mol),5 THCRear (mol/mol),6 SootRear (g/g),7 O2Front (mol/mol),8 CO2Front (mol/mol),9 COFront (mol/mol),10 THCFront (mol/mol),11 SootFront (g/g),12 HFR (kW/m2),13 HFF (kW/m2),14 TambCal (C),15 TRSampA (C),16 TFSampA (C),17 TR24A (C),18 TR80A (C),19 TF24A (C),20 TF80A (C),21 TFloorR (C),22 TFloorF (C),23 TCeilF (C),24 TWallUR (C),25 TUFloor (C),26 TD79LBB (C),27 TD79CBB (C),28 TD79RBB (C),29 TD70LA (C),30 TD70LBB (C),31 TD70CA (C),32 TD70CBB (C),33 TD30LA (C),34 TD30LBB (C),35 TD60CBB (C),36 TD50CA (C),37 TD50CBB (C),38 TD40CBB (C),39 TD30CA (C),40 TD30CBB (C),41 TD20LBB (C),42 TD20CBB (C),43 TD20RBB (C),44 TD5CBB (C),45 VD79L (m/s),46 VD79C (m/s),47 VD79R (m/s),48 VD60C (m/s),49 VD40C (m/s),50 VD20L (m/s),51 VD20C (m/s),52 VD20R (m/s),53 VD5C (m/s),54 HRRcal (kW),55 HRRburner (kW),56 StackMFR (kg/s),57 Tstack (C),58 O2stack (mol/mol),59 CO2stack (mol/mol),60 COstack (mol/mol),61 THCstack (mol/mol),62 MSstack (mg/m3),63 H2ORear (mol/mol),64 H2OFront (mol/mol)
-100,0.209047,0.000495,0.000051,0.000031,NaN,0.209079,0.000505,0,0.000073,NaN,0.23,0.3,27.784,NaN,NaN,NaN,NaN,NaN,NaN,38.02,35.89,32.97,31.02,55.79,33.16,34.43,32.63,NaN,31.89,NaN,32.55,NaN,29.82,31.21,NaN,30.29,30.36,NaN,30.3,30.39,29.29,29.71,30.87,-0.424,-0.362,-0.473,0.411,-0.386,-0.157,-0.125,0.127,-0.399,-0.07,0,2.279,30.186,0.209528,0.000574,0.000001,0.000002,0.068,0.000273,0.000244
-95,0.209046,0.000498,0.000048,0.000032,NaN,0.20908,0.0005,0,0.00007,NaN,0.23,0.31,27.783,NaN,NaN,NaN,NaN,NaN,NaN,38.23,36.12,32.86,31.03,55.26,33.03,34.4,32.65,NaN,31.82,NaN,32,NaN,29.8,31.08,NaN,30.17,30.4,NaN,30.31,30.49,29.42,29.59,30.96,-0.436,-0.385,-0.493,0.415,-0.393,-0.135,-0.112,0.138,-0.406,-0.02,0,2.263,30.174,0.209525,0.00058,0.000001,0.000002,0.092,0.000273,0.000244
-90,0.209049,0.000498,0.000051,0.000033,NaN,0.209082,0.000494,0,0.00007,NaN,0.23,0.31,27.78,NaN,NaN,NaN,NaN,NaN,NaN,38.38,36.24,32.82,31.02,54.96,33.09,34.36,32.44,NaN,31.99,NaN,31.45,NaN,29.81,30.84,NaN,30.18,30.45,NaN,30.37,30.55,29.68,29.66,31.13,-0.43,-0.394,-0.498,0.412,-0.397,-0.086,-0.052,0.157,-0.41,0.19,0,2.261,30.16,0.209517,0.000592,0,0.000002,0.089,0.000274,0.00024
-85,0.209051,0.000496,0.000059,0.000034,NaN,0.209083,0.000495,0,0.00007,NaN,0.23,0.31,27.776,NaN,NaN,NaN,NaN,NaN,NaN,38.56,36.37,32.8,31.01,54.88,33.28,34.46,32.53,NaN,32.22,NaN,31.12,NaN,29.83,30.73,NaN,30.24,30.5,NaN,30.48,30.68,29.94,29.93,31.25,-0.444,-0.409,-0.533,0.411,-0.406,-0.14,0.049,0.166,-0.392,0.39,0,2.27,30.157,0.20951,0.000602,0,0.000002,0.06,0.000278,0.000238
-80,0.20906,0.000491,0.000054,0.000034,NaN,0.209086,0.000495,0,0.00007,NaN,0.24,0.31,27.772,NaN,NaN,NaN,NaN,NaN,NaN,38.49,36.6,32.8,31,54.96,33.21,34.18,32.95,NaN,32.35,NaN,31.07,NaN,29.9,30.67,NaN,30.28,30.54,NaN,30.56,30.8,29.93,30.17,31.23,-0.467,-0.399,-0.528,0.404,-0.401,-0.188,0.032,0.176,-0.368,0.39,0,2.295,30.161,0.20951,0.000604,0,0.000002,0.052,0.000273,0.000239
-75,0.209069,0.000491,0.000039,0.000034,NaN,0.209094,0.000491,0,0.000071,NaN,0.25,0.31,27.765,NaN,NaN,NaN,NaN,NaN,NaN,37.97,36.84,32.79,31,55.07,33.03,33.93,33.26,NaN,32.14,NaN,31.4,NaN,29.93,30.63,NaN,30.25,30.55,NaN,30.5,30.8,29.6,30.32,31.09,-0.458,-0.393,-0.513,0.391,-0.391,-0.176,-0.06,0.177,-0.362,0.34,0,2.304,30.158,0.209512,0.000595,0.000001,0.000002,0.077,0.000265,0.000237
-70,0.209071,0.000492,0.000018,0.000031,NaN,0.209099,0.000487,0,0.000069,NaN,0.23,0.31,27.751,NaN,NaN,NaN,NaN,NaN,NaN,37.55,36.95,32.8,31.01,54.82,33.16,34.4,33.49,NaN,31.96,NaN,31.88,NaN,29.92,30.64,NaN,30.09,30.53,NaN,30.37,30.71,29.26,30.27,30.84,-0.465,-0.396,-0.529,0.386,-0.387,-0.158,-0.035,0.194,-0.329,0.33,0,2.292,30.157,0.209515,0.000583,0.000001,0.000002,0.098,0.000255,0.000233
-65,0.209071,0.000491,0.000019,0.000032,NaN,0.209101,0.000488,0,0.000069,NaN,0.23,0.31,27.745,NaN,NaN,NaN,NaN,NaN,NaN,37.63,36.82,32.91,31.01,54.6,33.41,34.96,33.45,NaN,32.04,NaN,32.27,NaN,29.9,30.86,NaN,29.99,30.49,NaN,30.25,30.68,29.03,30.12,30.74,-0.459,-0.403,-0.532,0.376,-0.385,-0.138,-0.02,0.211,-0.338,0.28,0,2.281,30.157,0.209517,0.000578,0.000001,0.000002,0.091,0.000255,0.000236
-60,0.20907,0.000495,0.000036,0.000033,NaN,0.209101,0.000496,0,0.00007,NaN,0.23,0.31,27.758,NaN,NaN,NaN,NaN,NaN,NaN,37.79,36.51,33.12,31.02,54.73,33.68,35,33.32,NaN,32.22,NaN,32.61,NaN,29.83,31.05,NaN,30.1,30.48,NaN,30.19,30.73,29.16,29.94,30.79,-0.456,-0.4,-0.497,0.387,-0.39,-0.166,-0.063,0.178,-0.366,0.2,0,2.259,30.157,0.209519,0.000578,0.000001,0.000002,0.083,0.000266,0.000239
-55,0.20907,0.000499,0.000035,0.000032,NaN,0.209102,0.000497,0,0.000072,NaN,0.24,0.31,27.77,NaN,NaN,NaN,NaN,NaN,NaN,37.91,36.36,33.19,31.02,54.62,33.69,34.83,32.93,NaN,32.38,NaN,32.75,NaN,29.81,31.12,NaN,30.34,30.47,NaN,30.05,30.67,29.28,29.67,30.67,-0.445,-0.385,-0.454,0.398,-0.384,-0.163,-0.138,0.15,-0.376,0,0,2.244,30.157,0.209523,0.000581,0.000001,0.000002,0.099,0.000267,0.00024
