Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.090E-01,  4.581E-04,  3.057E-05,  1.038E-05,   NaN,  2.091E-01,  4.863E-04,  4.762E-08,  7.381E-06,   NaN,   0.13,   0.22,  25.1,  29.2,  28.1,  26.8,  28.0,  26.5,  27.9,  27.6,  27.7,  30.8,  26.3,  27.4,  27.5,  27.3,  27.0,  26.7,  26.8,  27.0,  26.7,  26.5,  26.0,  26.4,  26.4,  26.2,  25.9,  26.6,  26.0,  26.1,  25.8,  25.6,  25.5, -0.33, -0.30, -0.43,  0.14, -0.20,  0.22, -0.38, -0.34,  0.17,  -0.0,   0.0, 2.275571,  27.0,  2.100E-01,  4.680E-04,  0.000E+00,  1.000E-06,   NaN,  7.330E-04,  7.006E-04
  30.,  2.057E-01,  2.565E-03,  3.017E-05,  1.200E-05,   NaN,  2.058E-01,  2.777E-03,  0.000E+00,  7.500E-06,   NaN,   0.48,   0.56,  25.1,  30.0,  28.6,  27.0,  28.5,  26.6,  28.5,  31.9,  31.5,  66.3,  26.4,  27.3,  63.4,  66.5,  59.7,  27.4,  77.3,  27.7,  67.2,  26.5,  27.3,  57.8,  26.5,  35.1,  26.5,  26.6,  27.5,  26.5,  26.2,  25.8,  25.7, -1.16, -1.13, -1.10, -0.45, -0.27,  0.34, -0.26, -0.12,  0.36,   5.9,   0.0, 2.254833,  27.8,  2.098E-01,  5.848E-04,  0.000E+00,  1.000E-06,   NaN,  3.893E-03,  4.147E-03
  60.,  2.002E-01,  5.519E-03,  3.750E-05,  1.283E-05,   NaN,  2.003E-01,  5.687E-03,  0.000E+00,  7.000E-06,   NaN,   0.63,   0.65,  25.1,  36.4,  31.7,  27.4,  32.7,  27.1,  32.8,  37.4,  35.8,  91.7,  26.4,  27.1,  81.2,  89.3,  80.2,  32.1, 105.0,  33.3,  95.3,  26.7,  28.6,  84.3,  27.1,  49.7,  26.5,  26.9,  29.3,  26.8,  26.2,  25.9,  25.9, -1.34, -1.26, -1.39, -0.61, -0.30,  0.39, -0.10,  0.06,  0.46,   9.4,   0.0, 2.254500,  29.0,  2.097E-01,  6.675E-04,  0.000E+00,  1.000E-06,   NaN,  8.334E-03,  8.506E-03
  90.,  1.986E-01,  6.354E-03,  3.317E-05,  1.050E-05,   NaN,  1.989E-01,  6.521E-03,  0.000E+00,  7.333E-06,   NaN,   0.79,   0.73,  25.1,  46.9,  36.2,  28.4,  39.8,  28.1,  40.4,  40.4,  38.2,  98.2,  26.4,  27.1,  89.3,  91.4,  83.8,  41.0, 112.7,  42.9, 102.4,  26.9,  29.4,  91.1,  28.2,  46.9,  26.9,  27.4,  29.3,  27.0,  26.7,  26.5,  26.3, -1.49, -1.33, -1.51, -0.60, -0.31,  0.39, -0.10,  0.04,  0.46,  10.3,  21.1, 2.250000,  29.6,  2.096E-01,  6.915E-04,  0.000E+00,  1.000E-06,   NaN,  9.581E-03,  9.771E-03
 120.,  1.981E-01,  6.762E-03,  4.400E-05,  1.100E-05,   NaN,  1.978E-01,  7.138E-03,  3.333E-07,  5.833E-06,   NaN,   0.90,   0.87,  25.1,  58.3,  39.1,  29.6,  48.2,  29.3,  49.1,  43.9,  40.7, 107.0,  26.5,  27.3,  97.1, 100.9,  81.9,  51.3, 117.6,  53.3, 109.1,  27.3,  30.1,  92.4,  29.6,  49.8,  27.3,  27.9,  31.6,  27.8,  27.4,  26.9,  26.8, -1.48, -1.33, -1.26, -0.60, -0.31,  0.42, -0.03,  0.07,  0.43,  10.2,  22.8, 2.238000,  29.8,  2.096E-01,  6.990E-04,  0.000E+00,  1.000E-06,   NaN,  1.021E-02,  1.070E-02
 150.,  1.961E-01,  7.804E-03,  3.850E-05,  1.050E-05,   NaN,  1.961E-01,  8.075E-03,  0.000E+00,  6.667E-06,   NaN,   1.32,   0.89,  25.1,  69.7,  42.1,  30.9,  57.7,  30.6,  58.5,  47.8,  43.4, 113.0,  26.7,  27.3, 116.5, 109.3, 104.0,  61.7, 132.3,  63.9, 124.2,  27.7,  31.0,  91.5,  31.1,  41.5,  27.5,  28.6,  33.0,  28.5,  27.6,  26.7,  26.7, -1.67, -1.41, -1.60, -0.59, -0.29,  0.41, -0.01,  0.21,  0.48,  11.8,  22.6, 2.231667,  30.2,  2.096E-01,  7.100E-04,  0.000E+00,  1.000E-06,   NaN,  1.176E-02,  1.208E-02
 180.,  1.947E-01,  8.637E-03,  3.533E-05,  1.067E-05,   NaN,  1.955E-01,  8.475E-03,  0.000E+00,  6.167E-06,   NaN,   1.18,   1.14,  25.2,  81.4,  46.0,  32.5,  68.1,  32.0,  68.4,  51.4,  46.4, 125.2,  26.8,  27.4, 116.3, 119.0,  96.9,  72.2, 138.3,  74.6, 124.4,  28.2,  31.7, 109.2,  32.3,  50.5,  27.5,  29.3,  34.2,  28.7,  27.4,  26.8,  27.0, -1.70, -1.50, -1.48, -0.68, -0.29,  0.44, -0.05,  0.16,  0.47,  12.2,  22.6, 2.179667,  30.6,  2.096E-01,  7.183E-04,  0.000E+00,  1.000E-06,   NaN,  1.301E-02,  1.268E-02
 210.,  1.932E-01,  9.450E-03,  3.067E-05,  1.150E-05,   NaN,  1.945E-01,  8.995E-03,  0.000E+00,  6.833E-06,   NaN,   1.32,   1.22,  25.2,  92.6,  49.8,  34.2,  78.3,  33.5,  78.4,  54.7,  50.0, 135.6,  26.9,  27.4, 114.4, 126.1,  98.2,  82.5, 146.9,  84.3, 131.3,  28.7,  32.6, 116.3,  33.7,  56.0,  27.8,  30.2,  33.3,  28.4,  27.4,  27.0,  26.8, -1.52, -1.53, -1.40, -0.71, -0.32,  0.42, -0.02,  0.22,  0.49,  13.5,  22.6, 2.230000,  30.9,  2.096E-01,  7.297E-04,  0.000E+00,  1.000E-06,   NaN,  1.422E-02,  1.346E-02
 240.,  1.930E-01,  9.680E-03,  2.633E-05,  1.250E-05,   NaN,  1.945E-01,  9.029E-03,  0.000E+00,  7.000E-06,   NaN,   1.42,   1.32,  25.2, 102.8,  53.5,  36.0,  88.1,  35.3,  87.8,  58.0,  52.4, 138.6,  27.1,  27.5, 115.6, 128.9, 101.4,  92.4, 148.2,  93.2, 135.4,  29.2,  33.1, 119.5,  35.2,  56.1,  28.1,  31.0,  35.4,  29.4,  27.8,  27.2,  27.3, -1.67, -1.55, -1.49, -0.75, -0.31,  0.44,  0.05,  0.21,  0.49,  13.8,  22.5, 2.254167,  31.1,  2.096E-01,  7.337E-04,  0.000E+00,  1.000E-06,   NaN,  1.456E-02,  1.351E-02
