Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.088E-01,  5.028E-04,  2.786E-05,  2.429E-05,   NaN,  2.089E-01,  5.344E-04,  6.652E-05,  4.567E-05,   NaN,   0.13,   0.23,  25.0,  28.1,  28.4,  26.8,  27.1,  26.8,  27.8,  27.6,  27.8,  28.6,  25.9,  26.9,  28.0,  28.2,  28.0,  27.1,  27.3,  27.5,  27.5,  26.1,  26.1,  26.9,  25.9,  26.3,  26.3,  26.1,  26.1,  26.4,  26.1,  26.0,  26.5, -0.37, -0.36, -0.39,  0.29, -0.16,  0.15,  0.19,  0.28,  0.08,   0.3,   0.9, 2.396333,  27.1,  2.097E-01,  5.276E-04,  0.000E+00,  1.000E-06,   NaN,  1.062E-03,  1.202E-03
  30.,  2.020E-01,  4.455E-03,  5.433E-05,  3.267E-05,   NaN,  2.023E-01,  5.068E-03,  8.667E-05,  4.500E-05,   NaN,   1.05,   1.16,  25.1, 112.0, 114.6,  29.4,  97.1,  31.5,  98.4,  34.2,  35.3, 156.5,  26.0,  26.9,  75.9,  67.7,  62.0, 110.3, 134.1,  94.9, 117.9,  26.5,  28.8,  97.3,  66.3,  82.2,  31.5,  26.8,  29.2,  27.5,  27.2,  26.7,  27.2, -1.01, -0.63, -0.71, -0.71, -0.24,  0.43,  0.48,  0.52,  0.52,  18.0,  38.4, 2.408167,  29.3,  2.093E-01,  8.300E-04,  1.333E-06,  1.000E-06,   NaN,  9.019E-03,  1.031E-02
  60.,  1.854E-01,  1.348E-02,  5.117E-05,  3.217E-05,   NaN,  1.865E-01,  1.372E-02,  8.083E-05,  4.383E-05,   NaN,   3.51,   2.98,  25.1, 263.9, 272.8,  40.2, 245.9,  44.9, 236.0,  61.8,  61.4, 312.2,  26.0,  26.9, 164.2, 128.8, 109.9, 261.3, 276.4, 222.2, 244.3,  27.7,  36.6, 205.9, 136.5, 164.1,  34.1,  28.5,  38.0,  30.3,  29.3,  28.1,  29.3, -1.76, -0.96, -1.23, -1.19, -0.38,  0.59,  0.61,  0.65,  0.69,  46.1,  55.8, 2.386000,  34.8,  2.085E-01,  1.379E-03,  1.000E-06,  1.000E-06,   NaN,  2.706E-02,  2.760E-02
  90.,  1.684E-01,  2.261E-02,  5.067E-05,  2.267E-05,   NaN,  1.718E-01,  2.134E-02,  8.700E-05,  4.150E-05,   NaN,   5.75,   4.81,  25.1, 350.3, 380.3,  50.1, 337.9,  56.8, 328.2,  93.2,  91.6, 384.7,  26.1,  26.9, 170.6, 178.2, 149.5, 355.3, 354.5, 302.4, 313.1,  28.9,  43.1, 261.0, 200.1, 223.1,  44.0,  30.0,  49.1,  32.8,  31.0,  29.8,  31.9, -1.69, -1.20, -1.52, -1.38, -0.35,  0.63,  0.68,  0.71,  0.78,  58.4,  76.5, 2.269333,  39.3,  2.081E-01,  1.663E-03,  3.333E-07,  1.000E-06,   NaN,  4.532E-02,  4.286E-02
 120.,  1.585E-01,  2.780E-02,  5.233E-05,  2.283E-05,   NaN,  1.636E-01,  2.529E-02,  8.950E-05,  4.117E-05,   NaN,   6.58,   5.81,  25.1, 398.0, 428.2,  59.0, 379.2,  62.8, 374.6, 118.1, 117.1, 412.8,  26.6,  26.9, 211.7, 197.7, 164.0, 389.5, 364.4, 346.7, 339.5,  30.1,  51.8, 286.9, 218.5, 234.6,  51.2,  31.7,  58.3,  38.1,  32.5,  30.9,  34.7, -2.06, -1.19, -1.48, -1.43, -0.35,  0.66,  0.68,  0.72,  0.81,  62.4,  75.0, 2.276333,  42.2,  2.080E-01,  1.770E-03,  1.000E-06,  1.000E-06,   NaN,  5.570E-02,  5.076E-02
 150.,  1.554E-01,  2.953E-02,  5.800E-05,  2.250E-05,   NaN,  1.607E-01,  2.686E-02,  7.417E-05,  4.067E-05,   NaN,   7.42,   6.88,  25.1, 404.3, 445.6,  62.5, 394.7,  71.1, 396.8, 131.4, 136.1, 436.8,  27.5,  26.9, 220.8, 202.0, 156.1, 414.5, 393.3, 363.3, 352.9,  30.9,  54.3, 303.6, 240.4, 256.3,  56.9,  32.7,  63.1,  40.2,  33.3,  31.3,  36.5, -2.00, -1.17, -1.58, -1.53, -0.33,  0.66,  0.70,  0.76,  0.81,  64.8,  75.7, 2.280000,  43.7,  2.079E-01,  1.807E-03,  8.333E-07,  1.000E-06,   NaN,  5.918E-02,  5.387E-02
 180.,  1.512E-01,  3.188E-02,  3.750E-05,  2.183E-05,   NaN,  1.577E-01,  2.863E-02,  7.933E-05,  4.117E-05,   NaN,   8.62,   8.00,  25.1, 451.3, 475.6,  68.2, 424.4,  78.7, 421.4, 148.8, 150.5, 466.6,  28.8,  26.9, 220.0, 211.1, 174.6, 446.3, 421.0, 390.1, 375.7,  31.6,  59.9, 320.1, 256.4, 272.5,  65.6,  33.2,  71.1,  43.6,  34.3,  32.2,  38.9, -1.99, -1.06, -1.75, -1.56, -0.29,  0.67,  0.71,  0.77,  0.85,  69.5,  76.2, 2.263000,  45.3,  2.078E-01,  1.902E-03,  8.333E-07,  1.000E-06,   NaN,  6.384E-02,  5.742E-02
 210.,  1.495E-01,  3.278E-02,  4.883E-05,  2.283E-05,   NaN,  1.546E-01,  2.994E-02,  8.417E-05,  4.100E-05,   NaN,   9.39,   8.93,  25.1, 468.2, 503.1,  73.3, 446.7,  84.6, 448.5, 164.9, 168.9, 485.4,  30.4,  27.0, 250.1, 218.3, 188.1, 473.0, 437.6, 416.7, 401.8,  32.7,  66.0, 335.5, 267.8, 279.9,  75.7,  34.5,  79.6,  47.2,  35.6,  33.0,  41.3, -2.22, -1.21, -1.90, -1.61, -0.26,  0.72,  0.74,  0.79,  0.87,  72.5,  76.7, 2.249833,  47.2,  2.077E-01,  2.001E-03,  1.000E-06,  1.000E-06,   NaN,  6.566E-02,  6.004E-02
 240.,  1.487E-01,  3.321E-02,  5.433E-05,  2.217E-05,   NaN,  1.564E-01,  2.920E-02,  9.717E-05,  4.133E-05,   NaN,   9.91,   8.77,  25.2, 446.9, 484.1,  77.1, 444.3,  82.4, 453.4, 173.9, 173.5, 470.2,  32.0,  27.0, 286.1, 245.8, 177.5, 438.6, 401.1, 400.9, 384.3,  33.1,  67.3, 328.9, 263.7, 273.1,  76.9,  36.0,  76.9,  54.3,  36.4,  33.8,  44.4, -2.54, -1.52, -1.44, -1.58, -0.29,  0.73,  0.73,  0.77,  0.84,  66.8,  77.7, 2.251167,  47.1,  2.078E-01,  1.884E-03,  8.333E-07,  1.000E-06,   NaN,  6.652E-02,  5.860E-02
