Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.090E-01,  4.925E-04,  3.995E-05,  7.656E-04,   NaN,  2.089E-01,  5.158E-04,  7.000E-06,  7.831E-04,   NaN,   0.13,   0.22,  25.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  27.6,  26.9,  31.0,  26.4,  26.9,  28.3,  28.3,  27.9,   NaN,  27.5,   NaN,  28.0,   NaN,  26.1,  27.2,   NaN,  28.0,  26.2,   NaN,  26.3,  25.9,  25.8,  25.8,  25.6, -0.35,   NaN, -0.47,  0.24, -0.28,  0.23, -0.39, -0.32,  0.13,  -0.1,   NaN, 2.237953,  27.4,  2.097E-01,  5.063E-04,  0.000E+00,  5.333E-06,   0.0,  6.085E-04,  5.962E-04
  30.,  2.052E-01,  2.866E-03,  3.117E-05,  5.780E-04,   NaN,  2.055E-01,  2.904E-03,  1.833E-05,  5.608E-04,   NaN,   0.93,   1.12,  25.4,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  36.5,  33.1,  84.8,  26.4,  26.9,  76.4,  73.8,  67.5,   NaN,  69.9,   NaN,  70.1,   NaN,  29.3,  51.6,   NaN,  38.5,  28.2,   NaN,  30.8,  27.3,  27.5,  26.9,  26.9, -1.22,   NaN, -1.25, -0.29, -0.33,  0.33, -0.31, -0.18,  0.31,   5.6,   NaN, 2.172333,  28.2,  2.096E-01,  6.035E-04,  0.000E+00,  6.667E-06,   2.0,  3.311E-03,  3.340E-03
  60.,  1.977E-01,  7.047E-03,  6.650E-05,  2.682E-04,   NaN,  1.983E-01,  7.024E-03,  2.950E-05,  2.608E-04,   NaN,   2.02,   2.13,  25.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  53.7,  44.1, 141.2,  26.4,  26.9, 122.9, 122.0, 110.1,   NaN, 119.5,   NaN, 124.7,   NaN,  34.2,  93.3,   NaN,  55.3,  28.0,   NaN,  35.7,  29.2,  29.2,  28.2,  28.5, -1.73,   NaN, -1.81, -0.62, -0.36,  0.44, -0.14,  0.10,  0.45,  15.3,   NaN, 2.253167,  30.0,  2.093E-01,  7.945E-04,  1.667E-07,  3.500E-06,   6.1,  8.130E-03,  8.061E-03
  90.,  1.908E-01,  1.103E-02,  6.817E-05,  1.528E-04,   NaN,  1.931E-01,  9.982E-03,  5.867E-05,  1.510E-04,   NaN,   3.00,   2.82,  25.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  72.0,  54.5, 175.8,  26.5,  26.9, 138.4, 156.6, 123.5,   NaN, 143.1,   NaN, 156.9,   NaN,  38.4, 118.7,   NaN,  67.0,  29.1,   NaN,  44.4,  31.8,  30.9,  29.4,  30.4, -1.80,   NaN, -1.76, -0.73, -0.36,  0.49,  0.00,  0.27,  0.51,  20.6,   NaN, 2.226333,  31.7,  2.091E-01,  9.317E-04,  1.500E-06,  3.000E-06,   8.6,  1.268E-02,  1.148E-02
 120.,  1.856E-01,  1.394E-02,  9.133E-05,  9.517E-05,   NaN,  1.891E-01,  1.228E-02,  6.433E-05,  1.060E-04,   NaN,   3.63,   3.45,  25.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  87.3,  61.8, 207.0,  26.6,  26.9, 162.1, 177.9, 130.4,   NaN, 160.3,   NaN, 179.7,   NaN,  42.0, 139.4,   NaN,  75.8,  30.3,   NaN,  47.6,  33.1,  31.8,  29.9,  30.8, -1.92,   NaN, -1.77, -0.81, -0.36,  0.49,  0.13,  0.34,  0.56,  24.4,   NaN, 2.279166,  32.9,  2.090E-01,  1.020E-03,  1.167E-06,  3.000E-06,   9.9,  1.604E-02,  1.411E-02
 150.,  1.823E-01,  1.578E-02,  9.267E-05,  7.150E-05,   NaN,  1.855E-01,  1.426E-02,  6.333E-05,  8.050E-05,   NaN,   4.17,   3.90,  25.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 100.5,  67.1, 233.9,  26.7,  26.9, 187.2, 191.5, 161.6,   NaN, 176.9,   NaN, 198.0,   NaN,  45.0, 155.0,   NaN,  73.7,  31.4,   NaN,  48.3,  34.8,  32.3,  30.3,  31.7, -2.09,   NaN, -2.09, -0.87, -0.36,  0.51,  0.20,  0.37,  0.57,  27.6,   NaN, 2.303833,  33.7,  2.089E-01,  1.059E-03,  1.667E-06,  3.000E-06,  10.7,  1.814E-02,  1.637E-02
 180.,  1.804E-01,  1.684E-02,  9.767E-05,  5.900E-05,   NaN,  1.834E-01,  1.546E-02,  6.950E-05,  6.683E-05,   NaN,   4.71,   4.24,  25.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 113.2,  72.0, 240.9,  27.0,  26.9, 194.8, 199.4, 172.6,   NaN, 183.8,   NaN, 212.6,   NaN,  47.8, 170.0,   NaN,  76.2,  31.9,   NaN,  49.8,  35.9,  32.6,  30.4,  31.9, -2.14,   NaN, -2.19, -0.94, -0.36,  0.53,  0.26,  0.42,  0.62,  29.3,   NaN, 2.320833,  34.3,  2.089E-01,  1.061E-03,  1.833E-06,  3.000E-06,  11.3,  1.936E-02,  1.775E-02
 210.,  1.781E-01,  1.836E-02,  1.003E-04,  5.283E-05,   NaN,  1.809E-01,  1.708E-02,  7.283E-05,  5.683E-05,   NaN,   5.96,   5.49,  25.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 127.3,  79.0, 272.4,  27.4,  26.9, 228.7, 217.2, 203.1,   NaN, 195.4,   NaN, 236.4,   NaN,  50.6, 186.1,   NaN,  85.7,  32.7,   NaN,  54.5,  36.6,  33.9,  31.4,  33.3, -2.45,   NaN, -2.48, -1.03, -0.40,  0.55,  0.32,  0.44,  0.64,  35.2,   NaN, 2.341000,  35.5,  2.087E-01,  1.163E-03,  1.833E-06,  3.000E-06,  13.4,  2.109E-02,  1.960E-02
 240.,  1.698E-01,  2.330E-02,  1.013E-04,  5.133E-05,   NaN,  1.737E-01,  2.140E-02,  8.567E-05,  5.367E-05,   NaN,   8.53,   8.27,  25.5,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 153.0,  97.3, 341.1,  27.9,  27.0, 283.2, 272.4, 255.2,   NaN, 233.9,   NaN, 286.5,   NaN,  57.5, 232.0,   NaN, 118.3,  35.4,   NaN,  67.6,  41.9,  37.8,  33.9,  37.4, -2.79,   NaN, -2.89, -1.23, -0.40,  0.62,  0.40,  0.50,  0.72,  49.2,   NaN, 2.289333,  38.3,  2.083E-01,  1.452E-03,  2.667E-06,  2.833E-06,  18.2,  2.674E-02,  2.455E-02
