Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.091E-01,  4.648E-04,  4.671E-05,  2.710E-05,   NaN,  2.091E-01,  4.657E-04,  6.500E-05,  1.424E-05,   NaN,   0.12,   0.21,  24.6,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  25.9,  26.3,  28.3,  25.4,  24.7,  26.0,  25.7,  25.7,   NaN,  25.7,   NaN,  25.5,   NaN,  25.2,  25.5,   NaN,  25.3,  25.3,   NaN,  25.3,  25.5,  25.7,  25.4,  25.4, -0.30, -0.31, -0.47,  0.09, -0.16,  0.23, -0.36, -0.31,  0.24,   0.1,   0.0, 2.204000,  26.3,  2.099E-01,  4.671E-04,  0.000E+00,  1.000E-06,   0.0,  2.922E-04,  3.032E-04
  30.,  2.043E-01,  3.860E-03,  7.200E-05,  5.117E-05,   NaN,  2.056E-01,  3.377E-03,  9.800E-05,  3.733E-05,   NaN,   1.24,   1.14,  24.6,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  38.1,  35.2,  67.6,  25.3,  24.7,  67.3,  71.5,  64.9,   NaN,  78.0,   NaN,  69.1,   NaN,  28.8,  57.5,   NaN,  36.7,  26.9,   NaN,  29.4,  26.9,  27.5,  26.6,  26.8, -1.24, -1.20, -1.19, -0.46, -0.25,  0.37, -0.08,  0.00,  0.40,   7.2,   0.0, 2.260000,  27.2,  2.097E-01,  6.112E-04,  8.333E-07,  1.667E-06,   7.1,  2.247E-03,  1.986E-03
  60.,  1.978E-01,  7.938E-03,  1.457E-04,  7.083E-05,   NaN,  1.991E-01,  7.513E-03,  1.622E-04,  4.125E-04,   NaN,   1.83,   1.90,  24.6,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  55.2,  50.4, 106.2,  25.3,  24.7,  99.5,  99.3,  87.2,   NaN, 120.9,   NaN, 111.3,   NaN,  32.9,  96.9,   NaN,  59.7,  27.7,   NaN,  36.8,  29.2,  28.8,  27.4,  28.2, -1.61, -1.39, -1.49, -0.68, -0.28,  0.46,  0.10,  0.20,  0.52,  13.7,   0.0, 2.187667,  28.7,  2.095E-01,  7.675E-04,  4.167E-06,  2.000E-06,  20.6,  4.619E-03,  4.386E-03
  90.,  1.945E-01,  1.016E-02,  2.750E-04,  1.478E-04,   NaN,  1.954E-01,  9.879E-03,  2.817E-04,  1.195E-04,   NaN,   2.32,   2.31,  24.7,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  64.8,  62.8, 120.4,  25.4,  24.8, 109.7, 110.6,  98.8,   NaN, 133.7,   NaN, 124.5,   NaN,  36.0, 110.7,   NaN,  68.6,  28.5,   NaN,  41.1,  30.4,  29.6,  27.9,  28.9, -1.74, -1.52, -1.58, -0.74, -0.30,  0.50,  0.23,  0.28,  0.55,  16.5,   0.0, 2.230000,  29.6,  2.094E-01,  8.325E-04,  9.000E-06,  3.833E-06,  38.6,  5.965E-03,  5.806E-03
 120.,  1.908E-01,  1.278E-02,  4.767E-04,  3.823E-04,   NaN,  1.924E-01,  1.203E-02,  4.508E-04,  3.297E-04,   NaN,   3.29,   3.17,  24.7,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  80.6,  73.6, 139.6,  25.4,  24.8, 127.5, 128.0, 114.0,   NaN, 152.0,   NaN, 142.6,   NaN,  38.9, 122.2,   NaN,  68.9,  29.7,   NaN,  46.0,  32.7,  31.1,  28.9,  30.4, -1.92, -1.57, -1.69, -0.80, -0.29,  0.53,  0.23,  0.28,  0.57,  19.8,   0.0, 2.236167,  30.3,  2.093E-01,  9.110E-04,  1.633E-05,  9.833E-06,  59.2,  7.576E-03,  7.132E-03
 150.,  1.879E-01,  1.461E-02,  5.975E-04,  6.197E-04,   NaN,  1.901E-01,  1.353E-02,  5.880E-04,  5.478E-04,   NaN,   3.26,   3.15,  24.7,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  88.8,  83.8, 154.9,  25.6,  24.8, 131.8, 136.5, 115.5,   NaN, 163.0,   NaN, 153.9,   NaN,  41.7, 134.3,   NaN,  73.6,  30.7,   NaN,  48.4,  34.2,  31.3,  28.9,  30.9, -1.84, -1.67, -1.66, -0.85, -0.30,  0.54,  0.31,  0.37,  0.62,  21.2,   0.0, 2.271500,  31.0,  2.093E-01,  9.588E-04,  1.933E-05,  1.450E-05,  63.7,  8.690E-03,  8.065E-03
 180.,  1.868E-01,  1.553E-02,  6.722E-04,  7.662E-04,   NaN,  1.885E-01,  1.477E-02,  6.575E-04,  7.108E-04,   NaN,   3.98,   4.05,  24.7,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  96.3,  90.3, 162.0,  25.8,  24.8, 141.0, 141.2, 123.0,   NaN, 174.1,   NaN, 163.2,   NaN,  43.2, 130.6,   NaN,  61.1,  30.9,   NaN,  54.9,  37.5,  34.4,  29.8,  31.8, -1.97, -1.76, -1.73, -0.85, -0.30,  0.58,  0.34,  0.36,  0.62,  22.0,   0.0, 2.186167,  31.3,  2.092E-01,  9.890E-04,  2.100E-05,  1.700E-05,  72.3,  9.256E-03,  8.816E-03
 210.,  1.858E-01,  1.604E-02,  6.998E-04,  8.635E-04,   NaN,  1.873E-01,  1.533E-02,  6.912E-04,  8.038E-04,   NaN,   3.57,   3.77,  24.8,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  97.5,  96.7, 169.7,  26.1,  24.8, 145.2, 145.3, 121.3,   NaN, 174.9,   NaN, 162.2,   NaN,  44.6, 134.5,   NaN,  65.9,  32.7,   NaN,  55.3,  38.4,  34.1,  29.9,  31.7, -1.91, -1.75, -1.63, -0.86, -0.27,  0.57,  0.26,  0.41,  0.61,  21.4,   0.0, 2.241167,  31.5,  2.092E-01,  9.783E-04,  2.050E-05,  1.750E-05,  66.5,  9.566E-03,  9.157E-03
 240.,  1.880E-01,  1.461E-02,  6.428E-04,  8.162E-04,   NaN,  1.895E-01,  1.386E-02,  6.162E-04,  7.503E-04,   NaN,   3.00,   2.96,  24.7,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  95.5,  90.2, 153.0,  26.4,  24.8, 131.3, 127.6, 111.5,   NaN, 155.6,   NaN, 147.4,   NaN,  43.8, 128.8,   NaN,  67.4,  32.0,   NaN,  49.2,  37.8,  31.8,  29.4,  32.1, -1.90, -1.60, -1.69, -0.82, -0.29,  0.54,  0.29,  0.38,  0.59,  18.4,   0.0, 2.269167,  31.2,  2.093E-01,  9.007E-04,  1.633E-05,  1.433E-05,  58.4,  8.715E-03,  8.271E-03
