Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.071E-01,  1.437E-03,  5.062E-05,  1.676E-03,   NaN,  2.077E-01,  1.391E-03,  6.767E-05,  2.236E-04,   NaN,   0.15,   0.23,  23.6,  28.9,  30.5,  21.3,  24.4,  20.9,  24.6,  10.0,  22.3,  33.5,  23.3,  10.0,  31.5,  31.7,  31.3,  21.4,  25.1,  22.0,  26.3,  19.7,  18.6,  21.8,  19.9,  20.5,  24.2,  21.2,  26.1,  19.6,  19.9,  20.6,  19.3, -0.47, -0.43, -0.47,  0.20,  0.30,  0.18,  0.22, -0.11, -0.16,   0.2,  33.7, 2.474143,  22.6,  2.094E-01,  5.652E-04,  0.000E+00,        NaN,   NaN,  2.975E-03,  2.918E-03
  30.,  1.675E-01,  2.058E-02,  7.583E-05,  7.711E-02,   NaN,  1.722E-01,  1.414E-02,  7.617E-05,  4.404E-02,   NaN,   3.18,   4.22,  23.5,  33.4,  32.9,  22.0,  27.2,  21.5,  27.7,  10.0,  36.7, 226.6,  23.2,  10.0, 169.6, 242.8, 132.3,  24.3, 236.3,  25.6, 201.9,  20.1,  25.5, 160.1,  20.3,  33.1,  26.9,  22.0,  30.8,  23.2,  23.9,  24.1,  22.3, -1.93, -2.19, -1.19, -0.76,  0.33,  0.37,  0.37,  0.25,  0.26,  33.0,  98.0, 2.371333,  25.7,  2.085E-01,  1.002E-03,  0.000E+00,        NaN,   NaN,  4.131E-02,  2.844E-02
  60.,  4.498E-02,  6.928E-02,  9.188E-03,  1.214E-01,   NaN,  4.977E-02,  6.121E-02,  5.264E-03,  7.963E-02,   NaN,  12.60,  20.75,  23.3,  88.8,  76.5,  27.8,  54.6,  27.5,  65.3,  10.0, 108.6, 561.6,  23.2,  10.0, 502.4, 705.7, 436.5,  69.0, 676.1,  72.0, 588.9,  23.2,  57.6, 474.2,  24.2,  96.9,  73.8,  25.8,  90.3,  41.1,  45.3,  43.8,  36.1, -3.86, -4.23, -2.57, -1.70,  0.28,  0.55,  0.55,  0.57,  0.54, 154.4, 204.9, 2.176833,  39.6,  2.048E-01,  2.787E-03,  1.283E-04,        NaN,   NaN,  1.569E-01,  1.329E-01
  90.,  2.363E-03,  7.048E-02,  2.344E-02,  1.126E-01,   NaN,  6.315E-03,  7.566E-02,  1.531E-02,  9.232E-02,   NaN,  15.66,  28.72,  23.3, 258.8, 295.8,  48.5, 150.5,  53.1, 275.6,  10.0, 174.2, 648.5,  23.4,  10.0, 642.2, 816.6, 546.1, 266.3, 825.2, 268.0, 788.5,  34.6,  70.8, 578.8,  41.9, 166.7, 131.4,  43.0, 152.5,  54.9,  62.1,  60.6,  44.5, -4.70, -4.86, -3.01, -2.03,  0.04,  0.69,  0.69,  0.73,  0.72, 249.0, 267.2, 2.198833,  63.2,  2.020E-01,  4.402E-03,  1.768E-04,        NaN,   NaN,  1.878E-01,  1.819E-01
 120.,  6.393E-04,  6.988E-02,  2.435E-02,  1.234E-01,   NaN,  3.867E-03,  7.329E-02,  1.983E-02,  7.925E-02,   NaN,  18.15,  33.15,  23.3, 414.5, 551.7,  84.1, 280.9, 101.2, 536.7,  10.0, 213.9, 692.2,  23.4,  10.0, 701.1, 851.1, 624.3, 495.6, 885.4, 504.5, 851.3,  55.2,  72.4, 604.9,  76.6, 206.9, 161.0,  75.4, 185.4,  60.7,  71.8,  68.8,  48.8, -4.91, -5.08, -3.22, -2.17, -0.01,  0.76,  0.75,  0.76,  0.81, 262.1, 266.5, 2.160833,  76.8,  2.015E-01,  4.768E-03,  1.325E-04,        NaN,   NaN,  1.885E-01,  1.862E-01
 150.,  1.647E-04,  6.852E-02,  2.586E-02,  1.226E-01,   NaN,  5.622E-03,  7.427E-02,  1.802E-02,  7.646E-02,   NaN,  20.76,  36.78,  23.2, 507.5, 697.1, 129.6, 399.5, 161.7, 692.8,  10.0, 237.0, 723.0,  23.5,  10.0, 811.5, 857.7, 758.1, 632.5, 862.8, 635.8, 843.1,  81.7,  72.8, 570.9, 125.0, 227.8, 180.2, 115.8, 215.4,  70.5,  80.0,  77.6,  52.6, -5.29, -5.03, -3.21, -2.12, -0.12,  0.76,  0.76,  0.79,  0.84, 259.9, 266.4, 2.111500,  83.3,  2.014E-01,  4.918E-03,  9.733E-05,        NaN,   NaN,  1.888E-01,  1.846E-01
 180.,  8.583E-05,  6.861E-02,  2.624E-02,  1.290E-01,   NaN,  6.026E-03,  7.392E-02,  1.858E-02,  7.579E-02,   NaN,  19.23,  41.12,  23.2, 585.2, 982.0, 138.9, 611.9, 152.9, 997.9,  10.0, 258.7, 751.4,  23.7,  10.0, 873.5, 880.9, 802.7, 920.2, 876.6, 905.8, 860.9,  68.9,  72.3, 601.9, 198.6, 266.1, 204.6,  89.7, 198.3,  81.1,  93.0,  88.1,  56.3, -5.50, -5.09, -3.30, -2.21, -0.12,  0.80,  0.81,  0.81,  0.86, 253.0, 266.4, 2.128667,  85.2,  2.017E-01,  4.818E-03,  7.850E-05,        NaN,   NaN,  1.897E-01,  1.850E-01
 210.,  2.567E-05,  6.717E-02,  2.762E-02,  1.177E-01,   NaN,  6.857E-03,  7.348E-02,  1.870E-02,  7.124E-02,   NaN,  19.34,  44.30,  23.2, 617.2,1011.3, 135.4, 644.0, 143.8,1038.0,  10.0, 276.8, 765.6,  23.8,  10.0, 929.6, 895.7, 848.5, 960.4, 888.8, 937.6, 861.3,  54.2,  95.3, 619.1, 212.5, 280.7, 209.9,  68.3, 200.1,  83.1,  94.2,  91.3,  59.1, -5.72, -5.25, -3.38, -2.29, -0.16,  0.82,  0.83,  0.83,  0.92, 254.2, 266.4, 2.101500,  87.3,  2.015E-01,  4.902E-03,  6.350E-05,        NaN,   NaN,  1.896E-01,  1.844E-01
 240.,  3.333E-07,  6.781E-02,  2.722E-02,  1.148E-01,   NaN,  8.262E-03,  7.328E-02,  1.850E-02,  7.405E-02,   NaN,  20.43,  47.70,  23.3, 627.7,1022.0, 141.2, 650.3, 151.3,1044.9,  10.0, 295.7, 786.0,  24.3,  10.0, 939.7, 892.5, 851.0, 971.1, 891.0, 938.7, 860.2,  54.0, 150.0, 625.9, 215.7, 287.1, 223.0,  67.2, 217.6,  89.0,  98.6,  98.2,  64.5, -5.85, -5.39, -3.67, -2.32, -0.29,  0.83,  0.83,  0.86,  0.98, 250.5, 266.3, 2.055333,  89.5,  2.015E-01,  4.948E-03,  5.317E-05,        NaN,   NaN,  1.901E-01,  1.836E-01
