1 Time From Ignition (s),2 O2Rear (mol/mol),3 CO2Rear (mol/mol),4 CORear (mol/mol),5 THCRear (mol/mol),6 SootRear (g/g),7 O2Front (mol/mol),8 CO2Front (mol/mol),9 COFront (mol/mol),10 THCFront (mol/mol),11 SootFront (g/g),12 HFR (kW/m2),13 HFF (kW/m2),14 TambCal (C),15 TRSampA (C),16 TFSampA (C),17 TR24A (C),18 TR80A (C),19 TF24A (C),20 TF80A (C),21 TFloorR (C),22 TFloorF (C),23 TCeilF (C),24 TWallUR (C),25 TUFloor (C),26 TD79LBB (C),27 TD79CBB (C),28 TD79RBB (C),29 TD70LA (C),30 TD70LBB (C),31 TD70CA (C),32 TD70CBB (C),33 TD30LA (C),34 TD30LBB (C),35 TD60CBB (C),36 TD50CA (C),37 TD50CBB (C),38 TD40CBB (C),39 TD30CA (C),40 TD30CBB (C),41 TD20LBB (C),42 TD20CBB (C),43 TD20RBB (C),44 TD5CBB (C),45 VD79L (m/s),46 VD79C (m/s),47 VD79R (m/s),48 VD60C (m/s),49 VD40C (m/s),50 VD20L (m/s),51 VD20C (m/s),52 VD20R (m/s),53 VD5C (m/s),54 HRRcal (kW),55 HRRburner (kW),56 StackMFR (kg/s),57 Tstack (C),58 O2stack (mol/mol),59 CO2stack (mol/mol),60 COstack (mol/mol),61 THCstack (mol/mol),62 MSstack (mg/m3),63 H2ORear (mol/mol),64 H2OFront (mol/mol)
-100,0.208396,0.000974,0.000039,0.000272,NaN,0.208282,0.001053,0.000071,0.000495,NaN,0.19,0.48,23.595,28.24,30.13,21.22,23.8,20.71,23.69,10,23.32,34.83,23.26,10,29.93,30.45,32,20.67,25.41,21.07,31.63,19.64,18.57,22.45,19.65,21.88,45.01,20.05,50.62,19.69,20.2,25,19.43,-0.613,-0.655,-0.706,0.251,0.226,0.222,0.296,-0.014,-0.1,1.06,0,2.487,22.403,0.209423,0.000574,0,NaN,NaN,0.002026,0.002249
-95,0.207777,0.001185,0.000036,0.000251,NaN,0.207583,0.00131,0.000064,0.000466,NaN,0.17,0.26,23.592,28.25,30.12,21.23,23.82,20.72,23.73,10,23.69,37.58,23.21,10,35.03,34.96,35.6,20.69,29.24,21.12,37.71,19.65,18.68,24.56,19.68,22.21,40.9,20.17,48.68,19.7,20.17,22.84,19.54,-0.735,-0.706,-0.745,0.198,0.337,0.243,0.256,-0.048,-0.199,1.37,0,2.514,22.47,0.209414,0.000583,0,NaN,NaN,0.002444,0.002748
-90,0.207218,0.001388,0.00004,0.000251,NaN,0.207284,0.001543,0.000059,0.000429,NaN,0.17,0.24,23.584,28.29,30.13,21.24,23.85,20.73,23.79,10,23.49,37.59,23.12,10,36.98,37.37,36.1,20.74,31.51,21.2,34.75,19.66,18.67,25.4,19.71,21.53,32.05,20.35,38.5,19.56,20.05,21.84,19.49,-0.666,-0.641,-0.712,0.196,0.312,0.231,0.25,-0.059,-0.186,1.01,0,2.538,22.443,0.209421,0.00059,0,NaN,NaN,0.002857,0.003205
-85,0.206889,0.001549,0.00005,0.000238,NaN,0.207171,0.001687,0.00007,0.000404,NaN,0.15,0.2,23.575,28.33,30.15,21.25,23.89,20.75,23.88,10,23.1,36.96,23.12,10,37.42,37.88,36.32,20.81,31.59,21.32,32.88,19.67,18.67,25.03,19.73,21.07,27.72,20.54,32.96,19.43,19.88,21.35,19.25,-0.601,-0.581,-0.662,0.238,0.307,0.161,0.236,-0.068,-0.136,0.8,0,2.55,22.403,0.209425,0.000594,0,NaN,NaN,0.003198,0.003514
-80,0.206719,0.001651,0.000055,0.000217,NaN,0.207204,0.001751,0.000078,0.000371,NaN,0.13,0.18,23.577,28.4,30.18,21.27,23.94,20.78,23.99,10,22.65,36.06,23.19,10,36.66,37.25,36.01,20.9,29.82,21.45,30.71,19.68,18.65,23.75,19.75,20.78,25.37,20.73,29.3,19.32,19.73,20.94,19.06,-0.554,-0.52,-0.581,0.178,0.298,0.223,0.267,-0.024,-0.097,0.66,0,2.528,22.383,0.209429,0.000589,0,NaN,NaN,0.003413,0.003658
-75,0.206675,0.001688,0.000058,0.000202,NaN,0.20731,0.001746,0.000068,0.000338,NaN,0.13,0.19,23.578,28.48,30.23,21.29,24.01,20.81,24.11,10,22.34,35.05,23.33,10,35.01,36.03,35.25,21,27.02,21.6,28.93,19.7,18.6,22.88,19.77,20.59,23.95,20.89,26.62,19.22,19.74,20.8,19.02,-0.497,-0.481,-0.538,0.06,0.305,0.268,0.286,-0.068,-0.121,0.42,0,2.471,22.405,0.209437,0.000577,0,NaN,NaN,0.003492,0.003628
-70,0.206737,0.00167,0.000052,0.000198,NaN,0.207416,0.001693,0.000067,0.000308,NaN,0.13,0.19,23.573,28.57,30.28,21.3,24.09,20.83,24.22,10,22.22,34.27,23.4,10,33.39,34.49,33.83,21.1,25.05,21.73,26.84,19.71,18.53,22.41,19.8,20.4,22.89,21.05,24.65,19.16,19.74,20.73,19,-0.438,-0.421,-0.475,0.069,0.307,0.229,0.265,-0.034,-0.124,0.06,0,2.437,22.452,0.209447,0.000564,0,NaN,NaN,0.003445,0.00352
-65,0.206865,0.001619,0.000053,0.000196,NaN,0.207506,0.001623,0.00006,0.000278,NaN,0.13,0.19,23.565,28.66,30.33,21.32,24.18,20.86,24.34,10,22.2,33.62,23.42,10,31.99,32.93,32.18,21.2,23.94,21.86,25.1,19.72,18.44,21.89,19.82,20.23,22.04,21.18,23.14,19.27,19.78,20.61,19.09,-0.436,-0.407,-0.46,0.188,0.303,0.208,0.263,-0.014,-0.08,-0.07,0,2.433,22.524,0.209452,0.000558,0,NaN,NaN,0.003344,0.003366
-60,0.206977,0.001544,0.000058,0.000183,NaN,0.207562,0.001555,0.000062,0.000254,NaN,0.13,0.18,23.555,28.77,30.39,21.33,24.26,20.87,24.45,10,22.17,33.12,23.45,10,30.93,31.4,30.78,21.3,23.59,21.98,23.82,19.71,18.41,21.22,19.85,20.17,21.56,21.29,22.28,19.42,19.85,20.48,19.2,-0.439,-0.415,-0.463,0.213,0.294,0.201,0.22,-0.143,-0.118,0.01,0,2.442,22.617,0.20945,0.000557,0,NaN,NaN,0.003203,0.003234
-55,0.207044,0.001474,0.00006,0.000162,NaN,0.207617,0.001481,0.000063,0.000235,NaN,0.13,0.19,23.545,28.85,30.44,21.34,24.34,20.89,24.55,10,22.13,32.88,23.43,10,30.15,30.1,29.4,21.38,22.79,22.1,22.89,19.72,18.44,20.83,19.87,20.13,21.36,21.38,21.99,19.52,19.87,20.28,19.32,-0.404,-0.368,-0.422,0.228,0.279,0.148,0.163,-0.202,-0.214,-0.01,212.33,2.46,22.679,0.209451,0.000556,0,NaN,NaN,0.003068,0.003088
