Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.074E-01,  1.323E-03,  5.000E-06,  1.238E-05,   NaN,  2.061E-01,  2.242E-03,  5.181E-05,  1.557E-05,   NaN,   0.13,   0.19,  21.8,  30.6,  30.4,  18.3,  27.9,  18.3,  27.4,  10.0,  20.1,  26.9,  21.9,  10.0,  27.7,  26.7,  27.1,  21.0,  20.5,  20.4,  20.2,  17.2,  17.2,  17.7,  17.2,  17.7,  17.5,  17.2,  17.3,  17.1,  17.4,  17.3,  16.8, -0.49, -0.45, -0.46,  0.09,  0.37,  0.22,  0.29, -0.01,  0.25,   0.4, 113.6, 2.544048,  20.8,  2.094E-01,  6.395E-04,  0.000E+00,        NaN,   NaN,  2.653E-03,  4.588E-03
  30.,  1.619E-01,  2.251E-02,  2.367E-05,  1.233E-05,   NaN,  1.558E-01,  2.893E-02,  5.750E-05,  2.400E-05,   NaN,   2.96,   3.89,  21.6, 214.8, 262.3,  22.9, 210.5,  21.9, 202.7,  10.0,  33.8, 213.3,  21.9,  10.0, 262.8, 268.0, 165.1, 209.1, 245.3, 191.2, 218.5,  18.1,  22.0,  99.7,  18.6,  25.0,  22.8,  18.4,  24.6,  20.8,  21.1,  19.8,  19.0, -2.54, -2.45, -2.02, -0.65,  0.42,  0.36,  0.41,  0.32,  0.44,  32.8,  94.6, 2.486666,  24.0,  2.085E-01,  1.039E-03,  0.000E+00,        NaN,   NaN,  4.507E-02,  5.797E-02
  60.,  1.232E-01,  4.008E-02,  4.600E-05,  5.558E-04,   NaN,  1.246E-01,  4.423E-02,  1.000E-04,  8.158E-04,   NaN,   6.16,   8.03,  21.6, 418.4, 512.4,  35.9, 421.5,  33.4, 431.4,  10.0,  61.2, 381.2,  21.9,  10.0, 422.5, 453.6, 262.6, 452.3, 452.1, 375.4, 381.8,  20.4,  31.1, 227.5,  23.0,  40.8,  33.6,  21.3,  37.4,  25.8,  26.4,  24.6,  21.7, -3.52, -3.36, -2.51, -1.15,  0.45,  0.49,  0.57,  0.54,  0.63,  70.6,  76.1, 2.429333,  30.4,  2.075E-01,  1.619E-03,  8.333E-07,        NaN,   NaN,  8.026E-02,  8.866E-02
  90.,  6.338E-02,  6.717E-02,  5.517E-04,  2.837E-03,   NaN,  6.857E-02,  6.719E-02,  1.136E-03,  2.236E-03,   NaN,  11.65,  16.20,  21.6, 581.7, 775.5,  52.9, 551.8,  49.3, 606.7,  10.0, 102.0, 544.1,  22.1,  10.0, 607.1, 643.7, 421.8, 657.5, 631.4, 504.5, 502.5,  23.9,  46.9, 293.8,  44.8,  78.8,  56.4,  25.9,  62.4,  33.2,  35.0,  31.9,  26.4, -4.27, -4.05, -3.21, -1.41,  0.44,  0.58,  0.63,  0.61,  0.72, 104.0, 119.8, 2.259833,  36.0,  2.064E-01,  2.207E-03,  9.167E-06,        NaN,   NaN,  1.354E-01,  1.366E-01
 120.,  2.009E-02,  8.152E-02,  5.907E-03,  1.445E-02,   NaN,  3.350E-02,  7.768E-02,  6.964E-03,  1.950E-02,   NaN,  16.60,  24.90,  21.7, 660.5, 939.6,  72.4, 622.3,  69.9, 796.9,  10.0, 152.0, 656.9,  22.0,  10.0, 722.1, 783.9, 535.3, 780.5, 721.2, 626.4, 611.1,  28.3,  66.2, 362.8,  81.5, 122.4,  90.1,  31.8,  93.5,  41.8,  45.2,  42.6,  31.8, -4.80, -4.54, -3.74, -1.68,  0.41,  0.66,  0.69,  0.71,  0.82, 148.2, 161.9, 2.357333,  42.8,  2.053E-01,  2.807E-03,  6.383E-05,        NaN,   NaN,  1.749E-01,  1.693E-01
 150.,  7.314E-03,  8.228E-02,  1.130E-02,  3.205E-02,   NaN,  4.536E-03,  7.810E-02,  1.515E-02,  4.687E-02,   NaN,  20.38,  31.65,  21.4, 704.0,1006.8,  93.9, 609.5,  95.7, 829.7,  10.0, 189.8, 712.5,  22.0,  10.0, 823.7, 878.4, 637.2, 916.5, 843.5, 743.3, 712.6,  33.2,  84.8, 398.8, 116.7, 175.5, 112.9,  38.5, 121.8,  49.5,  54.1,  49.1,  36.0, -5.26, -4.95, -4.18, -1.89,  0.42,  0.73,  0.75,  0.78,  0.91, 183.0, 205.0, 2.290333,  51.4,  2.042E-01,  3.385E-03,  1.355E-04,        NaN,   NaN,  1.872E-01,  1.865E-01
 180.,  3.418E-03,  7.899E-02,  1.604E-02,  5.276E-02,   NaN,  2.758E-03,  7.323E-02,  2.093E-02,  8.483E-02,   NaN,  23.30,  36.52,  21.5, 677.6,1000.7, 106.3, 613.9, 115.1, 926.9,  10.0, 221.1, 733.2,  22.1,  10.0, 926.5, 931.6, 707.5, 939.3, 875.0, 834.9, 796.5,  37.2,  97.1, 430.9, 147.6, 201.8, 133.1,  43.4, 141.6,  54.1,  59.4,  54.5,  37.9, -5.64, -5.26, -4.58, -1.98,  0.26,  0.74,  0.80,  0.83,  0.98, 228.2, 242.5, 2.342500,  63.3,  2.030E-01,  4.052E-03,  1.230E-04,        NaN,   NaN,  1.901E-01,  1.883E-01
 210.,  1.359E-03,  7.476E-02,  2.067E-02,  6.296E-02,   NaN, -1.226E-03,  7.183E-02,  2.276E-02,  8.527E-02,   NaN,  25.87,  41.67,  21.5, 660.1, 983.3, 121.4, 612.2, 130.4, 962.6,  10.0, 255.3, 750.1,  22.2,  10.0, 937.0, 930.5, 770.2, 968.6, 914.7, 926.6, 869.7,  40.7, 110.9, 464.7, 176.0, 237.5, 153.0,  47.4, 161.5,  60.1,  66.4,  60.7,  41.7, -5.80, -5.37, -4.86, -2.09,  0.27,  0.77,  0.81,  0.83,  1.00, 256.4, 267.5, 2.291000,  76.0,  2.021E-01,  4.675E-03,  7.683E-05,        NaN,   NaN,  1.909E-01,  1.892E-01
 240.,  1.095E-03,  7.474E-02,  2.072E-02,  6.332E-02,   NaN, -2.552E-03,  6.962E-02,  2.465E-02,  9.489E-02,   NaN,  28.43,  44.62,  21.5, 669.2, 964.3, 131.1, 617.2, 146.0, 974.7,  10.0, 271.8, 759.0,  22.6,  10.0, 926.7, 952.2, 810.8, 978.9, 942.0, 916.9, 856.8,  44.2, 123.5, 476.7, 189.4, 251.7, 169.9,  52.1, 182.2,  63.4,  70.2,  63.3,  43.9, -5.81, -5.46, -5.08, -2.16,  0.30,  0.80,  0.82,  0.82,  1.04, 254.1, 267.8, 2.200500,  82.3,  2.018E-01,  4.841E-03,  6.533E-05,        NaN,   NaN,  1.909E-01,  1.885E-01
