s,kW
Time,HRR
   0.0,   0.0
   5.0,   9.4
  10.0,  32.6
  15.0,  54.6
  20.0,  79.2
  25.0,  91.8
  30.0,  99.6
  35.0, 102.4
  40.0, 103.0
  45.0, 105.4
  50.0, 112.4
  55.0, 123.8
  60.0, 129.0
  65.0, 132.8
  70.0, 146.4
  75.0, 143.4
  80.0, 144.6
  85.0, 148.8
  90.0, 144.2
  95.0, 137.8
 100.0, 138.6
 105.0, 144.6
 110.0, 144.6
 115.0, 138.4
 120.0, 143.6
 125.0, 139.2
 130.0, 151.4
 135.0, 151.0
 140.0, 151.2
 145.0, 153.2
 150.0, 148.4
 155.0, 155.4
 160.0, 154.4
 165.0, 151.8
 170.0, 153.0
 175.0, 154.2
 180.0, 148.6
 185.0, 148.2
 190.0, 147.0
 195.0, 147.0
 200.0, 148.2
 205.0, 143.2
 210.0, 141.8
 215.0, 141.0
 220.0, 137.8
 225.0, 133.0
 230.0, 135.0
 235.0, 134.0
 240.0, 146.2
 245.0, 147.6
 250.0, 151.4
 255.0, 147.2
 260.0, 142.6
 265.0, 135.0
 270.0, 134.8
 275.0, 129.6
 280.0, 126.4
 285.0, 127.8
 290.0, 124.8
 295.0, 115.0
 300.0, 112.2
 305.0, 106.6
 310.0, 103.6
 315.0,  94.2
 320.0,  89.0
 325.0,  79.4
 330.0,  67.8
 335.0,  59.6
 340.0,  53.6
 345.0,  46.6
 350.0,  40.6
 355.0,  37.2
 360.0,  33.4
 365.0,  31.8
 370.0,  27.8
 375.0,  25.2
 380.0,  21.8
 385.0,  19.0
 390.0,  17.0
 395.0,  15.2
 400.0,  14.2
 405.0,  13.8
 410.0,  13.4
 415.0,  12.4
 420.0,  11.0
 425.0,  10.6
 430.0,   9.8
 435.0,   8.0
 440.0,   7.4
 445.0,   7.4
 450.0,   6.6
 455.0,   6.0
 460.0,   5.4
 465.0,   5.0
 470.0,   4.8
 475.0,   4.0
 480.0,   4.0
 485.0,   3.8
 490.0,   3.6
 495.0,   3.0
 500.0,   3.4
 505.0,   3.0
 510.0,   2.4
 515.0,   2.0
 520.0,   2.0
 525.0,   2.4
 530.0,   2.8
 535.0,   2.0
 540.0,   2.2
 545.0,   2.0
 550.0,   2.0
 555.0,   2.0
 560.0,   2.0
 565.0,   2.0
 570.0,   1.6
 575.0,   1.0
 580.0,   1.6
