s,kW
Time,HRR
   0.0,   0.0
   5.0,   3.0
  10.0,  17.0
  15.0,  35.2
  20.0,  46.0
  25.0,  48.8
  30.0,  47.4
  35.0,  46.2
  40.0,  42.8
  45.0,  41.4
  50.0,  41.0
  55.0,  39.4
  60.0,  39.0
  65.0,  39.2
  70.0,  39.0
  75.0,  38.2
  80.0,  38.0
  85.0,  38.6
  90.0,  37.4
  95.0,  38.4
 100.0,  38.6
 105.0,  38.0
 110.0,  38.6
 115.0,  38.2
 120.0,  37.4
 125.0,  37.2
 130.0,  37.8
 135.0,  38.4
 140.0,  38.4
 145.0,  38.6
 150.0,  39.0
 155.0,  40.4
 160.0,  40.4
 165.0,  41.4
 170.0,  40.6
 175.0,  38.4
 180.0,  39.0
 185.0,  41.4
 190.0,  41.6
 195.0,  41.4
 200.0,  41.6
 205.0,  42.6
 210.0,  42.8
 215.0,  41.8
 220.0,  42.0
 225.0,  43.2
 230.0,  43.0
 235.0,  43.8
 240.0,  43.2
 245.0,  43.4
 250.0,  41.8
 255.0,  43.2
 260.0,  44.8
 265.0,  43.2
 270.0,  42.8
 275.0,  42.2
 280.0,  42.8
 285.0,  43.2
 290.0,  43.4
 295.0,  44.2
 300.0,  44.6
 305.0,  43.8
 310.0,  43.0
 315.0,  42.4
 320.0,  43.0
 325.0,  41.8
 330.0,  44.0
 335.0,  44.4
 340.0,  43.8
 345.0,  44.8
 350.0,  43.8
 355.0,  44.2
 360.0,  43.6
 365.0,  44.4
 370.0,  43.2
 375.0,  43.0
 380.0,  44.2
 385.0,  44.2
 390.0,  43.6
 395.0,  45.0
 400.0,  44.0
 405.0,  43.8
 410.0,  43.6
 415.0,  44.4
 420.0,  45.0
 425.0,  46.0
 430.0,  45.4
 435.0,  46.0
 440.0,  45.4
 445.0,  44.6
 450.0,  43.8
 455.0,  45.6
 460.0,  44.0
 465.0,  43.6
 470.0,  43.6
 475.0,  44.6
 480.0,  43.6
 485.0,  43.2
 490.0,  43.0
 495.0,  39.6
 500.0,  38.8
 505.0,  35.8
 510.0,  32.2
 515.0,  30.4
 520.0,  26.8
 525.0,  24.8
 530.0,  22.8
 535.0,  19.2
 540.0,  17.4
 545.0,  15.6
 550.0,  13.2
 555.0,  11.4
 560.0,   9.8
 565.0,   8.8
 570.0,   8.0
 575.0,   6.4
 580.0,   5.2
 585.0,   4.2
 590.0,   4.0
 595.0,   3.2
 600.0,   3.0
 605.0,   3.0
 610.0,   3.0
 615.0,   2.4
 620.0,   2.4
 625.0,   2.0
 630.0,   2.0
 635.0,   2.0
 640.0,   2.0
 645.0,   2.0
 650.0,   1.8
 655.0,   1.4
 660.0,   1.4
 665.0,   1.0
 670.0,   1.0
 675.0,   1.0
 680.0,   1.0
 685.0,   1.0
 690.0,   1.0
 695.0,   1.0
 700.0,   1.0
