Time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4,Upper Pressure,Lower Pressure,Fuel Mass,Upper O2,Upper CO,Upper CO2,Lower O2,Lower CO,Lower CO2,Adjusted Upper O2,Adjusted Upper CO,Adjusted Upper CO2,Adjusted Lower O2,Adjusted Lower CO,Adjusted Lower CO2,Adjusted Burning rate,Total Burning Rate
s,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,kW/m2,kW/m2,kW/m2,kW/m2,Pa,Pa,g,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,g/m^2-s,kg/s
   0.,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  20.86,   0.36,   0.71,   0.16,      0.1,     -0.1,   0.0,  2.100E-01, -1.850E-05,  4.802E-04,  2.091E-01,  5.260E-05,  1.704E-03,  2.094E-01,  2.550E-05,  4.411E-04,  2.091E-01,  6.030E-05,  1.698E-03,   0.0, 0.000000
   5.,  14.5,  13.6,   8.6,   7.0,   7.4,   4.9,   3.6,   3.1,   2.6,   1.7,   1.3,   1.1,  17.3,   9.0,   2.0,   1.5,  24.5,  65.6,  94.7,  22.33,   0.49,   1.02,   3.11,      0.3,     -0.3,   0.0,  2.099E-01, -2.285E-05,  4.723E-04,  2.091E-01,  4.210E-05,  1.719E-03,  2.086E-01,  1.145E-06,  2.141E-03,  2.091E-01,  6.860E-05,  2.019E-03,   2.9, 0.000020
  10.,  49.4,  42.7,  32.2,  28.5,  27.6,  24.4,  20.3,  17.2,  13.1,   9.1,   3.4,   2.8,  66.4,  51.3,  24.1,   7.9,  57.0,  77.2, 105.0,  42.65,   2.33,   3.28,   3.62,      0.5,     -0.5,  -0.1,  2.099E-01, -1.066E-05,  4.333E-04,  2.092E-01,  5.220E-05,  1.699E-03,  2.065E-01,  2.113E-05,  3.813E-03,  2.087E-01,  6.610E-05,  3.044E-03,   7.5, 0.000053
  15.,  90.1,  83.6,  68.3,  59.3,  56.6,  52.1,  46.9,  40.4,  31.2,  20.1,   6.8,   4.8, 122.5, 128.0,  68.1,  19.6,  97.1,  90.0, 106.3,  48.85,   3.66,   6.42,   4.59,      0.7,     -0.5,  -0.5,  2.099E-01, -1.664E-05,  4.458E-04,  2.091E-01,  6.200E-05,  2.353E-03,  2.035E-01,  1.516E-05,  6.805E-03,  2.080E-01,  7.680E-05,  3.732E-03,  11.7, 0.000083
  20., 127.6, 122.5, 101.5,  90.0,  85.9,  81.0,  71.9,  61.5,  47.6,  32.1,  10.2,   6.8, 156.3, 172.7, 102.7,  31.5, 132.4, 107.9, 111.3,  46.72,   4.38,   6.45,   5.36,      0.8,     -0.5,  -0.9,  2.099E-01, -1.760E-05,  4.426E-04,  2.088E-01,  7.174E-05,  3.301E-03,  2.001E-01,  1.892E-05,  8.470E-03,  2.068E-01,  7.713E-05,  5.310E-03,  11.3, 0.000080
  25., 150.3, 141.6, 122.1, 111.0, 106.9, 100.5,  90.0,  77.5,  58.3,  40.1,  13.2,   8.4, 182.6, 181.8,  94.8,  41.7, 155.0, 126.9, 122.0,  43.00,   4.27,   5.03,   5.94,      0.8,     -0.6,  -1.3,  2.099E-01, -1.855E-06,  4.739E-04,  2.081E-01,  7.870E-05,  4.398E-03,  1.969E-01,  2.995E-05,  1.041E-02,  2.055E-01,  7.193E-05,  5.245E-03,  10.5, 0.000075
  30., 164.9, 157.9, 137.9, 125.2, 120.6, 114.8, 103.9,  89.9,  66.4,  46.0,  15.6,  10.0, 200.2, 184.2,  94.9,  50.6, 171.7, 140.7, 131.5,  54.10,   4.67,   5.70,   6.07,      0.8,     -0.6,  -1.7,  2.099E-01, -2.515E-05,  4.426E-04,  2.071E-01,  7.522E-05,  5.425E-03,  1.940E-01,  2.870E-05,  1.224E-02,  2.051E-01,  7.668E-05,  5.374E-03,  11.7, 0.000083
  35., 173.1, 167.1, 146.1, 135.7, 129.0, 124.3, 113.5,  99.1,  75.0,  53.8,  17.8,  11.2, 208.4, 195.4,  98.0,  56.5, 183.1, 149.9, 139.4,  44.38,   4.74,   5.60,   7.11,      0.9,     -0.5,  -2.1,  2.099E-01, -4.692E-06,  4.520E-04,  2.057E-01,  7.372E-05,  5.160E-03,  1.916E-01,  2.902E-05,  1.319E-02,  2.047E-01,  8.215E-05,  5.505E-03,  12.3, 0.000087
  40., 180.1, 175.6, 154.1, 144.6, 137.3, 132.7, 123.4, 109.1,  84.5,  59.7,  19.8,  12.4, 221.3, 206.1, 101.3,  61.7, 194.9, 169.7, 147.4,  40.56,   5.03,   7.20,   7.27,      0.9,     -0.6,  -2.6,  2.099E-01, -2.169E-05,  4.583E-04,  2.051E-01,  7.730E-05,  5.558E-03,  1.895E-01,  2.335E-05,  1.439E-02,  2.045E-01,  7.926E-05,  5.380E-03,  11.8, 0.000084
  45., 190.1, 186.2, 165.2, 155.5, 148.4, 142.2, 131.1, 116.0,  91.4,  66.1,  22.2,  13.6, 231.2, 236.7, 131.5,  67.4, 207.8, 185.0, 162.9,  48.09,   5.74,   7.77,   7.20,      1.0,     -0.6,  -3.0,  2.091E-01,  2.243E-06,  8.491E-04,  2.048E-01,  8.707E-05,  5.449E-03,  1.874E-01,  2.745E-05,  1.544E-02,  2.046E-01,  8.787E-05,  5.044E-03,  13.3, 0.000094
