Time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4,Upper Pressure,Lower Pressure,Fuel Mass,Upper O2,Upper CO,Upper CO2,Lower O2,Lower CO,Lower CO2,Adjusted Upper O2,Adjusted Upper CO,Adjusted Upper CO2,Adjusted Lower O2,Adjusted Lower CO,Adjusted Lower CO2,Adjusted Burning rate,Total Burning Rate
s,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,kW/m2,kW/m2,kW/m2,kW/m2,Pa,Pa,g,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,g/m^2-s,kg/s
   0.,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  -0.00,  -0.00,  -0.18,  -0.00,     -0.0,     -0.0,  45.6,  2.099E-01, -1.289E-05,  7.090E-05,  2.087E-01,  1.734E-04,  1.070E-03,  2.085E-01,  1.981E-04,  8.566E-04,  2.095E-01,  6.081E-05,  7.450E-05,   0.0, 0.000000
   5.,  12.7,  12.1,   8.8,   7.3,   7.0,   6.4,   5.2,   3.8,   3.1,   2.6,   1.5,   1.7,  18.5,   8.4,   2.2,   1.2,  18.6,  44.5,  88.4,  19.27,   0.40,   0.85,   2.95,      0.7,      0.1,  45.5,  2.100E-01, -1.406E-05,  8.966E-05,  2.088E-01,  1.823E-04,  1.083E-03,  2.075E-01,  1.846E-04,  1.630E-03,  2.093E-01,  4.434E-05,  2.932E-04,   5.6, 0.000040
  10.,  70.6,  59.8,  47.5,  37.9,  37.6,  34.5,  28.6,  23.1,  17.9,  13.5,   4.8,   4.2,  88.1,  39.1,  16.2,   5.2,  93.9, 193.5, 307.0,  26.51,   1.26,   2.57,   6.56,      1.1,     -0.1,  45.3,  2.100E-01, -1.383E-05,  8.087E-05,  2.088E-01,  1.846E-04,  1.084E-03,  2.046E-01,  2.009E-04,  4.030E-03,  2.084E-01,  7.586E-05,  1.585E-03,   7.8, 0.000055
  15., 136.0, 118.7,  94.1,  79.7,  80.7,  76.2,  71.9,  63.5,  54.4,  42.6,  11.4,   5.6, 163.1, 102.8,  43.2,  13.8, 146.7, 192.8, 266.6,  43.76,   2.26,   4.88,   6.20,      1.5,     -0.1,  45.0,  2.100E-01, -1.289E-05,  4.956E-05,  2.088E-01,  1.847E-04,  1.249E-03,  1.999E-01,  2.695E-04,  7.938E-03,  2.043E-01,  1.395E-04,  6.844E-03,   8.7, 0.000061
  20., 196.3, 181.1, 156.2, 137.5, 137.0, 131.1, 125.8, 113.9, 103.4,  86.5,  28.9,   6.8, 229.0, 196.9,  90.5,  30.1, 194.6, 198.4, 234.4,  47.84,   4.38,   7.81,   8.04,      1.4,     -0.5,  44.6,  2.100E-01, -1.414E-05, -2.246E-05,  2.088E-01,  1.993E-04,  2.585E-03,  1.937E-01,  3.725E-04,  1.225E-02,  1.964E-01,  1.336E-04,  1.585E-02,  11.4, 0.000081
  25., 246.1, 237.3, 212.9, 197.7, 197.1, 186.8, 177.6, 160.0, 143.6, 125.9,  47.6,   8.3, 293.9, 286.6, 180.1,  54.3, 237.0, 218.4, 224.8,  45.55,   6.50,  10.69,   8.88,      1.7,     -0.3,  44.2,  2.099E-01, -1.352E-05, -8.692E-06,  2.085E-01,  2.620E-04,  7.844E-03,  1.868E-01,  4.960E-04,  1.677E-02,  1.865E-01,  1.508E-04,  2.443E-02,  12.9, 0.000092
  30., 286.0, 281.0, 254.8, 244.1, 242.3, 231.5, 220.2, 197.9, 179.3, 159.6,  64.7,  13.6, 358.2, 367.9, 311.5,  84.1, 276.5, 241.1, 229.8,  48.55,   8.04,  14.47,  10.11,      1.5,     -0.7,  43.7,  2.101E-01, -1.226E-05,  7.963E-05,  2.071E-01,  3.590E-04,  1.685E-02,  1.794E-01,  6.003E-04,  2.171E-02,  1.765E-01,  2.703E-04,  3.177E-02,  12.6, 0.000089
  35., 303.3, 301.2, 277.3, 274.7, 270.7, 262.4, 250.6, 226.8, 207.1, 185.4,  74.7,  13.4, 371.2, 403.8, 392.7, 122.8, 301.1, 255.7, 237.4,  57.50,  11.56,  14.22,  10.69,      1.7,     -0.5,  43.2,  2.101E-01, -1.038E-05,  8.588E-05,  2.023E-01,  4.843E-04,  2.543E-02,  1.705E-01,  6.865E-04,  2.814E-02,  1.670E-01,  2.916E-04,  3.795E-02,  14.2, 0.000101
  40., 315.7, 314.7, 292.3, 290.9, 286.9, 282.0, 273.0, 250.1, 230.3, 207.1,  91.6,  16.3, 383.9, 435.5, 453.3, 161.3, 316.4, 269.8, 242.1,  46.56,  11.17,  16.08,  11.70,      1.9,     -0.4,  42.7,  2.097E-01, -1.257E-05,  7.964E-05,  1.937E-01,  5.917E-04,  3.277E-02,  1.610E-01,  7.468E-04,  3.451E-02,  1.588E-01,  2.929E-04,  4.265E-02,  15.2, 0.000108
