Time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4,Upper Pressure,Lower Pressure,Fuel Mass,Upper O2,Upper CO,Upper CO2,Lower O2,Lower CO,Lower CO2,Adjusted Upper O2,Adjusted Upper CO,Adjusted Upper CO2,Adjusted Lower O2,Adjusted Lower CO,Adjusted Lower CO2,Adjusted Burning rate,Total Burning Rate
s,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,kW/m2,kW/m2,kW/m2,kW/m2,Pa,Pa,g,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,g/m^2-s,kg/s
   0.,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.25,  -0.18,   0.00,  -0.32,      0.1,      0.1,  36.4,  2.096E-01,  1.534E-05,  1.178E-04,  2.095E-01,  8.220E-05,  1.033E-03,  2.071E-01,  2.082E-04,  3.482E-03,  2.094E-01,  7.000E-05,  1.925E-03,   0.0, 0.000000
   5.,  21.4,  11.2,   9.0,   7.5,   5.8,   3.8,   2.2,   1.7,   1.4,   1.4,   0.8,   1.8,  15.4,   5.4,   1.5,   1.0,  28.8,  96.2, 180.2,  12.40,   0.27,   0.71,   3.35,     10.0,      9.7,  36.9,  2.096E-01,  2.043E-05,  1.170E-04,  2.095E-01,  1.005E-04,  1.051E-03,  2.051E-01,  1.086E-04,  5.342E-03,  2.095E-01,  1.004E-04,  1.897E-03,   6.8, 0.000049
  10., 100.8,  62.1,  46.6,  43.5,  39.1,  30.1,  24.1,  18.8,  13.0,   8.7,   5.3,   7.9,  79.7,  32.6,  13.5,   3.9, 114.0, 249.4, 418.1,  13.74,   0.68,   2.21,   7.27,      6.0,      5.0,  36.5,  2.096E-01,  1.471E-05,  1.285E-04,  2.095E-01,  9.912E-05,  1.089E-03,  2.001E-01,  1.773E-04,  8.112E-03,  2.087E-01,  1.143E-04,  3.225E-03,  10.2, 0.000072
  15., 189.0, 144.9, 111.2, 105.6,  96.3,  78.7,  66.8,  54.7,  41.7,  29.8,  19.3,  24.6, 164.0,  79.3,  38.8,  11.3, 242.3, 416.6, 555.0,  16.44,   1.29,   3.92,  13.60,      4.8,      3.3,  36.0,  2.096E-01,  1.251E-05,  1.210E-04,  2.095E-01,  9.233E-05,  1.054E-03,  1.932E-01,  1.789E-04,  1.261E-02,  2.050E-01,  1.735E-04,  8.184E-03,  10.9, 0.000077
  20., 245.2, 222.5, 178.5, 165.1, 149.4, 129.1, 109.0,  90.6,  71.5,  53.9,  36.6,  39.4, 230.2, 126.3,  67.4,  24.4, 351.6, 535.7, 626.8,  17.10,   1.76,   5.03,  14.38,      2.3,      0.5,  35.6,  2.096E-01,  2.035E-05,  1.310E-04,  2.095E-01,  1.007E-04,  1.251E-03,  1.829E-01,  1.833E-04,  1.840E-02,  1.987E-01,  2.286E-04,  1.454E-02,   5.0, 0.000035
  25., 280.2, 279.6, 229.5, 209.5, 187.4, 164.6, 141.7, 119.1,  95.4,  74.4,  52.2,  45.0, 272.9, 162.7,  93.7,  38.0, 415.4, 582.4, 645.3,  16.79,   1.87,   5.53,  17.29,      1.3,     -0.6,  35.3,  2.096E-01,  2.004E-05,  1.335E-04,  2.094E-01,  1.257E-04,  3.975E-03,  1.714E-01,  2.022E-04,  2.533E-02,  1.911E-01,  2.979E-04,  2.106E-02,   9.5, 0.000068
  30., 302.2, 310.9, 262.1, 240.0, 210.8, 187.2, 161.7, 136.6, 111.1,  89.2,  64.8,  48.2, 306.0, 188.4, 113.1,  49.4, 450.2, 574.6, 648.7,  16.64,   2.12,   5.78,  17.83,      2.2,      0.3,  35.0,  2.096E-01,  1.941E-05,  1.341E-04,  2.077E-01,  1.925E-04,  9.859E-03,  1.581E-01,  2.885E-04,  3.323E-02,  1.807E-01,  3.656E-04,  2.894E-02,   8.6, 0.000061
  35., 313.1, 328.1, 278.0, 259.6, 228.6, 202.3, 175.7, 149.0, 121.9,  99.2,  74.8,  50.8, 328.9, 207.0, 127.6,  59.8, 501.8, 597.8, 646.1,  16.28,   2.19,   5.88,  20.68,      2.1,      0.2,  34.7,  2.097E-01,  2.349E-05,  1.147E-04,  2.027E-01,  2.491E-04,  1.625E-02,  1.486E-01,  3.477E-04,  4.154E-02,  1.676E-01,  4.436E-04,  3.722E-02,   8.7, 0.000062
  40., 341.2, 349.1, 294.1, 272.6, 238.3, 212.3, 184.2, 156.3, 129.3, 106.8,  82.3,  53.7, 353.3, 222.7, 138.6,  67.9, 521.6, 611.3, 627.0,  13.89,   2.40,   6.20,  18.87,      2.0,      0.1,  34.4,  2.097E-01,  1.408E-05,  1.266E-04,  1.959E-01,  3.158E-04,  2.319E-02,  1.411E-01,  3.528E-04,  4.722E-02,  1.546E-01,  4.863E-04,  4.417E-02,  10.0, 0.000071
