Time,"SmEx15","SmEx25","SmEx35","SmEx45","LgEx15","LgEx25","LgEx35","LgEx45","Pine15","Pine25","Pine35","Pine45"
s,C,C,C,C,C,C,C,C,C,C,C,C
0,62,27,25,9,98,47,33,22,87,47,27,18
100,62,27,25,9,98,47,33,22,87,47,27,18
