Code,Number,Material,DataFile,ResultDir,InputFileDir,ExpFileDir,ReferenceExposure,ReferenceTime,ReferenceHRRPUA,ValidationTimes,ValidationHrrpuaColumns,ValidationFluxes,Density,Conductivity,SpecificHeat,Emissivity,Thickness,IgnitionTemperature,IgnitionTemperatureBasis,HeaderRows,FYI
d,1,FSRI_Asphalt_Shingle,../../../exp/FSRI_Materials/FSRI_Asphalt_Shingle-25.csv|../../../exp/FSRI_Materials/FSRI_Asphalt_Shingle-50.csv|../../../exp/FSRI_Materials/FSRI_Asphalt_Shingle-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Asphalt_Shingle-50.csv-Time,FSRI_Asphalt_Shingle-50.csv-HRRPUA,FSRI_Asphalt_Shingle-25.csv-Time|FSRI_Asphalt_Shingle-50.csv-Time|FSRI_Asphalt_Shingle-75.csv-Time,FSRI_Asphalt_Shingle-25.csv-HRRPUA|FSRI_Asphalt_Shingle-50.csv-HRRPUA|FSRI_Asphalt_Shingle-75.csv-HRRPUA,25|50|75,1219.0,0.0820,1.0070,1.0000,0.00253000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Basswood_Panel,../../../exp/FSRI_Materials/FSRI_Basswood_Panel-25.csv|../../../exp/FSRI_Materials/FSRI_Basswood_Panel-50.csv|../../../exp/FSRI_Materials/FSRI_Basswood_Panel-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Basswood_Panel-50.csv-Time,FSRI_Basswood_Panel-50.csv-HRRPUA,FSRI_Basswood_Panel-25.csv-Time|FSRI_Basswood_Panel-50.csv-Time|FSRI_Basswood_Panel-75.csv-Time,FSRI_Basswood_Panel-25.csv-HRRPUA|FSRI_Basswood_Panel-50.csv-HRRPUA|FSRI_Basswood_Panel-75.csv-HRRPUA,25|50|75,404.0,0.1010,1.5530,1.0000,0.01907500,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Black_PMMA,../../../exp/FSRI_Materials/FSRI_Black_PMMA-25.csv|../../../exp/FSRI_Materials/FSRI_Black_PMMA-50.csv|../../../exp/FSRI_Materials/FSRI_Black_PMMA-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Black_PMMA-50.csv-Time,FSRI_Black_PMMA-50.csv-HRRPUA,FSRI_Black_PMMA-25.csv-Time|FSRI_Black_PMMA-50.csv-Time|FSRI_Black_PMMA-75.csv-Time,FSRI_Black_PMMA-25.csv-HRRPUA|FSRI_Black_PMMA-50.csv-HRRPUA|FSRI_Black_PMMA-75.csv-HRRPUA,25|50|75,1182.0,0.1550,1.4780,1.0000,0.00836000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Composite_Deck_Board,../../../exp/FSRI_Materials/FSRI_Composite_Deck_Board-25.csv|../../../exp/FSRI_Materials/FSRI_Composite_Deck_Board-50.csv|../../../exp/FSRI_Materials/FSRI_Composite_Deck_Board-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Composite_Deck_Board-50.csv-Time,FSRI_Composite_Deck_Board-50.csv-HRRPUA,FSRI_Composite_Deck_Board-25.csv-Time|FSRI_Composite_Deck_Board-50.csv-Time|FSRI_Composite_Deck_Board-75.csv-Time,FSRI_Composite_Deck_Board-25.csv-HRRPUA|FSRI_Composite_Deck_Board-50.csv-HRRPUA|FSRI_Composite_Deck_Board-75.csv-HRRPUA,25|50|75,1103.0,0.2330,1.5650,1.0000,0.01311000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Cotton_Raw,../../../exp/FSRI_Materials/FSRI_Cotton_Raw-25.csv|../../../exp/FSRI_Materials/FSRI_Cotton_Raw-35.csv|../../../exp/FSRI_Materials/FSRI_Cotton_Raw-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,35,FSRI_Cotton_Raw-35.csv-Time,FSRI_Cotton_Raw-35.csv-HRRPUA,FSRI_Cotton_Raw-25.csv-Time|FSRI_Cotton_Raw-35.csv-Time|FSRI_Cotton_Raw-75.csv-Time,FSRI_Cotton_Raw-25.csv-HRRPUA|FSRI_Cotton_Raw-35.csv-HRRPUA|FSRI_Cotton_Raw-75.csv-HRRPUA,25|35|75,30.7,0.2000,1.0000,1.0000,0.02381710,Calculate,25|35|75,1|1|1,FSRI_materials
d,1,FSRI_Cotton_Rug,../../../exp/FSRI_Materials/FSRI_Cotton_Rug-25.csv|../../../exp/FSRI_Materials/FSRI_Cotton_Rug-50.csv|../../../exp/FSRI_Materials/FSRI_Cotton_Rug-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Cotton_Rug-50.csv-Time,FSRI_Cotton_Rug-50.csv-HRRPUA,FSRI_Cotton_Rug-25.csv-Time|FSRI_Cotton_Rug-50.csv-Time|FSRI_Cotton_Rug-75.csv-Time,FSRI_Cotton_Rug-25.csv-HRRPUA|FSRI_Cotton_Rug-50.csv-HRRPUA|FSRI_Cotton_Rug-75.csv-HRRPUA,25|50|75,263.0,0.0710,1.5640,1.0000,0.00532000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Engineered_Flooring,../../../exp/FSRI_Materials/FSRI_Engineered_Flooring-25.csv|../../../exp/FSRI_Materials/FSRI_Engineered_Flooring-50.csv|../../../exp/FSRI_Materials/FSRI_Engineered_Flooring-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Engineered_Flooring-50.csv-Time,FSRI_Engineered_Flooring-50.csv-HRRPUA,FSRI_Engineered_Flooring-25.csv-Time|FSRI_Engineered_Flooring-50.csv-Time|FSRI_Engineered_Flooring-75.csv-Time,FSRI_Engineered_Flooring-25.csv-HRRPUA|FSRI_Engineered_Flooring-50.csv-HRRPUA|FSRI_Engineered_Flooring-75.csv-HRRPUA,25|50|75,815.0,0.1340,1.6040,1.0000,0.00865000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Engineered_Wood_Furniture,../../../exp/FSRI_Materials/FSRI_Engineered_Wood_Furniture-25.csv|../../../exp/FSRI_Materials/FSRI_Engineered_Wood_Furniture-50.csv|../../../exp/FSRI_Materials/FSRI_Engineered_Wood_Furniture-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Engineered_Wood_Furniture-50.csv-Time,FSRI_Engineered_Wood_Furniture-50.csv-HRRPUA,FSRI_Engineered_Wood_Furniture-25.csv-Time|FSRI_Engineered_Wood_Furniture-50.csv-Time|FSRI_Engineered_Wood_Furniture-75.csv-Time,FSRI_Engineered_Wood_Furniture-25.csv-HRRPUA|FSRI_Engineered_Wood_Furniture-50.csv-HRRPUA|FSRI_Engineered_Wood_Furniture-75.csv-HRRPUA,25|50|75,803.4,0.2000,1.0000,1.0000,0.01374000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_EPDM_Membrane,../../../exp/FSRI_Materials/FSRI_EPDM_Membrane-25.csv|../../../exp/FSRI_Materials/FSRI_EPDM_Membrane-35.csv|../../../exp/FSRI_Materials/FSRI_EPDM_Membrane-50.csv|../../../exp/FSRI_Materials/FSRI_EPDM_Membrane-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_EPDM_Membrane-50.csv-Time,FSRI_EPDM_Membrane-50.csv-HRRPUA,FSRI_EPDM_Membrane-25.csv-Time|FSRI_EPDM_Membrane-35.csv-Time|FSRI_EPDM_Membrane-50.csv-Time|FSRI_EPDM_Membrane-75.csv-Time,FSRI_EPDM_Membrane-25.csv-HRRPUA|FSRI_EPDM_Membrane-35.csv-HRRPUA|FSRI_EPDM_Membrane-50.csv-HRRPUA|FSRI_EPDM_Membrane-75.csv-HRRPUA,25|35|50|75,1200.3,0.1440,1.4590,1.0000,0.00645934,Calculate,25|35|50|75,1|1|1|1,FSRI_materials
d,1,FSRI_Eucalyptus_Flooring,../../../exp/FSRI_Materials/FSRI_Eucalyptus_Flooring-25.csv|../../../exp/FSRI_Materials/FSRI_Eucalyptus_Flooring-50.csv|../../../exp/FSRI_Materials/FSRI_Eucalyptus_Flooring-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Eucalyptus_Flooring-50.csv-Time,FSRI_Eucalyptus_Flooring-50.csv-HRRPUA,FSRI_Eucalyptus_Flooring-25.csv-Time|FSRI_Eucalyptus_Flooring-50.csv-Time|FSRI_Eucalyptus_Flooring-75.csv-Time,FSRI_Eucalyptus_Flooring-25.csv-HRRPUA|FSRI_Eucalyptus_Flooring-50.csv-HRRPUA|FSRI_Eucalyptus_Flooring-75.csv-HRRPUA,25|50|75,1025.0,0.1820,1.6730,1.0000,0.01415000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_FDNY_LDF,../../../exp/FSRI_Materials/FSRI_FDNY_LDF-25.csv|../../../exp/FSRI_Materials/FSRI_FDNY_LDF-50.csv|../../../exp/FSRI_Materials/FSRI_FDNY_LDF-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_FDNY_LDF-50.csv-Time,FSRI_FDNY_LDF-50.csv-HRRPUA,FSRI_FDNY_LDF-25.csv-Time|FSRI_FDNY_LDF-50.csv-Time|FSRI_FDNY_LDF-75.csv-Time,FSRI_FDNY_LDF-25.csv-HRRPUA|FSRI_FDNY_LDF-50.csv-HRRPUA|FSRI_FDNY_LDF-75.csv-HRRPUA,25|50|75,223.6,0.2000,1.0000,1.0000,0.01207000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_FRP_Panel,../../../exp/FSRI_Materials/FSRI_FRP_Panel-25.csv|../../../exp/FSRI_Materials/FSRI_FRP_Panel-50.csv|../../../exp/FSRI_Materials/FSRI_FRP_Panel-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_FRP_Panel-50.csv-Time,FSRI_FRP_Panel-50.csv-HRRPUA,FSRI_FRP_Panel-25.csv-Time|FSRI_FRP_Panel-50.csv-Time|FSRI_FRP_Panel-75.csv-Time,FSRI_FRP_Panel-25.csv-HRRPUA|FSRI_FRP_Panel-50.csv-HRRPUA|FSRI_FRP_Panel-75.csv-HRRPUA,25|50|75,1555.2,0.2000,1.0000,1.0000,0.00202000,Calculate,25|50|75,1|1|1,FSRI_materials
