Time,HRRPUA
0.0,1.3
15.0,1.7
30.0,1.4
45.0,0.4
60.0,1.4
75.0,0.7
90.0,1.0
105.0,10.2
120.0,10.3
135.0,6.5
150.0,3.2
165.0,0.9
180.0,0.0
195.0,1.1
210.0,1.2
225.0,1.0
240.0,0.8
255.0,0.6
270.0,2.2
285.0,1.3
300.0,0.1
315.0,2.7
330.0,2.2
345.0,2.1
360.0,0.9
375.0,0.9
390.0,1.8
405.0,1.6
420.0,0.6
435.0,0.4
450.0,1.0
465.0,1.9
480.0,1.1
495.0,2.9
510.0,3.1
525.0,3.9
540.0,4.6
555.0,4.0
570.0,7.7
585.0,11.4
600.0,18.6
615.0,25.5
630.0,32.5
645.0,38.1
660.0,40.4
675.0,49.3
690.0,57.0
705.0,64.1
720.0,69.4
735.0,73.9
750.0,74.2
765.0,72.3
780.0,70.2
795.0,66.5
810.0,63.4
825.0,60.1
840.0,55.9
855.0,54.3
870.0,50.8
885.0,49.1
900.0,47.1
915.0,46.4
930.0,45.8
945.0,44.7
960.0,44.4
975.0,44.7
990.0,44.2
1005.0,43.5
1020.0,43.3
1035.0,43.3
1050.0,43.9
1065.0,44.3
1080.0,44.8
1095.0,44.1
1110.0,45.2
1125.0,45.2
1140.0,45.1
1155.0,46.3
1170.0,45.8
1185.0,44.9
1200.0,45.9
1215.0,46.4
1230.0,46.9
1245.0,46.3
1260.0,46.4
1275.0,46.9
1290.0,46.9
1305.0,46.3
1320.0,45.8
1335.0,45.9
1350.0,45.5
1365.0,45.8
1380.0,45.7
1395.0,45.1
1410.0,44.4
1425.0,44.4
1440.0,44.2
1455.0,43.5
1470.0,43.1
1485.0,43.1
1500.0,42.7
1515.0,41.9
1530.0,41.6
1545.0,41.4
1560.0,41.7
1575.0,42.4
1590.0,42.2
1605.0,41.5
1620.0,41.1
1635.0,41.5
1650.0,41.2
1665.0,40.8
1680.0,40.6
1695.0,40.2
1710.0,40.2
1725.0,40.2
1740.0,39.4
1755.0,39.8
1770.0,40.2
1785.0,40.3
1800.0,38.8
1815.0,38.5
1830.0,38.9
1845.0,37.8
1860.0,37.5
1875.0,36.9
1890.0,36.4
1905.0,36.5
1920.0,35.7
1935.0,34.2
1950.0,34.0
1965.0,33.6
1980.0,32.8
1995.0,32.8
2010.0,32.9
2025.0,31.8
2040.0,30.0
2055.0,30.4
2070.0,30.3
2085.0,29.7
2100.0,29.1
2115.0,29.4
2130.0,28.0
2145.0,26.8
2160.0,26.6
2175.0,26.8
2190.0,26.2
2205.0,25.9
2220.0,26.7
2235.0,25.7
2250.0,25.3
2265.0,25.9
2280.0,25.8
2295.0,25.2
2310.0,24.7
2325.0,26.5
2340.0,28.0
2355.0,27.6
2370.0,28.9
2385.0,29.1
2400.0,28.4
2415.0,28.1
2430.0,28.2
2445.0,29.2
2460.0,28.6
2475.0,29.1
2490.0,28.3
2505.0,29.9
2520.0,29.5
2535.0,29.6
2550.0,30.2
2565.0,30.3
2580.0,29.3
2595.0,29.3
2610.0,30.1
2625.0,29.7
2640.0,30.0
2655.0,30.7
2670.0,30.5
2685.0,30.9
2700.0,32.3
2715.0,32.5
2730.0,32.4
2745.0,30.7
2760.0,31.7
2775.0,33.0
2790.0,32.4
2805.0,34.2
2820.0,34.9
2835.0,35.0
2850.0,35.8
2865.0,37.6
2880.0,38.0
2895.0,39.3
2910.0,39.6
2925.0,41.3
2940.0,42.4
2955.0,44.4
2970.0,45.7
2985.0,46.9
3000.0,47.2
3015.0,48.6
3030.0,49.5
3045.0,50.4
3060.0,51.1
3075.0,53.6
3090.0,55.4
3105.0,56.4
3120.0,57.4
3135.0,57.4
3150.0,58.3
3165.0,59.1
3180.0,60.6
3195.0,62.2
3210.0,62.5
3225.0,63.6
3240.0,65.7
3255.0,67.4
3270.0,68.1
3285.0,70.6
3300.0,71.4
3315.0,72.9
3330.0,73.2
3345.0,73.3
3360.0,74.1
3375.0,76.0
3390.0,75.4
3405.0,75.8
3420.0,77.2
3435.0,76.1
3450.0,76.6
3465.0,77.3
3480.0,76.1
3495.0,75.9
3510.0,75.3
3525.0,76.0
3540.0,76.8
3555.0,76.5
3570.0,76.4
3585.0,77.3
3600.0,76.3
3615.0,76.0
3630.0,76.1
3645.0,75.3
3660.0,74.9
3675.0,74.5
3690.0,73.5
3705.0,73.1
3720.0,
3735.0,
3750.0,
3765.0,
3780.0,
3795.0,
3810.0,
3825.0,
3840.0,
3855.0,
3870.0,
3885.0,
3900.0,
3915.0,
3930.0,
3945.0,
3960.0,
3975.0,
3990.0,
4005.0,
4020.0,
4035.0,
4050.0,
4065.0,
4080.0,
4095.0,
4110.0,
4125.0,
4140.0,
4155.0,
4170.0,
4185.0,
4200.0,
4215.0,
4230.0,
4245.0,
4260.0,
4275.0,
4290.0,
4305.0,
4320.0,
4335.0,
4350.0,
4365.0,
4380.0,
4395.0,
4410.0,
4425.0,
4440.0,
4455.0,
4470.0,
4485.0,
4500.0,
4515.0,
4530.0,
4545.0,
4560.0,
4575.0,
4590.0,
4605.0,
4620.0,
4635.0,
4650.0,
4665.0,
4680.0,
4695.0,
4710.0,
4725.0,
4740.0,
4755.0,
4770.0,
4785.0,
4800.0,
4815.0,
4830.0,
4845.0,
4860.0,
4875.0,
4890.0,
4905.0,
4920.0,
4935.0,
4950.0,
4965.0,
4980.0,
4995.0,
5010.0,
5025.0,
5040.0,
5055.0,
5070.0,
5085.0,
5100.0,
5115.0,
5130.0,
5145.0,
5160.0,
5175.0,
5190.0,
5205.0,
5220.0,
5235.0,
5250.0,
5265.0,
5280.0,
5295.0,
5310.0,
5325.0,
5340.0,
5355.0,
5370.0,
5385.0,
5400.0,
5415.0,
5430.0,
5445.0,
5460.0,
5475.0,
5490.0,
5505.0,
5520.0,
5535.0,
5550.0,
5565.0,
5580.0,
5595.0,
5610.0,
5625.0,
5640.0,
5655.0,
5670.0,
5685.0,
5700.0,
5715.0,
5730.0,
5745.0,
5760.0,
5775.0,
5790.0,
5805.0,
5820.0,
5835.0,
5850.0,
5865.0,
5880.0,
5895.0,
5910.0,
5925.0,
5940.0,
5955.0,
5970.0,
5985.0,
6000.0,
6015.0,
6030.0,
6045.0,
6060.0,
6075.0,
6090.0,
6105.0,
6120.0,
6135.0,
6150.0,
6165.0,
6180.0,
