Time,HRRPUA
0.0,0.0
731.7,0.0
813.0,78.4
828.0,135.5
843.0,159.2
858.0,143.8
873.0,135.8
888.0,130.4
903.0,128.4
918.0,124.2
933.0,119.6
948.0,114.2
963.0,111.3
978.0,112.3
993.0,114.9
1008.0,118.9
1023.0,121.9
1038.0,125.0
1053.0,127.0
1068.0,125.8
1083.0,123.6
1098.0,118.7
1113.0,113.1
1128.0,106.9
1143.0,99.0
1158.0,92.0
1173.0,83.4
1188.0,76.0
1203.0,68.8
1218.0,62.4
1233.0,55.3
1248.0,48.5
1263.0,42.2
1278.0,38.7
1293.0,34.6
1308.0,29.5
1323.0,30.6
1338.0,32.3
1353.0,34.1
1368.0,34.1
1383.0,34.0
1398.0,34.2
1413.0,34.0
1428.0,33.9
1443.0,33.7
1458.0,33.4
1473.0,34.6
1488.0,37.7
1503.0,40.7
1518.0,42.0
1533.0,42.0
1548.0,42.0
1563.0,42.0
1578.0,42.0
1593.0,42.0
1608.0,42.0
1623.0,42.0
1638.0,42.0
1653.0,42.0
1668.0,42.0
1683.0,42.0
1698.0,42.0
1713.0,42.0
1728.0,41.3
1743.0,36.5
1758.0,35.5
1773.0,35.5
1788.0,35.5
1803.0,35.5
1818.0,35.5
1833.0,35.5
1848.0,35.5
1863.0,35.5
1878.0,35.5
1893.0,35.5
1908.0,35.5
1923.0,35.5
1938.0,35.5
1953.0,35.5
1968.0,35.5
1983.0,29.9
1998.0,24.3
2013.0,24.3
2028.0,24.3
2043.0,24.3
2058.0,24.3
2073.0,24.3
2088.0,24.3
2103.0,24.3
2118.0,24.3
2133.0,24.3
2148.0,24.3
2163.0,24.3
2178.0,24.3
2193.0,24.3
2208.0,24.3
2223.0,24.3
2238.0,24.3
2253.0,24.3
2268.0,24.3
2283.0,24.3
2298.0,24.3
2313.0,24.3
2328.0,24.3
2343.0,24.3
2358.0,24.3
2373.0,24.3
2388.0,24.3
2403.0,24.3
2418.0,24.3
2433.0,24.3
2448.0,24.3
2463.0,24.3
2478.0,24.3
2493.0,24.3
2508.0,24.3
2523.0,24.3
2538.0,24.3
2553.0,24.3
2568.0,24.3
