Time,HRRPUA
0.0,0.0
35.1,0.0
39.0,114.4
54.0,209.7
69.0,255.4
84.0,244.1
99.0,225.6
114.0,207.3
129.0,189.9
144.0,177.3
159.0,167.6
174.0,159.6
189.0,152.5
204.0,146.5
219.0,141.6
234.0,138.1
249.0,136.2
264.0,135.2
279.0,135.6
294.0,138.2
309.0,143.4
324.0,150.7
339.0,160.3
354.0,172.0
369.0,186.5
384.0,202.5
399.0,219.5
414.0,233.7
429.0,243.9
444.0,249.2
459.0,247.5
474.0,236.1
489.0,211.2
504.0,168.8
519.0,116.9
534.0,74.5
549.0,53.1
564.0,46.3
579.0,43.8
594.0,42.2
609.0,40.8
624.0,39.8
639.0,38.9
654.0,38.2
669.0,37.6
684.0,37.1
699.0,36.8
714.0,36.6
729.0,36.5
744.0,36.5
759.0,36.4
774.0,36.1
789.0,36.0
804.0,33.6
819.0,27.3
834.0,26.7
849.0,19.9
864.0,18.1
879.0,18.1
