Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
s,kW,kW,m/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.,0.0,0.0,0.10,14.0,14.0,15.0,13.0,14.0,13.0,14.0,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,13.0
10.,0.0,0.0,0.02,14.0,14.0,14.2,13.0,14.0,13.2,14.0,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,13.0
20.,0.0,0.0,-0.04,14.0,14.0,14.0,13.0,14.0,13.3,14.0,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,13.0
30.,0.0,0.0,-0.04,14.0,14.0,14.0,13.0,14.0,13.0,14.0,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,13.0
40.,0.0,0.0,-0.02,14.0,14.0,14.0,13.0,14.0,13.1,14.0,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,13.0
50.,0.0,0.0,-0.07,14.0,14.0,14.0,13.0,14.0,13.1,14.0,13.0,13.0,13.0,12.0,12.8,14.0,14.0,14.0,13.0
60.,0.0,0.0,-0.02,14.0,14.0,14.0,13.0,14.0,13.1,13.7,13.0,13.0,13.0,12.0,12.8,14.0,14.0,14.0,13.0
70.,0.0,0.0,-0.03,14.0,14.0,14.0,13.0,14.0,13.0,13.9,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,13.0
80.,0.0,0.0,-0.02,14.0,14.0,14.0,13.0,14.0,13.0,13.8,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,13.0
90.,0.0,0.0,0.07,14.0,14.0,14.0,13.0,14.0,13.0,14.0,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,13.0
100.,0.0,0.0,0.01,14.7,14.0,14.0,13.1,14.0,13.3,13.9,13.0,13.0,13.0,12.0,12.9,14.0,14.0,14.0,13.0
110.,0.0,0.0,0.47,15.0,14.8,14.4,13.0,14.0,13.3,14.0,13.0,13.0,13.0,12.1,12.7,14.2,14.0,14.0,13.1
120.,0.0,0.0,1.26,15.0,15.0,14.2,13.0,14.0,13.5,13.9,13.2,13.0,13.0,12.0,12.8,14.1,14.0,14.0,13.1
130.,0.0,0.0,1.24,15.0,14.7,14.0,13.3,14.0,13.4,13.7,13.1,13.0,13.0,12.0,12.4,14.1,14.0,14.0,13.1
140.,0.0,0.0,1.22,15.0,14.6,14.0,13.0,14.0,13.3,13.9,13.1,13.0,13.0,12.0,12.5,14.0,14.0,14.0,13.0
150.,0.0,0.0,1.35,15.0,14.7,14.0,13.0,14.0,13.4,14.0,13.1,13.0,13.0,12.0,12.0,14.0,14.0,14.0,13.0
160.,0.0,0.0,1.32,15.0,14.5,14.0,13.0,14.0,13.5,13.8,13.1,13.0,13.0,12.0,12.6,14.0,14.0,14.0,13.0
170.,0.0,0.0,1.48,15.0,14.6,14.0,13.0,14.0,13.2,13.8,13.0,13.0,13.0,12.0,12.6,14.0,14.0,14.0,13.1
180.,0.0,0.0,1.41,14.8,14.1,14.0,13.0,14.0,13.4,13.6,13.0,13.0,13.0,12.0,12.5,14.1,14.0,14.0,13.0
190.,0.0,0.0,1.36,14.8,14.3,14.0,13.0,14.0,13.3,13.3,13.0,13.0,13.0,12.0,12.4,14.0,14.0,14.0,13.1
200.,0.0,0.0,1.38,14.9,14.3,14.1,13.0,14.0,13.2,13.6,13.0,13.0,13.0,12.0,12.3,14.0,14.0,14.0,13.1
210.,0.0,0.0,1.25,14.9,14.4,14.0,13.0,14.0,13.3,13.8,13.0,13.0,13.0,12.0,12.4,14.0,14.0,14.0,13.0
220.,0.0,0.0,1.22,14.7,14.0,14.0,13.1,13.9,13.1,13.6,13.0,13.0,13.0,12.0,12.4,14.0,14.0,14.0,13.0
230.,0.0,0.0,1.53,14.9,14.2,14.1,13.0,14.0,13.2,13.7,13.1,13.0,13.0,12.0,12.7,14.0,14.0,13.9,13.0
240.,17.6,0.0,1.44,14.9,14.4,14.0,13.0,14.0,13.6,14.0,13.0,13.0,13.0,12.0,12.9,14.0,14.0,14.0,13.0
250.,174.1,0.0,1.44,15.0,14.7,14.3,13.6,14.1,14.0,14.0,13.9,13.5,13.3,13.2,19.3,24.9,16.9,15.7,14.2
260.,209.2,0.0,1.40,15.5,15.3,15.1,14.0,15.2,14.9,15.4,16.1,16.0,19.2,50.5,72.9,86.6,48.4,41.0,32.2
270.,346.6,0.0,1.40,16.2,16.2,16.4,15.4,18.6,24.2,32.9,34.9,43.2,58.6,67.0,230.5,194.3,101.5,78.2,56.8
280.,362.2,0.0,1.38,21.7,26.8,33.3,40.4,55.6,76.2,100.1,93.1,113.3,75.3,82.4,382.7,289.8,159.0,124.8,88.0
290.,449.0,0.0,1.61,43.4,55.0,65.1,67.4,97.9,125.1,150.2,150.1,218.8,111.3,222.1,467.7,372.0,207.6,166.8,123.7
300.,498.0,0.0,1.74,61.0,76.4,91.2,88.1,131.7,163.4,197.5,208.3,292.1,318.2,328.5,513.7,423.9,246.4,207.3,164.1
310.,518.1,0.0,1.88,80.1,98.4,116.5,104.3,160.2,189.9,225.2,244.0,324.6,389.6,347.4,536.0,464.4,284.9,243.0,198.0
320.,606.1,0.0,1.86,85.3,102.6,123.6,110.9,171.8,201.4,238.2,269.7,345.0,434.2,383.0,574.3,506.3,304.3,264.7,215.8
330.,592.0,0.0,1.93,95.9,114.3,134.9,114.6,184.2,208.7,248.3,288.9,358.4,449.9,384.3,593.9,520.1,324.3,285.4,245.1
340.,752.4,0.0,2.00,103.0,121.8,144.8,119.7,194.9,214.4,251.9,298.5,366.3,449.8,396.8,610.4,561.1,346.3,305.8,266.3
350.,708.6,0.0,1.79,101.6,116.8,133.4,106.0,176.0,191.5,225.5,274.6,296.2,347.0,214.1,507.4,548.7,351.1,313.9,272.5
360.,754.4,0.0,1.50,77.2,87.9,97.4,73.8,130.6,138.8,161.3,207.1,113.3,102.1,52.8,297.3,519.3,324.5,290.6,255.9
370.,662.5,0.0,1.44,52.2,61.7,66.5,51.8,93.1,104.4,122.7,156.1,54.3,64.1,53.2,81.0,507.5,307.0,271.4,238.4
380.,887.5,0.0,1.28,38.9,46.2,48.6,38.9,72.4,89.1,108.6,124.2,52.2,67.6,54.7,72.3,512.0,305.2,267.1,237.1
390.,784.4,0.0,1.24,32.1,37.3,39.0,32.9,57.0,85.6,103.3,91.4,53.7,63.4,54.6,72.4,527.9,311.9,273.6,238.9
400.,910.2,0.0,1.18,27.8,31.9,33.0,29.0,47.8,83.3,99.4,80.4,61.3,66.3,54.7,78.2,540.5,324.1,283.4,248.6
410.,855.7,0.0,1.43,25.6,29.0,29.9,26.9,40.9,74.3,90.2,63.8,52.1,62.5,52.0,93.3,544.9,333.2,289.7,254.1
420.,812.8,0.0,1.22,24.1,27.3,28.3,25.7,35.2,62.0,82.1,60.0,50.0,64.9,52.8,129.8,543.1,330.8,290.5,254.9
430.,722.0,0.0,1.26,23.5,26.1,26.9,25.0,32.0,53.1,82.9,56.6,53.2,63.7,51.8,194.7,527.7,323.6,287.7,251.7
440.,777.5,0.0,1.03,27.1,31.1,34.5,34.7,48.1,76.3,124.9,76.9,67.0,69.6,52.3,245.6,488.9,307.5,273.4,238.2
