Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
s,kW,kW,m/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.,0.0,0.0,-0.12,15.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0
10.,0.0,0.2,0.04,15.0,15.0,16.0,15.2,15.0,15.0,15.0,14.0,16.0,15.0,15.0,14.0,14.0,14.0,13.9,13.0
20.,0.0,0.3,-0.00,15.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0
30.,0.0,0.8,-0.04,15.0,15.0,16.0,15.1,15.0,15.0,15.0,14.0,16.0,15.7,15.0,14.0,14.0,14.0,14.0,13.0
40.,0.0,0.6,0.05,15.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,16.0,16.0,15.0,13.8,14.0,14.0,14.0,13.0
50.,0.0,0.9,0.13,15.1,15.0,16.0,15.3,15.0,15.0,15.0,14.1,16.0,16.0,15.0,13.5,14.0,14.0,13.7,13.0
60.,0.0,1.0,-0.12,15.0,15.0,16.0,15.2,15.0,15.0,15.0,14.2,16.0,16.0,15.0,13.0,14.0,13.8,13.0,13.0
70.,0.0,1.0,0.10,15.0,15.0,16.0,15.1,15.0,15.0,15.0,14.2,16.0,16.0,15.0,13.0,14.0,13.0,13.0,12.0
80.,0.0,0.4,0.14,15.0,15.0,16.0,15.1,15.0,15.0,15.0,14.0,16.0,15.9,15.0,13.0,14.0,12.9,12.3,12.0
90.,0.0,0.6,0.15,15.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,13.0,14.0,13.0,12.4,12.0
100.,0.0,0.4,0.20,14.9,15.0,16.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,13.0,14.0,13.0,13.0,12.0
110.,0.0,0.2,0.18,14.0,15.0,16.0,15.2,15.0,15.0,15.0,14.0,16.0,15.0,15.0,13.0,14.0,13.0,13.0,12.0
120.,0.0,0.1,0.16,14.3,15.0,16.0,15.1,15.0,15.0,15.0,14.0,16.0,15.0,15.0,13.0,14.0,13.0,13.0,12.0
130.,0.0,0.9,0.24,15.4,15.6,16.0,15.2,15.1,15.0,15.0,14.1,16.0,15.4,15.0,13.0,14.0,13.0,13.0,12.0
140.,0.0,12.5,1.69,16.0,16.0,16.1,15.3,15.1,15.0,15.0,14.2,16.0,15.3,15.0,13.8,14.3,13.0,13.3,12.3
150.,0.0,14.4,2.42,16.2,16.0,16.0,15.1,15.4,15.0,15.0,14.5,16.0,15.9,15.0,14.7,15.1,14.0,14.0,13.0
160.,0.0,12.5,2.38,16.4,16.0,16.1,15.1,15.5,15.0,15.0,15.0,16.0,16.0,15.0,15.0,15.2,14.7,14.9,14.0
170.,0.0,9.7,2.24,16.3,16.0,16.1,15.0,15.4,15.0,15.0,14.9,16.0,16.0,15.0,15.1,15.4,15.0,15.0,14.0
180.,0.0,10.0,2.32,16.2,16.0,15.9,15.0,15.3,15.0,15.0,14.6,15.9,15.7,14.9,15.0,15.6,15.0,14.9,14.0
190.,0.0,9.3,2.36,16.0,16.0,15.9,15.0,15.3,15.0,15.0,14.7,15.8,15.6,14.9,15.1,15.5,15.0,14.9,14.0
200.,0.0,8.8,2.21,16.1,16.0,15.8,15.0,15.0,14.5,14.7,14.0,15.9,15.5,15.0,15.0,15.2,14.9,14.9,14.2
210.,0.0,8.6,2.44,16.0,15.8,15.7,14.6,14.7,14.2,14.1,14.0,15.5,15.2,14.3,15.0,15.1,14.7,15.0,14.0
220.,0.0,8.9,2.45,16.0,15.6,15.7,14.8,15.0,14.7,14.5,14.1,15.6,15.3,14.3,15.0,15.2,14.9,14.9,14.0
230.,0.0,8.4,2.40,16.0,15.3,15.4,14.4,15.0,14.2,14.1,14.0,15.7,15.1,14.1,14.7,15.0,15.0,14.8,14.0
240.,0.0,7.7,2.30,15.8,15.2,15.4,14.3,14.5,14.0,14.0,14.0,15.3,15.1,14.1,14.7,15.1,14.6,14.5,14.0
250.,0.0,6.7,2.37,16.0,15.5,15.7,14.6,14.8,14.0,14.5,14.0,15.5,15.3,14.1,15.0,15.2,14.7,14.6,14.0
260.,0.0,6.1,2.44,16.0,16.0,16.0,14.9,15.0,15.0,14.9,14.4,16.0,15.9,14.6,15.1,15.2,15.1,15.0,14.0
270.,0.0,5.6,2.58,16.2,15.9,16.0,15.0,15.3,15.0,15.0,14.9,16.1,16.0,14.9,15.3,15.7,15.2,15.2,14.4
280.,0.0,0.5,2.43,16.1,16.0,16.0,15.0,15.8,15.0,15.0,15.0,16.1,16.2,15.0,15.8,15.9,15.7,15.4,15.0
290.,0.0,2.2,1.89,16.1,16.0,16.3,15.3,16.2,15.0,15.1,15.0,16.4,16.8,15.0,16.0,16.1,15.4,15.6,15.0
300.,0.0,3.0,2.46,16.9,16.1,16.7,15.6,16.2,15.5,15.5,15.2,16.6,16.7,15.0,16.1,16.2,16.0,15.9,15.0
310.,0.0,1.4,2.46,17.0,16.8,16.6,15.7,16.2,15.8,16.0,16.0,16.7,17.0,15.6,16.5,17.4,17.2,16.8,15.5
320.,0.0,2.7,2.47,17.0,16.9,17.0,16.0,16.8,16.3,16.5,16.7,18.6,19.3,19.2,20.0,50.7,29.5,28.5,23.4
330.,0.0,120.8,2.48,17.5,17.1,17.4,16.2,17.6,17.3,17.7,18.7,21.3,23.1,26.2,26.6,111.1,51.1,53.3,43.8
340.,0.0,297.1,2.34,17.9,18.0,18.1,16.9,18.2,18.2,18.8,20.2,23.1,25.5,31.9,31.4,146.9,76.4,78.4,66.6
350.,0.0,404.4,2.35,18.1,18.2,18.7,17.2,18.9,19.0,19.7,21.9,25.6,29.6,41.5,42.4,198.4,102.0,104.5,92.2
360.,0.0,549.4,2.34,18.8,18.8,19.4,17.4,19.5,19.8,20.7,23.6,28.0,32.5,47.7,49.1,229.2,126.5,129.5,118.8
370.,0.0,689.0,2.31,19.1,19.2,19.9,17.9,20.0,20.2,21.7,24.8,29.2,34.3,53.9,63.2,250.5,148.1,146.9,134.3
