Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
s,kW,kW,m/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.,0.0,0.0,0.14,17.0,16.0,17.0,16.0,17.0,16.0,17.0,17.0,18.0,18.0,17.0,18.0,18.0,18.0,17.0,16.0
10.,0.0,1.1,-0.03,16.6,16.0,17.0,16.0,17.0,16.5,17.0,17.0,18.0,18.0,17.0,17.4,18.0,17.9,17.0,16.0
20.,0.0,0.9,-0.01,17.0,16.1,17.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,17.0,17.1,18.0,17.3,17.0,16.1
30.,0.0,1.2,-0.00,17.0,16.3,17.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,17.0,17.1,18.0,17.0,17.0,16.0
40.,0.0,0.2,-0.10,16.6,16.7,17.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,17.0,17.3,18.0,17.0,17.0,16.0
50.,0.0,0.6,-0.11,17.0,16.9,17.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,17.0,17.3,18.0,17.0,17.0,16.0
60.,0.0,2.1,-0.10,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,17.0,17.0,17.9,17.0,17.0,16.0
70.,0.0,2.4,-0.02,17.0,17.0,17.0,16.0,17.0,16.3,17.0,17.0,18.0,18.0,17.0,17.0,17.5,17.0,17.0,16.0
80.,0.0,0.0,-0.12,16.7,16.7,17.0,16.0,17.0,16.0,17.0,17.0,18.0,18.0,17.0,17.0,17.1,17.0,17.0,16.1
90.,0.0,0.0,-0.10,16.7,16.2,17.0,16.0,17.0,16.0,17.0,17.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,16.0
100.,0.0,3.4,0.09,16.9,16.8,17.0,16.0,17.0,16.0,17.0,17.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,16.1
110.,0.0,9.2,0.61,17.5,17.0,17.0,16.0,17.0,16.0,16.9,16.9,17.9,17.8,17.0,17.0,17.7,17.0,17.0,16.1
120.,0.0,17.0,1.17,17.4,17.0,17.0,15.9,16.7,16.0,16.2,16.4,17.0,17.1,16.2,17.0,17.0,17.0,16.9,16.0
130.,0.0,16.5,1.31,17.4,17.0,16.9,16.0,16.2,16.0,16.0,16.0,17.0,17.0,16.0,16.4,17.0,17.0,16.6,16.0
140.,0.0,12.6,1.36,17.4,17.0,16.8,16.0,16.1,16.0,16.0,16.0,17.0,16.9,16.0,16.1,16.9,16.9,16.1,16.0
150.,0.0,11.8,1.33,17.0,17.0,17.0,16.0,16.1,16.0,16.0,16.0,17.0,16.9,16.0,16.1,16.6,16.5,16.3,16.0
160.,0.0,12.6,1.48,17.3,17.0,16.5,15.9,16.2,16.0,16.0,16.0,17.0,17.0,16.0,16.1,16.3,16.4,16.2,16.0
170.,0.0,11.0,1.34,17.0,17.0,16.3,15.8,16.0,16.0,16.0,16.0,17.0,17.0,16.0,16.0,16.6,16.5,16.0,16.0
180.,0.0,13.4,1.41,17.0,16.7,16.1,15.4,16.0,16.0,16.0,15.8,16.7,16.9,16.0,16.0,16.4,16.1,16.0,15.9
190.,0.0,15.0,1.42,17.0,16.9,16.5,15.7,16.0,16.0,16.0,16.0,16.9,16.7,16.0,16.0,16.4,16.0,16.1,15.9
200.,0.0,13.4,1.42,17.0,17.0,16.4,15.8,16.0,16.0,16.0,15.6,16.5,16.7,16.0,16.0,16.1,16.1,16.0,15.8
210.,0.0,13.5,1.44,17.0,16.8,16.0,15.3,16.0,16.0,16.0,15.3,16.7,16.2,16.0,16.0,16.2,16.3,16.0,15.7
220.,0.0,13.9,1.50,17.0,16.6,16.0,15.4,16.0,15.9,16.0,15.5,16.3,16.6,16.0,16.0,16.2,16.0,16.0,15.7
230.,0.0,14.2,1.45,17.0,16.8,16.0,15.5,16.0,15.9,15.9,15.1,16.7,16.7,16.0,16.0,16.0,16.1,16.0,15.4
240.,0.0,13.0,1.57,17.0,16.9,16.6,15.8,16.0,16.0,16.0,15.9,16.9,17.0,16.0,16.1,16.6,16.1,16.0,15.8
250.,134.4,12.7,1.49,17.1,17.0,16.8,16.0,16.4,16.1,16.1,16.0,17.3,17.2,16.6,19.1,21.4,17.7,16.9,16.1
260.,202.8,5.7,1.27,17.6,17.4,17.2,16.0,17.0,16.9,17.1,17.0,19.1,19.4,39.8,68.6,56.9,32.3,31.3,26.3
270.,306.2,29.7,1.27,18.0,18.0,18.0,17.0,18.0,17.9,18.5,19.4,22.1,24.5,102.7,152.1,102.8,64.9,60.4,48.0
280.,325.9,88.5,1.19,18.8,18.3,18.3,17.1,18.9,19.0,20.0,21.7,25.4,62.6,146.6,209.3,150.3,97.7,84.6,64.0
290.,288.0,135.1,1.18,19.2,19.0,19.0,18.0,19.8,20.0,21.5,24.5,35.8,137.7,201.4,253.7,183.3,119.7,101.7,76.1
300.,412.0,164.6,1.31,19.6,19.4,19.7,18.3,20.7,24.0,38.7,46.3,83.8,206.1,256.6,294.1,211.9,129.9,112.8,85.2
310.,296.5,187.0,1.21,21.7,24.7,28.0,30.0,39.9,55.1,77.4,79.6,140.4,258.8,294.5,317.2,231.5,141.2,120.3,93.5
320.,342.8,261.7,1.43,25.4,34.9,39.8,40.4,56.6,74.9,99.5,97.6,166.9,276.7,287.2,316.0,244.0,150.1,128.0,102.3
330.,458.4,278.2,1.52,26.8,37.7,41.4,41.6,59.2,80.8,103.8,110.6,180.7,272.3,281.6,327.4,251.1,160.3,137.7,109.7
340.,426.2,229.1,1.43,35.7,45.8,55.4,56.0,80.9,105.6,133.3,144.3,216.0,298.3,307.3,333.9,265.1,162.0,139.7,116.2
350.,504.9,390.0,1.59,50.0,59.4,70.3,62.8,96.7,112.2,135.4,140.8,162.4,111.5,126.6,183.5,259.6,164.7,144.5,125.6
360.,496.4,503.3,1.29,38.9,47.3,54.5,44.9,73.9,79.2,93.5,104.2,49.9,32.2,37.8,39.3,230.4,153.0,135.6,120.4
370.,581.0,436.4,1.26,31.1,37.8,41.1,32.9,51.0,53.9,62.3,78.2,26.3,25.7,37.1,39.0,212.8,144.5,129.1,115.6
380.,602.6,481.4,1.30,26.9,32.4,33.8,27.4,38.2,39.5,44.2,58.7,22.4,19.2,35.4,36.4,212.0,144.4,128.0,115.1
390.,527.6,458.8,1.42,24.9,28.7,29.1,24.7,31.8,32.3,35.6,48.0,21.1,24.2,34.9,38.0,212.7,144.7,129.5,116.7
400.,597.2,517.6,1.23,23.8,26.3,26.4,23.1,28.3,28.8,31.2,41.4,21.1,23.5,34.6,36.8,211.5,142.8,128.9,118.3
410.,644.8,467.9,1.20,23.0,24.9,25.2,22.4,26.4,27.2,29.1,37.5,21.3,28.5,34.9,41.8,217.2,142.5,130.3,119.2
420.,576.2,532.3,1.32,22.9,24.0,24.2,22.0,25.6,26.0,28.0,34.2,21.4,22.9,34.7,37.9,224.2,142.0,130.9,118.7
430.,593.3,529.2,1.26,22.8,23.5,24.0,22.0,25.0,25.9,27.6,32.2,21.2,34.2,33.9,37.5,214.0,143.0,129.7,118.2
440.,488.1,511.3,1.13,22.8,23.8,24.0,22.0,25.0,25.6,27.2,31.3,23.6,32.6,34.8,37.7,212.9,141.2,129.2,116.8
