Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
s,kW,kW,m/s,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC
0.,0.0,0.0,-0.13,14.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,12.0,13.0,13.0,13.0,12.0
10.,0.0,16.2,0.03,14.0,14.2,15.0,14.9,14.0,14.0,14.0,14.0,15.7,15.0,15.0,12.2,13.1,13.0,13.0,12.0
20.,0.0,16.2,-0.02,14.0,14.4,15.0,15.0,14.0,14.0,14.0,14.0,15.1,15.0,15.0,12.6,13.0,13.0,12.6,12.0
30.,0.0,13.4,-0.04,14.0,14.9,15.0,14.8,14.0,14.0,14.0,14.0,15.0,15.0,15.0,12.0,13.0,12.9,13.0,12.0
40.,0.0,4.2,-0.05,14.0,14.6,15.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,12.0,13.0,13.0,13.0,12.0
50.,0.0,25.2,-0.08,14.0,14.0,15.0,14.9,14.0,14.0,14.0,14.0,15.0,15.0,15.0,12.0,13.0,13.0,13.0,12.0
60.,0.0,55.5,0.10,14.0,14.0,15.0,14.6,14.0,14.0,14.0,14.0,15.0,15.0,15.0,12.0,13.0,12.7,12.4,12.0
70.,0.0,54.6,0.14,14.0,14.0,15.0,14.7,14.0,14.0,14.0,14.0,15.0,15.0,15.0,12.0,13.0,12.0,12.0,12.0
80.,0.0,47.2,0.01,14.0,14.0,14.5,14.9,14.0,14.0,14.0,14.0,15.0,15.0,15.0,12.7,13.1,12.1,12.0,12.0
90.,0.0,51.3,0.12,14.0,14.0,14.1,14.9,14.0,14.0,14.0,13.8,15.0,14.6,15.0,12.1,13.0,12.8,12.4,12.0
100.,0.0,44.0,0.17,14.4,14.2,14.7,14.9,14.0,14.0,14.0,13.8,15.3,14.6,15.0,12.9,13.6,12.9,12.7,12.0
110.,0.0,263.7,1.50,15.4,15.0,15.3,15.0,14.4,14.0,14.0,13.9,15.9,15.1,15.0,13.5,14.4,13.4,13.2,12.6
120.,0.0,223.6,2.31,15.9,15.4,15.6,14.8,14.8,14.3,14.2,14.0,15.8,15.4,15.0,14.5,15.3,14.1,14.2,13.1
130.,0.0,180.3,2.33,15.8,15.2,15.5,14.8,14.6,14.5,14.6,14.0,16.0,15.6,14.8,15.0,15.1,14.9,14.6,13.9
140.,0.0,141.8,2.14,15.9,15.5,15.5,14.5,15.1,14.2,14.5,14.1,15.7,15.8,14.7,14.9,15.4,14.9,14.8,14.0
150.,0.0,156.1,2.17,16.0,15.7,15.9,14.7,15.0,14.2,14.4,14.1,15.4,15.4,14.7,14.9,15.2,15.1,14.8,14.0
160.,0.0,149.9,2.26,15.8,15.2,15.5,14.2,15.0,14.0,14.1,14.0,15.4,15.4,14.3,15.0,15.4,15.0,14.8,14.0
170.,0.0,158.6,2.41,15.7,15.1,15.1,14.3,14.8,14.0,14.0,14.0,15.7,15.3,14.4,15.0,15.0,14.8,14.9,14.0
180.,0.0,149.9,2.03,15.7,15.0,15.3,14.3,15.0,14.0,14.0,14.0,15.2,15.1,14.0,14.9,14.9,15.0,14.6,14.0
190.,0.0,155.9,2.09,15.2,15.0,15.0,14.0,14.8,14.0,14.0,14.0,15.3,15.1,14.0,14.7,15.0,15.0,14.8,14.0
200.,0.0,169.6,2.26,15.2,15.0,15.1,14.0,14.6,14.0,14.0,13.9,15.2,15.0,14.0,14.4,14.9,14.6,14.6,14.0
210.,0.0,159.4,2.24,15.3,15.0,15.1,14.0,14.6,14.0,14.0,13.7,15.2,15.0,14.0,14.3,15.0,14.8,14.6,14.0
220.,0.0,162.1,2.37,15.1,15.0,15.0,14.0,14.3,13.9,14.0,13.9,15.0,15.0,14.0,14.2,15.0,14.4,14.1,13.6
230.,0.0,174.9,2.24,15.0,15.0,14.9,14.0,14.7,14.0,14.0,14.0,15.1,15.1,14.0,14.3,14.7,14.4,14.0,13.8
240.,0.0,159.5,2.14,15.5,15.0,15.1,14.1,14.6,14.0,14.0,14.0,15.3,15.0,14.0,14.6,14.9,14.5,14.3,13.9
250.,0.0,146.8,2.16,15.5,15.0,15.3,14.3,14.9,14.5,14.6,14.1,15.6,15.4,14.6,15.0,15.7,15.4,15.2,14.2
260.,0.0,52.0,2.19,16.0,15.4,15.6,14.8,15.2,14.8,15.0,14.9,16.5,16.4,15.3,15.4,27.0,27.3,23.8,19.9
270.,0.0,34.4,2.05,16.0,16.0,16.0,15.1,15.9,15.4,15.5,15.9,17.5,18.2,17.8,17.0,59.9,41.1,35.2,29.5
280.,0.0,68.8,2.38,16.1,16.1,16.6,15.2,16.1,16.2,16.6,17.3,19.3,21.2,22.3,20.3,102.9,49.4,47.2,40.9
290.,0.0,117.0,2.18,16.8,16.7,16.8,15.8,17.0,16.9,17.4,19.1,22.2,24.2,29.9,31.8,137.1,62.9,62.0,54.8
300.,0.0,195.6,2.24,17.2,17.0,17.4,16.1,17.5,17.6,18.3,20.2,23.8,26.5,36.4,34.1,162.2,75.6,75.8,70.9
310.,0.0,277.1,2.23,17.8,17.9,18.2,16.4,18.2,18.5,19.5,22.1,26.0,29.5,41.4,61.9,184.2,87.1,88.3,82.2
320.,0.0,380.1,2.30,18.0,18.0,18.3,16.7,18.8,18.9,19.8,22.2,26.2,29.8,44.1,53.9,188.5,97.0,97.3,91.8
330.,0.0,458.0,2.08,18.1,18.0,18.9,17.0,19.1,19.3,20.1,23.2,27.8,31.1,48.2,49.8,192.4,103.3,102.0,97.7
340.,0.0,477.0,2.20,18.3,19.0,19.1,17.0,19.3,20.0,21.0,24.0,29.2,33.0,51.5,58.2,205.5,111.0,109.0,103.9
350.,0.0,528.7,2.25,18.5,19.0,19.4,17.2,19.2,20.0,21.2,24.7,29.9,34.0,66.7,68.4,209.0,120.0,117.2,108.8
360.,0.0,594.4,2.16,19.0,19.1,19.8,17.7,20.1,20.3,21.8,25.3,31.0,35.0,61.3,62.3,209.9,124.4,122.7,114.9
370.,0.0,637.7,2.19,19.1,19.3,20.0,17.7,20.1,21.0,22.4,26.2,31.8,36.5,62.7,77.5,216.7,132.9,130.9,121.6
380.,0.0,693.2,2.08,19.2,20.0,20.4,18.0,21.0,21.4,23.1,27.1,33.2,38.3,69.0,82.3,227.2,137.6,138.5,129.8
390.,0.0,684.1,1.87,19.9,20.0,21.1,18.3,21.3,22.3,24.2,29.2,36.2,42.1,86.2,126.6,238.9,146.4,143.2,132.4
400.,0.0,789.7,2.17,20.0,20.6,21.2,18.6,21.8,22.8,24.3,29.6,37.2,42.6,91.8,129.0,247.3,155.6,152.0,136.6
410.,0.0,790.1,1.94,20.2,20.7,21.2,19.0,22.0,23.3,25.1,30.9,39.0,44.9,103.7,166.0,250.4,159.6,156.1,141.5
420.,0.0,729.9,1.64,20.3,21.0,21.7,18.9,22.3,23.9,26.0,32.1,40.7,47.8,144.7,236.9,256.2,168.2,161.0,143.9
430.,0.0,721.5,1.81,20.8,21.0,21.9,19.0,22.8,24.0,26.5,33.0,42.4,51.2,189.4,295.5,264.5,174.1,164.6,144.6
440.,0.0,786.5,1.59,20.9,21.6,22.3,19.5,23.1,24.3,26.6,33.1,42.1,52.0,220.3,320.9,280.2,178.9,167.2,145.3
450.,0.0,805.2,1.75,21.0,22.0,22.4,19.7,23.4,25.0,27.7,34.7,44.6,59.1,223.4,316.1,280.1,188.2,175.5,153.1
460.,0.0,884.3,1.58,21.3,22.1,23.0,20.0,23.6,25.4,28.4,35.7,46.2,65.3,224.9,319.6,292.3,193.0,180.0,158.7
470.,0.0,918.7,1.65,21.7,22.2,23.5,20.3,24.1,25.8,28.7,36.1,47.7,63.5,216.0,301.4,292.4,198.9,186.8,165.6
480.,0.0,945.8,1.44,21.8,22.4,23.3,20.3,24.2,25.7,28.6,36.2,49.4,66.7,234.9,316.5,295.9,199.3,184.8,162.7
490.,0.0,924.3,1.58,21.8,22.7,23.7,20.4,24.7,26.0,29.0,37.4,59.6,87.3,246.1,343.7,303.6,201.2,185.2,163.2
500.,0.0,732.6,1.53,22.3,23.0,24.0,20.7,24.6,26.8,31.2,42.8,77.5,146.5,261.0,365.2,321.6,208.6,188.6,166.2
510.,0.0,922.0,1.58,22.7,23.0,24.3,21.0,25.0,32.5,53.0,64.8,120.6,215.2,281.4,364.8,332.2,216.6,195.7,168.5
520.,0.0,922.1,1.53,22.9,23.2,24.1,21.0,25.6,33.0,53.6,71.1,141.1,234.0,283.1,373.5,339.8,219.6,197.7,171.0
530.,0.0,901.3,1.45,22.7,23.1,24.2,20.9,25.2,30.2,52.5,82.3,147.0,234.3,295.2,356.5,330.5,221.8,198.8,172.1
540.,0.0,1014.3,1.31,21.9,22.4,23.0,20.3,23.9,26.0,39.0,52.5,86.1,137.5,221.4,195.8,243.1,182.3,168.9,151.5
550.,0.0,760.7,1.47,21.7,22.0,22.3,20.0,23.0,23.5,30.3,37.5,57.0,85.8,185.5,122.7,178.5,141.3,131.6,121.0
560.,0.0,543.6,1.65,21.4,21.9,22.3,19.8,22.4,23.0,26.7,31.6,45.3,50.9,135.1,80.3,138.0,114.8,106.7,99.1
570.,0.0,475.2,1.39,21.9,22.0,22.1,20.0,22.6,23.0,25.3,29.1,39.8,38.2,127.9,63.1,116.2,99.8,92.3,85.4
580.,0.0,435.9,1.36,21.9,22.0,22.3,20.1,22.7,23.0,25.0,28.0,37.5,32.9,119.6,58.2,106.8,90.5,83.4,76.2
590.,0.0,401.1,1.37,22.0,22.0,22.5,20.2,22.9,23.0,24.8,27.4,36.6,28.4,103.7,68.2,106.3,85.3,77.8,71.0
600.,0.0,399.7,1.53,22.0,22.0,22.7,20.7,23.0,23.0,24.9,27.7,36.4,29.2,128.6,75.6,104.8,80.0,73.8,66.8
610.,0.0,428.5,1.63,22.0,22.1,22.7,20.4,23.0,23.0,25.0,27.7,36.4,30.4,139.6,71.0,104.0,78.5,72.6,64.3
620.,0.0,393.9,1.42,22.0,22.0,22.7,20.3,23.0,23.0,24.8,27.8,36.1,52.2,155.2,75.7,104.1,78.1,71.4,62.6
630.,0.0,437.0,1.27,22.2,22.2,22.9,20.8,23.2,23.8,25.5,28.8,38.0,99.1,244.8,105.9,113.3,83.3,74.7,64.6
640.,0.0,532.3,1.45,22.4,22.9,23.4,21.0,23.8,23.9,26.1,29.4,39.2,95.9,261.2,104.0,145.1,104.0,92.5,77.1
650.,0.0,544.9,1.43,22.1,22.2,22.6,20.5,23.0,22.9,24.2,25.8,33.1,49.3,150.3,59.8,109.2,96.5,87.2,75.1
660.,0.0,353.4,1.35,22.0,22.0,22.6,20.2,22.8,22.0,22.9,23.7,29.6,31.3,92.1,35.6,71.8,72.1,65.9,60.7
670.,0.0,119.3,1.53,21.9,22.0,22.4,20.5,22.6,21.8,22.3,22.8,28.1,24.9,63.9,26.3,51.9,55.5,51.6,47.9
680.,0.0,25.6,1.49,22.0,21.9,22.3,20.3,22.3,21.8,22.2,22.7,27.3,22.2,49.0,23.7,40.1,44.3,41.3,39.5
690.,0.0,14.2,1.53,21.9,22.0,22.3,20.3,22.1,21.6,22.0,22.5,26.7,20.9,39.8,22.3,33.3,36.9,34.8,33.5
700.,0.0,10.1,1.40,21.9,21.9,22.5,20.3,22.4,21.5,22.0,22.2,26.6,20.2,35.8,20.9,29.4,32.5,30.8,30.1
710.,0.0,8.7,1.55,21.9,22.0,22.2,20.3,22.4,21.6,22.0,22.2,26.3,19.6,32.9,20.8,26.0,29.4,28.4,27.7
720.,0.0,6.8,1.47,22.0,21.9,22.2,20.3,22.4,21.9,22.1,22.4,26.4,18.6,31.1,20.4,24.8,26.7,26.2,25.9
730.,0.0,5.8,1.40,21.9,22.0,22.3,20.3,22.7,21.6,22.0,22.1,26.0,17.9,29.8,20.0,23.1,25.6,25.3,24.9
740.,0.0,4.6,1.44,22.0,21.9,22.6,20.6,22.8,21.6,22.2,22.2,26.1,17.5,29.1,19.5,22.4,24.7,24.3,23.5
750.,0.0,2.5,1.53,22.1,22.2,22.8,20.8,22.7,22.0,22.4,22.4,26.1,17.7,28.8,19.4,21.8,23.6,23.3,22.6
760.,0.0,0.2,1.43,22.3,22.1,22.5,20.9,23.0,22.0,22.9,22.8,26.1,17.2,29.0,19.3,21.6,22.6,22.7,22.0
770.,0.0,0.8,1.47,22.6,22.2,22.9,21.0,23.0,22.0,22.6,22.9,26.3,17.9,32.0,17.7,22.1,22.9,22.5,21.4
