Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
s,kW,kW,m/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.,0.0,0.0,-0.17,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,14.0,13.0,14.0,13.0,13.0,12.0
10.,0.0,2.1,-0.04,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.5,13.0,13.4,13.0,13.0,12.0
20.,0.0,0.3,-0.04,13.0,12.9,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.1,13.0,13.6,13.0,13.0,12.1
30.,0.0,1.9,0.05,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.0,13.0,13.3,13.0,13.0,12.0
40.,0.0,0.7,0.02,13.0,13.0,13.0,12.0,13.0,12.2,13.0,13.0,14.0,14.0,13.3,13.1,14.0,13.0,13.0,12.0
50.,0.0,1.2,0.12,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.2,13.1,13.6,13.0,13.0,12.0
60.,0.0,1.2,0.07,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.3,13.0,13.8,13.0,13.0,12.1
70.,0.0,0.0,0.06,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.0,13.0,14.0,13.0,13.0,12.1
80.,0.0,3.6,0.19,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.1,13.0,13.8,13.0,13.0,12.1
90.,0.0,3.0,0.08,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.0,13.0,13.8,13.1,13.0,12.4
100.,0.0,1.7,0.04,13.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,14.0,14.0,13.0,13.0,13.3,14.0,13.0,12.7
110.,0.0,0.0,0.02,13.0,13.0,13.0,12.0,13.0,12.0,13.0,12.7,14.0,14.0,13.0,13.0,13.1,14.0,13.0,12.7
120.,0.0,1.1,0.10,13.0,13.0,13.0,12.0,13.0,12.0,12.5,12.3,14.0,14.0,13.0,13.0,13.0,13.8,13.0,12.9
130.,0.0,2.3,0.13,13.3,13.0,13.0,12.0,13.0,12.0,12.7,12.0,14.0,14.0,13.0,13.0,13.4,13.7,13.0,12.9
140.,0.0,2.7,0.29,13.8,13.2,13.0,12.0,13.0,12.0,12.6,12.5,14.0,14.0,13.1,13.5,13.9,13.4,13.0,12.3
150.,0.0,3.9,0.41,14.0,13.3,13.0,12.0,13.0,12.0,12.4,12.2,13.8,13.9,13.0,13.2,13.7,13.4,13.0,12.6
