Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
s,kW,kW,m/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.,0.0,0.0,-0.20,15.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0
10.,0.0,2.7,-0.00,14.6,14.9,15.0,14.0,15.0,14.0,14.3,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0
20.,0.0,1.6,0.03,14.6,14.6,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0
30.,0.0,4.3,0.02,14.3,14.2,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0
40.,0.0,6.1,-0.16,14.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0
50.,0.0,4.8,-0.05,14.1,14.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0
60.,0.0,1.1,-0.10,14.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,14.9,15.0,14.0,14.0,14.0,14.0,13.7,13.0
70.,0.0,0.9,-0.03,14.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,14.2,15.0,14.0,14.0,14.0,14.0,13.3,13.0
80.,0.0,9.6,0.10,14.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,14.1,15.0,14.0,14.0,14.0,13.6,13.0,12.9
90.,0.0,0.3,-0.14,14.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,14.1,15.0,14.0,14.0,14.0,13.1,13.0,13.0
100.,0.0,2.6,-0.03,14.0,14.0,15.0,14.0,14.9,14.0,14.0,14.0,14.0,15.0,14.0,13.8,14.0,13.0,13.0,12.7
110.,0.0,0.3,0.03,14.0,14.0,15.0,14.0,14.5,14.0,14.0,14.0,14.0,15.0,14.0,13.4,14.0,13.1,13.0,12.1
120.,0.0,0.0,-0.17,14.0,14.0,15.0,14.0,14.4,14.0,14.0,14.0,14.0,15.0,14.0,13.9,14.0,13.0,13.0,12.2
130.,0.0,13.7,0.23,14.9,14.6,15.0,14.0,14.2,14.0,14.0,14.0,14.0,14.9,14.0,13.7,13.9,13.0,13.0,12.0
140.,0.0,61.7,1.55,15.3,15.0,15.0,14.0,14.5,14.0,14.0,14.0,14.7,14.9,14.0,14.0,14.0,13.5,13.3,12.5
150.,0.0,52.8,2.15,16.0,15.0,15.0,14.1,15.0,14.2,14.1,14.0,15.0,15.0,14.0,14.3,14.2,14.5,14.0,13.1
160.,0.0,48.3,2.26,16.0,15.6,15.1,14.1,15.0,14.6,15.0,14.4,15.0,15.1,14.0,15.0,15.0,15.0,15.0,13.8
170.,0.0,40.2,2.19,16.0,15.7,15.6,14.4,15.0,15.0,15.0,14.9,15.4,15.2,14.0,15.0,15.0,15.0,15.0,14.0
180.,0.0,35.2,2.21,16.0,15.5,15.3,14.2,15.0,15.0,15.0,15.0,15.7,15.5,14.0,15.0,15.0,15.0,15.0,14.0
190.,0.0,37.4,2.37,16.0,15.9,15.3,14.5,15.0,15.0,15.0,15.0,15.4,15.3,14.0,15.0,15.0,15.0,15.0,14.0
200.,0.0,33.8,2.26,16.0,15.9,15.1,14.3,15.0,15.0,15.0,14.8,15.4,15.4,14.0,15.0,15.0,15.0,15.0,14.0
210.,0.0,32.0,2.10,16.0,15.8,15.7,14.3,15.0,15.0,15.0,15.0,15.7,15.7,14.0,15.0,15.0,15.0,15.0,14.2
220.,0.0,34.0,2.15,16.0,16.0,15.7,14.5,15.0,15.0,15.0,15.0,15.8,15.4,14.1,15.0,15.2,15.0,15.0,14.1
230.,0.0,30.9,2.54,16.0,16.0,15.8,14.8,15.6,15.0,15.0,15.0,16.0,16.0,14.0,15.2,15.2,15.2,15.0,14.5
240.,0.0,28.8,2.33,16.3,16.0,16.0,15.0,16.0,15.0,15.0,15.0,16.0,16.0,14.8,15.7,15.8,15.8,15.3,14.9
250.,0.0,23.0,2.17,17.0,16.0,16.0,15.0,16.0,15.3,15.4,15.4,16.2,16.2,15.1,16.1,18.1,18.8,17.7,15.5
260.,0.0,4.0,2.21,17.0,16.7,16.7,15.3,16.6,16.3,16.6,16.9,18.4,19.0,18.6,20.9,49.1,44.1,37.7,27.0
270.,0.0,87.2,2.48,17.7,17.6,17.5,16.1,18.0,17.9,18.8,20.4,22.7,25.7,24.9,39.5,114.3,87.5,77.9,55.3
280.,0.0,353.7,1.99,18.4,18.6,18.6,17.0,19.4,19.8,20.9,24.1,27.1,33.2,33.6,89.0,173.2,129.3,118.7,88.9
290.,0.0,694.3,2.25,19.0,19.5,19.7,17.6,20.8,21.4,23.0,26.8,30.9,40.3,45.3,138.4,215.5,163.2,151.4,118.8
300.,0.0,876.9,2.18,19.8,20.0,20.3,18.0,21.3,22.4,24.0,28.9,33.2,45.5,52.9,133.0,255.8,187.4,174.7,142.5
310.,0.0,928.1,2.13,20.0,20.0,20.9,18.0,21.9,23.0,24.9,29.8,34.8,48.3,67.4,175.2,276.4,204.1,190.6,156.9
320.,0.0,1047.7,2.36,20.0,20.5,21.0,18.1,22.0,23.0,25.0,29.3,34.7,48.4,91.8,217.7,297.1,224.8,206.9,171.7
330.,0.0,1065.0,2.21,20.0,21.0,21.1,18.4,22.1,23.4,25.4,29.6,35.7,50.0,103.1,231.0,310.0,230.1,214.9,181.4
340.,0.0,1056.7,2.19,20.7,21.6,22.0,19.0,23.6,24.9,27.4,32.9,39.5,57.9,102.0,260.9,326.3,239.0,220.9,189.6
350.,0.0,1221.3,2.05,21.0,22.0,22.0,19.1,24.0,25.2,27.9,33.8,41.0,60.2,117.2,249.7,332.0,263.0,241.4,204.8
360.,0.0,1295.7,2.14,21.3,22.0,22.3,19.7,24.0,25.7,27.9,33.9,41.0,61.3,125.4,235.0,340.2,264.3,244.7,210.9
370.,0.0,1359.9,2.24,21.9,23.0,23.5,20.3,25.2,27.2,29.7,37.0,44.7,67.6,130.3,241.6,351.9,272.5,251.4,216.9
380.,0.0,1381.1,1.93,22.2,24.0,24.0,20.4,26.1,28.2,30.9,38.5,46.9,71.5,140.8,263.0,355.0,278.4,258.8,224.9
390.,0.0,1364.5,2.12,22.2,23.8,23.8,20.1,25.6,27.6,30.5,37.5,45.5,69.6,153.3,281.4,358.8,278.0,258.5,225.9
400.,0.0,1289.2,1.97,22.0,23.3,24.0,20.7,25.7,27.5,30.5,36.7,45.1,68.9,168.7,299.8,372.2,281.7,258.9,228.5
