Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
s,kW,kW,m/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.,0.0,0.0,-0.08,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0
10.,0.0,4.7,0.06,10.3,10.8,11.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.1,9.0
20.,0.0,3.9,-0.04,10.8,11.0,11.0,10.1,11.0,10.0,10.6,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.6,9.0
30.,0.0,4.3,-0.03,10.7,11.0,11.0,10.1,11.0,10.2,11.0,10.0,11.0,11.0,10.0,10.1,10.0,10.0,9.5,9.0
40.,0.0,1.4,-0.03,10.8,11.0,11.0,10.0,11.0,10.3,11.0,10.0,11.0,11.0,10.0,10.9,10.7,10.0,10.0,9.0
50.,0.0,2.1,0.02,10.8,11.0,11.0,10.0,11.0,10.7,10.7,10.0,11.0,11.0,10.0,10.8,10.8,10.0,10.0,9.0
60.,0.0,0.0,-0.01,10.9,11.0,11.0,10.0,11.0,10.2,11.0,10.0,11.0,11.0,10.0,11.0,11.0,10.1,10.0,9.0
70.,0.0,2.9,0.04,10.6,11.0,11.0,10.0,11.0,10.2,10.9,10.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0
80.,0.0,9.5,-0.04,10.9,11.0,11.0,10.0,11.0,10.0,10.7,10.0,11.0,11.0,10.0,11.0,10.7,10.3,10.0,9.2
90.,0.0,9.1,0.06,11.0,11.0,11.0,10.0,11.0,10.1,10.0,10.0,11.0,11.0,10.0,10.7,10.8,10.0,10.0,9.0
100.,0.0,3.3,0.03,10.5,10.7,11.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.2,10.9,10.0,10.0,9.0
110.,0.0,7.2,0.01,10.0,10.3,11.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.5,10.3,10.0,9.0
120.,0.0,9.6,-0.01,10.0,10.7,11.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.4,10.0,10.0,9.0
130.,0.0,8.3,0.12,10.7,10.8,11.1,10.2,11.0,10.2,10.2,10.0,10.9,11.0,10.0,10.2,10.6,10.5,10.0,9.1
140.,0.0,61.2,0.80,11.9,11.6,11.6,10.6,11.0,10.4,10.6,10.0,11.6,11.5,10.0,10.9,10.7,10.4,10.7,9.3
150.,0.0,83.0,1.71,12.2,11.9,11.6,10.9,11.2,11.0,10.9,10.4,11.8,11.7,10.0,11.1,11.1,10.9,10.9,9.8
160.,0.0,51.9,1.76,12.5,12.1,12.1,11.0,11.6,10.9,11.0,10.8,11.9,12.3,10.7,11.7,11.6,11.4,11.4,10.2
170.,0.0,35.1,1.65,12.7,12.2,12.1,11.0,11.7,11.0,11.1,11.0,12.3,12.3,10.8,11.9,11.8,12.0,11.7,10.8
180.,0.0,29.6,1.72,12.9,12.4,12.2,11.0,11.9,11.0,11.2,11.0,12.3,12.6,10.9,11.9,12.0,12.0,11.5,11.0
190.,0.0,27.1,1.73,12.5,12.3,12.1,11.0,11.8,11.0,11.0,10.9,12.2,12.5,10.9,11.8,11.9,12.1,11.8,11.0
200.,0.0,26.6,1.53,12.7,12.4,12.3,11.1,12.0,11.0,11.1,11.0,12.5,12.3,10.6,11.9,11.7,11.9,12.0,10.9
210.,0.0,24.3,1.52,12.7,12.3,12.2,11.1,11.8,11.0,11.1,10.8,12.3,12.3,10.8,11.7,11.9,11.8,11.5,11.0
220.,0.0,27.2,1.78,12.7,12.1,12.2,11.0,11.6,11.0,11.1,11.0,12.2,12.4,11.0,11.7,12.3,12.0,11.9,10.8
230.,0.0,27.0,1.69,12.8,12.5,12.1,11.0,11.9,11.0,11.0,11.0,12.2,12.3,10.6,11.9,12.0,11.8,11.5,11.0
240.,0.0,22.1,1.79,12.8,12.2,12.1,11.0,11.9,11.0,11.1,11.0,12.6,12.6,10.9,11.7,12.0,11.7,11.8,11.1
