Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
s,kW,kW,m/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.,0.0,0.0,0.16,15.0,15.0,16.0,14.0,16.0,15.0,15.0,15.0,16.0,16.0,14.0,12.0,15.0,15.0,14.0,14.0
10.,0.0,8.9,0.10,15.0,15.0,15.6,14.0,16.0,15.0,15.0,15.0,16.0,16.0,14.0,12.0,15.0,14.6,14.0,14.0
20.,0.0,3.3,-0.10,15.0,15.0,15.0,14.0,15.2,14.5,15.0,15.0,16.0,16.0,14.0,12.0,15.0,14.8,14.0,14.0
30.,0.0,1.1,-0.02,15.0,15.0,15.0,14.0,15.0,14.0,15.0,15.0,15.7,15.4,14.0,12.0,15.0,15.0,14.0,14.0
40.,0.0,0.0,-0.09,15.0,15.0,15.0,14.0,15.0,14.0,14.6,15.0,15.0,15.0,14.0,12.0,15.0,14.8,14.0,14.0
50.,0.0,0.0,-0.14,15.0,15.0,15.0,14.0,15.0,14.0,14.1,15.0,15.0,15.0,14.0,12.0,15.0,14.2,14.0,14.0
60.,0.0,0.0,-0.04,15.0,15.0,15.0,14.0,15.0,14.0,14.0,14.6,15.0,15.0,13.1,12.0,14.6,14.3,14.0,14.0
70.,0.0,0.0,-0.02,15.0,15.0,15.0,13.9,15.0,14.0,14.0,14.1,15.0,15.0,13.0,12.0,14.0,14.0,14.0,14.0
80.,0.0,0.0,-0.12,15.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,13.4,12.0,14.0,14.0,14.0,14.0
90.,0.0,0.0,-0.19,14.5,14.5,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,13.0,12.0,14.0,14.0,14.0,14.0
100.,0.0,0.0,-0.05,14.0,14.0,15.0,13.8,15.0,14.0,14.0,14.0,15.0,15.0,13.0,11.9,14.0,14.0,14.0,13.4
110.,0.0,2.6,-0.02,14.0,14.0,15.0,13.5,14.9,14.0,14.0,14.0,15.0,15.0,13.0,12.0,14.0,14.0,14.0,13.0
120.,0.0,0.0,-0.07,14.0,14.0,14.9,13.8,14.0,14.0,14.0,14.0,15.0,15.0,13.0,12.0,14.0,13.7,13.4,13.0
130.,0.0,0.0,0.03,14.6,14.2,14.8,13.8,14.3,14.0,14.0,14.0,14.8,14.4,13.0,12.0,14.0,14.0,13.6,13.0
140.,0.0,67.4,0.74,15.5,15.0,14.9,14.0,14.4,14.0,14.0,14.0,14.8,14.6,13.2,11.9,14.0,14.0,14.0,13.0
150.,0.0,73.1,1.36,16.1,15.7,15.1,14.0,15.0,14.2,14.8,14.0,15.5,15.3,13.9,12.0,14.6,14.2,14.1,13.2
160.,0.0,50.8,1.26,16.0,16.0,15.7,14.8,15.7,15.0,15.0,14.9,16.0,16.0,14.0,12.0,15.3,15.0,14.8,14.0
170.,0.0,36.5,1.15,16.8,16.0,15.9,15.0,16.0,15.0,15.1,15.0,16.4,16.4,14.2,12.1,15.8,15.7,15.1,15.0
180.,0.0,24.3,1.37,16.6,16.0,16.0,15.0,16.0,15.0,15.4,15.0,16.2,16.1,14.8,12.0,16.0,15.9,15.3,15.0
190.,0.0,21.3,1.27,16.6,16.0,16.0,14.9,16.0,15.0,15.6,15.0,16.2,16.0,15.0,12.0,16.0,16.0,15.6,15.0
200.,0.4,22.1,1.16,16.7,16.0,16.0,15.0,16.0,15.0,15.2,15.0,16.0,16.1,14.9,12.0,16.0,16.0,15.5,15.0
210.,14.4,18.3,1.37,16.7,16.0,16.0,14.9,16.0,15.0,15.3,15.0,16.5,16.2,14.8,12.1,16.0,16.0,15.7,15.0
220.,76.9,16.8,0.98,16.8,16.1,16.1,15.0,16.0,15.0,16.0,15.0,16.7,16.2,15.8,15.5,20.5,18.1,17.0,15.8
230.,47.0,9.1,0.97,17.0,16.6,16.6,15.0,16.4,16.0,16.0,16.0,17.0,17.0,25.4,29.8,36.8,26.9,25.0,22.2
240.,86.4,21.3,0.95,17.0,17.0,17.0,15.3,17.0,16.0,16.4,16.6,17.6,18.3,41.9,41.3,57.0,41.1,37.5,32.6
250.,96.4,42.2,1.23,17.1,17.0,17.0,15.6,17.0,16.7,17.2,17.9,19.3,21.3,71.1,55.3,79.1,59.5,52.4,43.5
260.,122.3,67.3,1.20,17.6,17.4,17.4,16.0,17.8,17.2,18.2,19.9,21.4,26.2,103.4,106.9,106.2,79.2,66.8,53.7
270.,137.4,111.7,1.27,18.0,18.0,18.0,16.0,18.1,18.3,19.1,22.0,23.7,33.8,144.6,167.5,128.5,94.5,77.3,63.1
280.,192.5,134.2,1.28,18.0,18.0,18.0,16.3,18.8,19.0,20.0,23.5,27.7,58.5,163.4,194.1,145.4,107.9,87.7,70.0
290.,161.6,159.4,1.10,18.6,18.6,19.0,17.7,21.8,32.6,40.9,42.8,84.9,158.4,214.8,235.4,168.2,118.0,97.9,78.8
300.,232.2,225.3,1.37,19.0,20.3,21.6,25.9,34.8,53.0,62.2,59.6,124.2,205.7,237.2,280.3,196.3,131.5,110.8,88.8
310.,202.0,279.0,1.32,19.1,21.5,23.7,28.7,41.1,63.0,79.5,72.5,144.5,221.5,254.9,311.1,214.5,140.4,117.3,92.9
320.,252.7,314.0,1.39,20.7,26.6,32.4,35.5,52.2,73.5,94.3,87.6,168.4,241.6,265.8,333.9,239.1,149.8,129.4,100.6
330.,253.6,331.8,1.37,25.8,33.2,40.8,40.0,61.8,81.9,101.6,100.1,182.5,255.7,272.3,344.5,257.4,159.4,138.0,108.2
340.,272.3,313.0,1.31,33.5,41.7,50.4,47.7,73.9,94.6,114.8,119.0,197.1,268.9,292.1,350.0,263.8,163.6,144.4,114.4
350.,262.5,407.0,1.24,31.1,38.7,43.9,36.1,55.1,65.6,76.0,91.8,119.7,176.2,231.7,250.8,212.4,146.3,131.3,106.6
360.,281.6,384.3,1.17,25.8,31.4,32.9,26.5,36.2,41.4,46.7,65.6,66.9,92.6,166.3,179.1,163.4,117.7,110.1,93.8
370.,232.4,300.9,1.18,23.1,26.9,27.0,22.6,27.6,30.3,33.6,49.6,44.9,87.1,164.9,138.6,132.5,98.5,90.8,79.7
380.,245.9,242.4,1.16,21.3,23.8,23.6,20.4,23.8,25.2,27.2,40.2,45.5,104.2,176.2,127.5,113.7,87.5,80.2,72.5
390.,271.8,213.5,1.12,20.6,22.3,21.9,19.4,22.0,22.9,24.6,34.6,35.0,82.7,159.5,131.3,107.3,81.1,74.6,67.9
400.,295.4,224.4,1.20,20.0,21.2,21.2,19.0,21.2,22.0,23.6,31.6,30.4,65.7,154.3,144.0,109.0,83.2,75.4,67.3
410.,186.7,268.5,1.34,19.9,20.7,20.9,18.9,21.0,21.6,23.0,29.7,34.3,119.8,180.2,142.1,111.9,84.5,75.1,66.1
420.,287.2,244.7,1.13,20.0,20.2,20.5,18.9,21.0,21.3,23.0,28.3,33.5,86.5,170.1,136.0,108.8,85.0,75.3,66.3
430.,252.8,253.2,1.19,20.0,20.1,20.8,19.0,21.0,21.6,23.0,28.0,30.3,87.8,182.8,137.8,108.7,83.2,75.4,66.2
440.,271.8,303.1,1.02,20.0,20.0,20.9,19.0,21.0,22.0,23.0,27.2,28.0,64.3,160.7,138.5,110.0,84.7,76.6,68.3
450.,250.3,317.3,1.10,20.0,20.1,21.0,19.0,21.0,21.9,23.0,27.0,27.0,46.5,150.2,137.6,109.4,85.9,76.2,67.7
460.,249.0,298.5,1.16,20.0,20.1,21.0,19.0,21.3,22.0,23.0,27.4,28.1,59.9,173.4,145.6,113.3,86.0,75.5,67.5
470.,181.6,320.8,1.07,20.0,20.4,21.0,19.0,21.5,22.0,23.4,28.0,46.7,119.8,200.1,139.8,115.9,88.7,78.6,67.6
480.,329.4,284.6,1.05,20.2,20.7,21.0,19.0,21.9,22.0,23.9,28.3,43.7,121.2,198.4,144.0,119.3,92.2,83.5,71.9
490.,282.0,369.7,1.06,20.5,20.8,21.0,19.0,21.8,22.0,23.9,31.3,59.3,140.8,204.1,154.2,123.8,92.4,83.2,75.7
500.,235.5,354.6,1.17,20.9,20.9,21.2,19.1,22.2,23.0,24.3,30.8,46.9,140.3,199.2,156.3,128.9,95.7,87.5,79.9
510.,275.8,386.2,1.13,21.0,21.0,21.8,19.2,22.3,23.0,24.7,30.9,52.6,158.2,207.2,172.9,137.9,101.3,91.2,83.0
520.,278.3,410.4,1.08,21.0,21.0,21.5,19.1,22.0,23.0,24.3,30.2,55.9,151.2,214.2,165.0,137.1,101.5,92.1,84.7
530.,259.6,454.2,1.12,21.0,21.0,21.6,19.0,22.0,23.0,24.0,29.2,45.9,131.7,205.9,149.2,130.8,97.0,88.8,82.4
