m,kW/m2,m,kW/m2,m,kW/m2
r-up,Upwind,r-lat,Lateral,r-down,Downwind
10.02,7.26,16.33,4.40,13.00,10.54
14.99,3.89,19.82,3.87,15.98,6.70
26.91,NaN,23.81,2.17,21.96,2.99
NaN,NaN,NaN,NaN,21.97,3.38
