m,kW/m2,m,kW/m2,m,kW/m2
r-up,Upwind,r-lat,Lateral,r-down,Downwind
8.06,10.30,13.21,5.82,11.02,12.19
12.70,NaN,16.69,4.70,14.00,8.12
25.96,1.74,20.67,2.50,17.97,4.95
NaN,NaN,NaN,NaN,17.98,4.83
