Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,L_F,L_F_max,drag,tilt
0,NaN,14.06,NaN,6.36,5.51,4.53,3.87,2.89,8.93,7.24,5.08,3.84,6.9,16.8,2.62,59.6
100,NaN,14.06,NaN,6.36,5.51,4.53,3.87,2.89,8.93,7.24,5.08,3.84,6.9,16.8,2.62,59.6
