m,kW/m2,m,kW/m2,m,kW/m2
r-up,Upwind,r-lat,Lateral,r-down,Downwind
30.99,4.28,41.06,5.22,37.98,5.19
35.98,3.32,45.05,4.40,43.98,3.81
39.98,2.74,51.05,3.64,51.97,NaN
51.97,2.05,58.05,2.20,61.97,NaN
NaN,NaN,NaN,NaN,71.97,1.03
