m,kW/m2,m,kW/m2,m,kW/m2
r-up,Upwind,r-lat,Lateral,r-down,Downwind
4.66,NaN,9.31,1.45,8.54,3.91
6.10,2.01,10.79,1.04,9.53,NaN
8.05,1.31,12.28,0.64,10.52,NaN
10.52,0.55,14.27,0.43,12.00,1.32
NaN,NaN,NaN,NaN,13.49,0.55
