Time,B1,B2,B3,B4,L1,L2,L3,L4,L5,L7,L8
  0,2.74,2.05,3.64,2.20,4.28,3.32,5.22,5.19,3.81,1.03,4.40
100,2.74,2.05,3.64,2.20,4.28,3.32,5.22,5.19,3.81,1.03,4.40
