Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11B,P11L,L_F,L_F_max,drag,tilt
0,7.26,3.89,NaN,5.25,4.68,4.40,3.87,2.17,10.54,6.70,2.99,3.38,3.8,7.3,2.3,56.1
100,7.26,3.89,NaN,5.25,4.68,4.40,3.87,2.17,10.54,6.70,2.99,3.38,3.8,7.3,2.3,56.1
