Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,L_F,L_F_max,drag,tilt
0,1.93,0.94,0.82,0.58,0.98,0.70,0.36,0.23,1.62,1.10,0.72,NaN,2.0,4.3,3.98,48.3
100,1.93,0.94,0.82,0.58,0.98,0.70,0.36,0.23,1.62,1.10,0.72,NaN,2.0,4.3,3.98,48.3
