Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
0,NaN,2.01,1.31,0.55,1.45,1.04,0.64,0.43,3.91,NaN,NaN,1.32,0.55
100,NaN,2.01,1.31,0.55,1.45,1.04,0.64,0.43,3.91,NaN,NaN,1.32,0.55
